"additionalInfo","object_uri","title","imageUrl","artist_uri","dimensions","technique_uri","technique","ethnicity_uri","enthnicity","artist_appellation_uri","artist","provenance"
"Brightly colored silkscreen (From An American Portrait 1776-1976)","","Confrontation at the Bridge","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJacob+Lawrence%5CConfrontation%5FBridge%2Ejpg","","19"" H x 25"" W","","Serigraph","","African American","","Jacob Lawrence","California Afro-American Museum Foundation purchase"
"serigraph","","The Birth of Toussaint","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJacob+Lawrence%5CBirth%2Ejpg","","28"" H x 18"" W","","serigraph","","African American","","Jacob Lawrence","California Afro-American Museum Foundation purchase"
"Serigraph print depicting Haitian General Toussaint L'Ouverture.","","General Toussaint L'Ouverture","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJacob+Lawrence%5CGTO%2Ejpg","","28"" H x 18"" W","","serigraph","","African American","","Jacob Lawrence","California Afro-American Museum Foundation purchase"
"Silkscreen print edition 29/120. Depicts group of men on horseback capturing male figure in red coat and black hat on white horse.","","The Capture (Toussaint Captured Marmalade)","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJacob+Lawrence%5CCapture%2Ebmp","","28"" H x 18"" W","","serigraph","","African American","","Jacob Lawrence","California Afro-American Museum Foundation Purchase"
"Consists primarily of text from the Old Testament, Book of Genesis interspersed with eight (8) color silk-screens.","","Genesis: The First Book of Moses Called GenesisThe King James Version","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJacob+Lawrence%5CLawrence%5FGenesis%5CGenesis1%2Ejpg","","22"" H x 16..875 W x 2.25""D","","Bound book illustrated with silkscreens","","African American","","Jacob Lawrence","Gift of Kim L. Hunter"
"One (1) framed original color lithograph created in celebration of the adoption and ratification of the Fifteenth Amendment to the United States Constitution. Published by Thomas Kelly of New York from the original design by James C. Beard.","","The Fifteenth Amendment, celebrated May 19, 1870","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDocuments%5C15th+Amendment%2Ejpg","","28½"" x 35""","","etching/lithograph","","American","","James C. Beard","Gift of the Estate of James A. Abajian"
"Assemblyman Mervyn Dymally looking upward at the 1964 Democratic National Convention in Atlantic City, New Jersey. Signs for Edmund G. Brown and Lyndon B. Johnson are visible.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBill+Greene%5C9%2Ejpg","","8"" H x 10"" W","","photograph","","African American","","James Harvey Brown, Councilman Thirteenth District","Gift of Senator Bill Greene"
"Youthful Hazel Scott head shot wearing lace-patterned dress and pearl earring (proper left only).","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CHazel+Scott%5CScott+by+Kriegsmann%2Ejpg","","10"" H x 8"" W","","Gelatin silver print","","African American","","James J. Kriegsmann","Gift of Meredith Livingston"
"Youthful Hazel Scott head shot looking over proper left shoulder wearing lace-patterned dress with pearl necklace and earrings.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CHazel+Scott%5CScott+left%2Ejpg","","7"" H x 5"" W","","Photograph","","African American","","James J. Kriegsmann","Gift of Meredith Livingston"
"Youthful Hazel Scott head shot looking over proper left shoulder wearing lace-patterned dress with pearl necklace and earrings.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CHazel+Scott%5CScott+left%2Ejpg","","7"" H x 5"" W","","Photograph","","African American","","James J. Kriegsmann","Gift of Meredith Livingston"
"Hazel Scott dressed more conservative in basic black photographed with her husband Adam Clayton Powell (married 1945 -1956), Jr. and their son, Adam Clayton Powell, III ""Skipper"".","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CHazel+Scott%5CFamily+portrait%2Ejpg","","10"" H x 8"" W","","Photograph","","African American","","James J. Kriegsmann","Gift of Meredith Livingston"
"Portrait of Rachel (1908-1927) and her mother, Kate L. Brown in the woods with a stream in the foreground.","","Portrait of First Wife and daughter (In the Woods)","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CVanderZee%2Ejpg","","10""H x 8"" W","","Gelatin silver print","","African American","","James Van der Zee","Gift of Joan Goldsmith"
"Ella performing in red dress.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CELLAFI%7E1%5CELLA8A%2EJPG","","6"" H x 4"" W","","Color photograph","","African American","","James W. Blackman","Gift of The Ella Fitzgerald Charitable Foundation"
"Ella performing in black dress.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CELLAFI%7E1%5CELLA8B%2EJPG","","6"" H x 4"" W","","Color photograph","","","","James W. Blackman","Gift of The Ella Fitzgerald Charitable Foundation"
"(2) identical playbills from Broadway production of Jean-Paul Sartre's ""The Respectful Prostitute"" featuring Ken Renard.","","Playbill for ""The Respectful Prostitute""","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CMusic%5Fprograms%5CSartre%2Ejpg","","12"" H x 9"" W","","ink on paper","","French","","Jean-Paul Sartre","Gift of Vertenis Shephard"
"painting","","Benin Triptych","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CTriptych%2Ejpg","","61.5"" H x 67.5"" W","","multi media: wood, canvas","","African American","","Joe Overstreet","Gift of Chuck and Jean Williams"
"Final print proof, BAT ""bon a tirer"" proof","","The Upper Room","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CBiggers%5FUpperRoom%2Ejpg","","48 x 35""","","Lithograph","","African American","","John Biggers","California Afro-American Museum Foundation purchase"
"""When The Ethiopian first appeared, all civilization was moved by the astounding nature of its revelations, as well as by the compelling power of the narrative itself. In the adventures of this Ethiopian Oxford graduate whose contact with a white woman causes him to backslide into the most medieval practises of his race, you will find mirrored the whole Ethiopian country; its deserts, plains, mountains, rivers and plateaus --around which beats today the fierce light of history in the making"". From book sleeve.","","The Ethiopian: A Narrative of the Society of Human Leopards","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CDAS+Foto%5CEthiopian%2Ebmp","","8"" H x 5.5"" W x 1.5"" D","","bound book","","American","","John Cameron Grant [author]","Gift of Patricia M. Moore"
"Abstract color patches with three individuals on right-hand side.","","Plot","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJohn%5FRozelle%5CPlot%2Ejpg","","72"" H x 105"" W","","Acrylic, pastel, collage, charcoal & mixed media on canvas","","African American","","John E. Rozelle","Gift of Ronald and Cynthia Thompson"
"Twenty-four page (12 leaves) pamphlet for Duke Ellington's ""Jump For Joy"" performance at the Mayan Theatre in Los Angeles with Dorothy Dandridge, Ivy Anderson and Herb Jeffries.","","The Playgoer, ""Jump For Joy"" magazine","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CMusic%5Fprograms%5CJump%2Ejpg","","8.375"" H x 5.5"" W","","printed paper","","African American","","John F. Huber, Publisher","Gift of MacDonald and Charlotte Jean Jones"
"Twenty-four page (12 leaves) pamphlet for Duke Ellington's ""Jump For Joy"" performance at the Mayan Theatre in Los Angeles with Dorothy Dandridge, Ivy Anderson and Herb Jeffries.","","The Playgoer, ""Jump For Joy"" magazine","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CMusic%5Fprograms%5CJump%5FGonzales%2Ejpg","","8.375"" H x 5.5"" W","","printed paper","","African American","","John F. Huber, Publisher","Gift of Madeline Gonzales"
"Artist's proof of winged man falling towards earth.","","Icarus, Lucifer Flight","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CIcarus%2Ejpg","","48 x 33""","","Collograph","","African American","","John Tarrell Scott","Gift of Helen Blair, friend of the artist"
"assemblage in assemblage","","Ken and Barbie, Spirit versus Technology Series","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CRiddle%5CKen+%26+Barbie%2Ejpg","","32"" H x 11.25""(open) W x 7.5"" D","","Mixed media","","African American","","John Thomas Riddle, Jr.","CAAM Foundation Purchase, with funds provided by the City of Los Angeles, Cultural Affairs Department"
"assemblage in ammunition box","","Pandora's Box, Spirit versus Technology Series","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CRiddle%5CPandora%2Ejpg","","32 H x 12 W x 6 D","","Mixed media","","African American","","John Thomas Riddle, Jr.","CAAM Foundation Purchase, with funds provided by the City of Los Angeles, Cultural Affairs Department"
"assemblage in ammunition box","","Bird and Diz, Spirit versus Technology Series","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CRiddle%5CBird+%26+Diz%2Ejpg","","36 H x 24 (open) W x 6 D","","Mixed media assemblage","","African American","","John Thomas Riddle, Jr.","CAAM Foundation Purchase, with funds provided by the City of Los Angeles, Cultural Affairs Department"
"assemblage in ammunition box of female figure constructed with a ""hoe"" used to create her pelvis.","","Hoe, Spirit versus Technology Series","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CRiddle%5CHoe%2Ebmp","","32 H x 24 (open) W x 6 D","","Mixed media","","African American","","John Thomas Riddle, Jr.","CAAM Foundation Purchase, with funds provided by the City of Los Angeles, Cultural Affairs Department"
"assemblage in ammunition box","","Mail Order, Spirit versus Technology Series","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CRiddle%5CMail%2Ejpg","","36 H x 24 (open) W x 6 D","","Mixed media","","African American","","John Thomas Riddle, Jr.","CAAM Foundation Purchase, with funds provided by the City of Los Angeles, Cultural Affairs Department"
"assemblage in ammunition box","","Sticks, Spirit versus Technology Series","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CRiddle%5CSticks%2Ejpg","","32 H x 24(open) W x 6 D","","Mixed media","","African American","","John Thomas Riddle, Jr.","CAAM Foundation Purchase, with funds provided by the City of Los Angeles, Cultural Affairs Department"
"assemblage in ammunition box","","Pieces at Hand, Spirit versus Technology Series","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CRiddle%5CPieces%2Ejpg","","32 H x 24 (open) W x 6 D","","Mixed media","","African American","","John Thomas Riddle, Jr.","CAAM Foundation Purchase, with funds provided by the City of Los Angeles, Cultural Affairs Department"
"assemblage in ammunition box","","Made in Mississippi, Spirit versus Technology Series","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CRiddle%5CMississippi%2Ejpg","","36 H x 24 (open) W x 6 D","","Mixed media","","African American","","John Thomas Riddle, Jr.","CAAM Foundation Purchase, with funds provided by the City of Los Angeles, Cultural Affairs Department"
"assemblage in ammunition box","","P.O.W., Spirit versus Technology Series","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CRiddle%5CPOW%2Ejpg","","32 H x 24 (open) W x 6 D","","Mixed media","","African American","","John Thomas Riddle, Jr.","CAAM Foundation Purchase, with funds provided by the City of Los Angeles, Cultural Affairs Department"
"Welded steel sculpture incorporating white and red hexahedrons, parts of lock cylinders, pliers and magazine clips.","","Untitled","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5CTrioImages%5CRiddle%5CDarby+Estate+copy%2Ejpg","","31 x 11 x 8.5""","","Welded metal assemblage, polychrome","","African American","","John Thomas Riddle, Jr.","Bequest of Alfred C. Darby"
"Composed of drawers-containers including sardine can, images of Akuaba dolls, slaves and bottle rack. Flag pole mounted on top and shark mounted beneath. Flag contains an image of Middle Passage slave ship quarters.","","Profit and Loss","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CRiddle%5CProfit+and+Loss+copy%2Ejpg","","42"" H x 20"" W x 8.5"" D","","Mixed media assemblage","","African American","","John Thomas Riddle, Jr.","Gift of the Arts Council of the California African American Museum"
"Two jazz musicians shown with their instruments (saxophone and trumpet) surrounded by vibrant colors in almost a Cubist rendering. Image used to promote the 1991 Mountreux Atlanta International Music Festival.","","The Solo","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CRiddle%5CSolo%2Ejpg","","21.75"" H x 19"" W","","Limited edition lithograph","","African American","","John Thomas Riddle, Jr.","Gift of Kenneth W. Grams"
"Two jazz musicians shown with their instruments (saxophone and trumpet) surrounded by vibrant colors in almost a Cubist rendering. Image used to promote the 1991 Mountreux Atlanta International Music Festival.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CRiddle%5CSolo+poster%2Ejpg","","26"" H x 19.5"" W","","Photo-mechanical reproduction","","African American","","John Thomas Riddle, Jr.","Gift of Kenneth W. Grams"
"Two jazz musicians shown with their instruments (saxophone and trumpet) surrounded by vibrant colors in almost a Cubist rendering. Image used to promote the 1991 Mountreux Atlanta International Music Festival.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CRiddle%5CSolo+poster%2Ejpg","","28"" H x 22"" W x 1"" D","","Photo-mechanical reproduction","","African American","","John Thomas Riddle, Jr.","Gift of Kenneth W. Grams"
"Two polychromed hexahedrons with parts of a gun welded between them mounted to a steel plate with a steel rod. The hexahedrons are colored with red, white and blue paint.","","Pressure From the Right","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CRiddle%5CRiddle%5FPressureRight%2Ejpg","","15.5"" H x 28"" W x 6"" D","","Welded metal assemblage and paint","","African American","","John Thomas Riddle, Jr.","Gift of Albert and Shirley Porter"
"Slag incorporating bolts and scrap metal mounted on steel base with a steel rod fastened to a wood hexahedron.","","Untitled (bird)","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CRiddle%5CRiddle%5Fbird%2Ejpg","","21.75"" H x 8.25"" W x 7.25"" D","","Welded metal assemblage","","African American","","John Thomas Riddle, Jr.","Gift of Albert and Shirley Porter"
"Mixed-media sculpture, in the shape of an ironing board. Support/legs in the shape of a stylized animal, the front leg appears as a grazing animal head, with a painted bell around its neck. Rear support/leg in the shape of animal legs with stylized feet. Top surface of board has 7 flat irons, 6 are standing up and one on its side. 5 of the 7 irons have multi-colored rags wrapped around their handles. The board is decorated with 5 colorful painted fields. Head of front leg has carved shell-like ears, red jewel eyes and painted surface.","","First Poet Olivia","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5COutterbridge%5COlivia%2Ejpg","","37"" x 11½"" x 38""","","wood, fabric, paint, metal bell","","African American","","John Wilfred Outterbridge","California Afro-American Museum Foundation purchase"
"sculpture in form of large flute.","","Lift Every Voice (Ethnic Heritage Group)","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5COutterbridge%5CLift+Every+Voice%5CLift2%2Ejpg","","11' x 3' x 3'","","Mixed media","","African American","","John Wilfred Outterbridge","Gift of the artist"
"mixed media and steel assemblage","","Ethnic Heritage Series: California Crosswalk","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5COutterbridge%5CCrosswalk%2Ejpg","","28"" H x 36"" W x 72"" D","","Metal, wire, cloth and other mixed media","","African American","","John Wilfred Outterbridge","CAAM Foundation Purchase, with funds provided by the City of Los Angeles, Cultural Affairs Department"
"Twenty-two (22) small shotgun house structures mounted on rough hewn wood posts.","","Twenty-two Rhymes in a Row","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5COutterbridge%5C22%2Ebmp","","Each piece approximately 25"" H x 3"" Diameter, posts are 2"" W","","wood, tin and mixed media","","African American","","John Wilfred Outterbridge","Museum purchase"
"Wooden outhouse structure with two wheels mounted on right and left exterior sides. Inside is plastered with text, photographs, a light, and audio recording. Outside shows stenciled dates.","","REVIEW/54--Outhouse","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5COutterbridge%5COutterbride%5FOuthous%2Ejpg","","84"" H x 32"" W x 40""D","","Mixed media assemblage construction","","African American","","John Wilfred Outterbridge","Gift of the artist"
"bronze sculpture of classical female nude","","Standing Woman","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CStanding%2Ejpg","","26"" H x 11"" W x 6"" D","","bronze","","African American","","John Woodrow Wilson","Gift of the Director Arts Circle"
"Poster advertising the first annual John Coltrane Festival at USC and Griffith Park in Los Angeles. Photograph of John Coltrane at top with text above and below the image.","","First Annual John Coltrane Festival","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CPosters%5CColtrane%2Ejpg","","28.75"" H x 20.25"" W","","Offset lithograph","","African American","","Jowcol Music/Hollar Boys Advertising","Gift of Carolyn Berger"
"Synthetic dark brown wig belonging to Ella Fitzgerald made by Joyokalon","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CElla+Fitzgerald%5C19995%2E14%2E3%2Ejpg","","10 x 11½"" flat","","Synthetic material","","","","Joyokalon","Gift of Joseph Donnelly for BUMPS'...in the Alley"
"Black and white photograph of a mature Ms. Rosa Parks wearing glasses and gazing to right of window.","","Rosa Parks","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CFICitems%5CSedwick%5FParks%2Ejpg","","10"" x 8""","","Gelatin silver print","","African American","","Judith Sedwick","Collection of California African American Museum"
"Kigango, EWZK 07","","Kigango","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CVigango%5CEWZK7%2Ejpg","","73.5"" H","","Wood","","","","Kenya, Griama","Gift of Mr. & Mrs. Lefkowitz"
"Stereo card showing six African Americans picking cotton in Texas.","","A Typical Texas Cotton Field At Picking Time","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CStereo+cards%5CTexasCotton%5Fverso%2Ejpg","","3.5"" H x 7"" W","","Stereograph photography","","African American","","Keystone View Company","Gift of Paul Kiler"
"Stereo card showing six African Americans picking cotton in Texas.","","A Typical Texas Cotton Field At Picking Time (duplicate)","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CStereo+cards%5CTexas+Cotton+Field%2Ejpg","","3.5"" H x 7"" W","","Stereograph photography","","African American","","Keystone View Company","Gift of Paul Kiler"
"A reconstructed 1930's chair with enamels, photographs, quotes and a radiator base. The sculpture is a homage to Ms. Rosa Parks, Civil Rights activist whose refusal to give her bus seat on December 1, 1965 lead to the bus boycott in Montgomery, Alabama.","","To Sit As A Ladder (In Honor of Rosa Parks)","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKim+Abeles%5Crosaparks+chair1+copy%2Ejpg","","67"" H  x 22"" W  x 12"" D","","A reconstructed 1930's chair with enamels, photographs, quotes and a radiator base","","African American","","Kim Abeles","Gift of Jack X Fields"
"Framed book © 1993 published in conjunction with Kim Abeles: Encyclopedia Persona, A Fifteen-Year Survey at the Santa Monica Museum of Art; curated by Karen Moss. The encyclopedia includes an entry on Rosa Parks and To Sit As Ladder (In Honor of Rosa Parks), which is a sculpture by Abeles that was donated to CAAM in 1992.","","Encyclopedia Persona","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CKim+Abeles%5CAbeles%5FPersonaF%2Ejpg","","15.75"" H x 13"" W x 2.5"" D","","Bound book framed with satin, wood, metal and lock of hair; framed lithograph on outside cover","","American","","Kim Abeles","Gift of Kim Abeles"
"Business card announcing a benefit for the King Hotel on Sunday, November 9, 1958 with a $2 donation.","","Benefit Building Fund Hawaiian Luau","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CFICitems%5CKIngHotel%5FLuau%2Ejpg","","2"" x 3.5""","","business card","","African American","","King's Hotel (Formerly Dunbar)","Collection of California African American Museum"
"Grebo mask, symbol of chief's power, boldly abstracted, concave face, round protrusion for mouth,","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJACOBY%5CA135%2EJPG","","14.5"" H  x 7"" W x 4.75"" D","","Wood, pigment and raffia","","Kru","","Kru of Liberia","Gift of Dr. Michel N. Jacoby, in memory of Barbara and Laura Jacoby"
"Reddish brown with black highlights. Ornately carved wooden mask with large protruding eyes and nose. Forehead has sharp ridge with round projection atop head as ornamentation raffia embellishes bottom of mask at neck with multi-triangular design around protruding mouth. Exceptional.","","Mask, helmet","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSilverman%5CKuba+mask%2Ejpg","","14"" x 10"" x 14""","","Wood","","Kuba","","Kuba People of Congo","Gift of Dr. and Mrs. Melvin Silverman"
"an installation of ceramic artwork incorporating water fountains","","Indwell","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CLavialle+Campbell%5CIndwell%2Ejpg","","H 8' x W 21' x D 35'","","Ceramic with mixed media","","African American","","Lavialle Campbell","Commissioned by Seagram's Gin as part of its national program ""Perspectives in African American Art"""
"(6) String instrument with cowry beads depicting a human face on the arm and the (2) protruding handles from the gourd resonator. Leather is stretched over the gourd resonator with cowry beads decorating the edges.","","","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CLegainstrmt%2Ejpg","","","","wood, gourd, leather, cowry beads, steel wire","","Lega, Central African","","Lega people","Museum purchase"
"Sheet music written by Henry Busse, Henry Lange and Lou Davis; drawing of African American male in tuxedo playing the trumpet.","","""When he Plays Jazz, he's Got--Hot Lips"" (A Blues Fox Trot Song)","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSheet%5Fmusic%5CGarcia%5Fsheetmusic%5CHotLips+copy%2Ejpg","","12.25"" x 9.25""","","Rotogravure","","American","","Leo. Feist, Inc.","Gift of Edward T. Garcia"
"Sheet music written by Walter Donaldson; drawing of elderly African American male seated on a bale of cotton playing the accordion, three children dance to the tune and a river steamboat is seen in the background; photo of The Four Aristocrats featured in bottom right corner.","","""Sam, The Old Accordion Man"" (Novelty Fox Trot Song)","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CSheet%5Fmusic%5CGarcia%5Fsheetmusic%5CSam%5FAccordian+copy%2Ejpg","","12.25"" x 9.25""","","Rotogravure","","American","","Leo. Feist, Inc.","Gift of Edward T. Garcia"
"Image from the historic March on Washington.","","Rev. Fred Shuttlesworth of the Montgomery, AL Bus Boycott fame came","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJeffries%5C1%2Ejpg","","13.5 H x 9.25 W","","Gelatin silver print","","African American","","LeRoy W. Jeffries","Gift of Ida Walls Lee in memory of Vermont Jeffries"
"Image of the Mississippi delegation from the historic March on Washington.","","They came from everywhereeven Mississippi","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJeffries%5C2%2Ejpg","","13.5 H x 9.5 W","","Gelatin silver print","","African American","","LeRoy W. Jeffries","Gift of Ida Walls Lee in memory of Vermont Jeffries"
"Image of the famous operatic vocalist at a podium from the historic March on Washington.","","Marian Anderson camethe greatest voice of the century","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJeffries%5C3%2Ejpg","","13 7/8 H x 9.5 W","","Gelatin silver print","","African American","","LeRoy W. Jeffries","Gift of Ida Walls Lee in memory of Vermont Jeffries"
"Image from the historic March on Washington.","","""The great March on Washington and Labor leaderA.P. Randolph cameHe saw a 25 year dream come true.","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJeffries%5C4%2Ejpg","","8.25 H x 13.5 W","","Gelatin silver print","","African American","","LeRoy W. Jeffries","Gift of Ida Walls Lee in memory of Vermont Jeffries"
"Image of publishing giant, John Johnson and company from the historic March on Washington.","","and Publisher, John Johnson, was there along with friends and co-workers","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJeffries%5C5%2Ejpg","","9 H x 13.25 W","","Gelatin silver print","","African American","","LeRoy W. Jeffries","Gift of Ida Walls Lee in memory of Vermont Jeffries"
"Image from the historic March on Washington.","","The great organizers deputy came, who put the march in motionBayard Rusten","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJeffries%5C6%2Ejpg","","9.25 H x 13.25 W","","Gelatin silver print","","African American","","LeRoy W. Jeffries","Gift of Ida Walls Lee in memory of Vermont Jeffries"
"Image of Martin Luther King, Jr. at a podium from the historic March on Washington where he delivered his ""I Have A Dream"" speech.","","And the nations spiritual leader, Dr. Martin Luther King, came and electrified the multitudehe had a dream.","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJeffries%5C7%2Ejpg","","9.25 H x 13.5 W","","Gelatin silver print","","African American","","LeRoy W. Jeffries","Gift of Ida Walls Lee in memory of Vermont Jeffries"
"Image of John Lewis at a podium from the historic March on Washington , leader of the Student Nonviolent Coordinating Committee (SNCC).","","SNCCs John Lewis was there, after he changed his speech","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJeffries%5C8%2Ejpg","","9.25 H x 13.25 W","","Gelatin silver print","","African American","","LeRoy W. Jeffries","Gift of Ida Walls Lee in memory of Vermont Jeffries"
"Image of folk singer, Josh White at a podium from the historic March on Washington.","","The great Folk Singer, Josh White, came","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJeffries%5C9%2Ejpg","","9.25 H x 13.75 W","","Gelatin silver print","","African American","","LeRoy W. Jeffries","Gift of Ida Walls Lee in memory of Vermont Jeffries"
"Image from the historic March on Washington.","","Father John LeFarge, S.J. (center) who has sinced passed. One of the founders of the Catholic Interracial Council.","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJeffries%5C10%2Ejpg","","9.25 H x 13.5 W","","Gelatin silver print","","African American","","LeRoy W. Jeffries","Gift of Ida Walls Lee in memory of Vermont Jeffries"
"Image from the historic March on Washington.","","Congressman Adam Clayton Powell and other Congressmen and dignitaries","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJeffries%5C11%2Ejpg","","9.5 H x 13.75 W","","Gelatin silver print","","African American","","LeRoy W. Jeffries","Gift of Ida Walls Lee in memory of Vermont Jeffries"
"Image from the historic March on Washington.","","The articulate Senator from Minnesota, Hubert Humphrey, came","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJeffries%5C12%2Ejpg","","9.25 H x 13.5 W","","Gelatin silver print","","African American","","LeRoy W. Jeffries","Gift of Ida Walls Lee in memory of Vermont Jeffries"
"Image from the historic March on Washington.","","Walter Reuther came and made a point for labor","http://trio.caamuseum.org/image.asp?media=%5C%5Ccaamapp1%5Ctrioimages%5CJeffries%5C13%2Ejpg","","9.5 H x 13.75 W","","Gelatin silver print","","African American","","LeRoy W. Jeffries","Gift of Ida Walls Lee in memory of Vermont Jeffries"
