"artist_uri","provenance","object_uri","title","imageURL","birth","death","date","dimensions","medium_URI","medium","classification_URI","classification","nationality_URI","nationality","artist_appellation_uri","name","credit"
"","artist until 1917.American Art Association in 1917, to Alfred Rose to Henry Monroe Campbell, Sr., to Henry Monroe Campbell, Jr., to DIA in 1943.","","Portrait of a Lady in Black","http://www.dia.org/user_area/comping/43.486-S1.jpg","1849","1916","c. 1895","72 x 35 in.  (182.9 x 91.4 cm)Framed: 83 1/8 x 47 x 3 7/8 in.","","Oil on canvas","","Paintings","","American","","William Merritt Chase","Gift of Henry Munroe Campbell"
"","Formerly in the collection of: The sitter, Thomas Chamberlaine, to 1786; Samuel Chamberlaine; his son, Samuel Chamberlaine, Jr.; his son, Dr. James E. Muse Chamberlaine; his daughter, Elizabeth Bullock Hayward; her son, J. Chamberlaine Hayward.  M. Knoedler Co., New York.Acquired in 1944,","","Thomas Chamberlaine","http://www.dia.org/user_area/comping/44.140-S1.jpg","1728","1778","1772/1775","29 3/8 x 24 3/8 in.   (74.6 x 61.9 cm)Framed: 34 x 28 3/4 x 2 in.","","Oil on canvas","","Paintings","","American","","John Hesselius","Gift of Dexter M. Ferry, Jr."
"","Loammi Baldwin, Boston, 1827 Mr. and Mrs. James F. Baldwin, 1839Mrs. George R. Baldwin, 1876William Morris HuntM. Knoedler Co., New York, 1944DIA in 1944.","","The Flight of Florimell","http://www.dia.org/user_area/comping/44.165-S1.jpg","1779","1843","1819","36 x 28 in.  (91.4 x 71.1 cm)Framed: 47 1/8 x 39 1/4 x 4 1/2 in.","","Oil on canvas","","Paintings","","American","","Washington Allston","City of Detroit Purchase"
"","Possibly Nathaniel Amroy, by September 1825Possibly Robert Gilmore, Baltimore, before 1839 (as Beattie's Minstrel)William Gibson Borland family, Concord, Massachusetts, 1944Victor Spark (dealer), New York, 1944.DIA in 1944 (gift of Dexter M. Ferry, Jr.)","","Italian Shepherd Boy","http://www.dia.org/user_area/comping/44.166-S1.jpg","1779","1843","1819","Framed: 25 3/16 x 21 1/8 x 2 7/8 in. (63.98 x 53.66 x 7.3 cm)21 x 17 in.53.3 x 43.2 cm","","Oil on canvas","","Paintings","","American","","Washington Allston","Gift of Dexter M. Ferry, Jr."
"","John Banister, Newport, Rhode Island, 1748-67; his son, John Bannister H. Newport, ca. 1767-1803; his brother, Thomas Banister, Lawrence, New York, 1803-15; his daughter, Alice Hermione Pelham Banister McNeil, Lawrence, 1815-23 Thomas Hewlett, Lawrence, 1823-41; Mary Hewlett, Lawrence, 1841(?)-1870(?); James Hewlett, Lawrence, 1870-90; Mary Sanderson Hewlett, Lawrence, 1890-1917; George Hewlett, Brooklyn, 1917 to at least 1931.Stephen C. Clark, New York, to ca. 1944William MacBeth, Inc., New York, 1944.Acquired in 1944","","Mrs. John Banister","http://www.dia.org/user_area/comping/44.283-S1.jpg","1705","1767","1748","Framed: 57 1/2 x 48 1/2 x 2 1/4 in. (146.05 x 123.19 x 5.72 cm)50 1/2 x 40 1/2 in.128.3 x 102.9 cm","","Oil on canvas","","Paintings","","American","","Robert Feke","Gift of Dexter M. Ferry, Jr."
"","Formerly in the collection of:The sitter; his eldest daughter, Lucinda Dorr, Dorchester, Massachusetts, 1825; her daughter, Sarah Whitney Davis Dorr Lemist, Roxbury, Massachusetts, 1843; her daughter, Frances Ann Lemist Wheelock, Roxbury, 1915.  Bought by another of the sitter's great-granddaughters, Ann Lothrop Motley Winthrop, Boston 1915; her niece, Maria Davis Motley Park, Groton, Massachusetts, 1923.  Bought by William H. Murphy, the sitter's great-great grandson, Detroit, 1927; his daughter, Mrs. J. Bell Moran, Detroit, 1945.Acquired in 1945.","","General Amasa Davis","http://www.dia.org/user_area/comping/45.17-S1.jpg","1755","1828","c. 1820","32 3/4 x 26 1/4 in.  (83.2 x 66.7 cm)Framed: 40 1/8 x 34 1/4 x 4 1/8 in.","","Oil on panel","","Paintings","","American","","Gilbert Stuart","Gift of Mrs. J. Bell Moran"
"","Formerly in the collection of:  The artist; probably his daughter, Eleanor Peale Jacobs; probably her daughter; Mary Clare Jacobs Wirgman; her son, Grafton B. Wirgman, East Orange, New Jersey, 1923; probably his daughter, Carol Wirgman, East Orange, New Jersey. James Graham & Sons, New York 1941.Victor Spark (dealer), New York, 1945.Acquired in 1945.","","Self Portrait","http://www.dia.org/user_area/comping/45.469-S1.jpg","1778","1860","1828","19 x 14 1/2 in.  (48.3 x 36.8 cm)Framed: 25 5/16 x 20 9/16 x 3 1/2 in.","","Oil on canvas","","Paintings","","American","","Rembrandt Peale","Founders Society Purchase, Dexter M. Ferry, Jr. Fund"
"","Probably John Hone, New York, 1826Old Print Shop, New York, 1946DIA in 1946","","From the Top of Kaaterskill Falls","http://www.dia.org/user_area/comping/46.134-S1.jpg","1801","1848","1826","31 1/8 x 41 1/8 in.  ( 79.06 x 104.46 cm )Framed:  42 1/4 x 52 1/8 x 3 1/4 in.","","Oil on canvas","","Paintings","","American","","Thomas Cole","Founders Society Purchase, Dexter M. Ferry, Jr. Fund"
"","A. F. Mondshein.  Acquired in 1946.","","Sunset","http://www.dia.org/user_area/comping/46.135.jpg","1819","1904","c. 1880","17 1/4 x 36 3/8 in.  (43.8 x 92.4 cm)Framed: 28 1/16 x 47 3/16 x 5 in.","","Oil on canvas","","Paintings","","American","","Martin Johnson Heade","Founders Society Purchase, Dexter M. Ferry, Jr. Fund"
"","The artist, Hillsdale, Mich., 1873, until 1904.  His daughter, Ellen E. Gardner (Mrs. H. C.) Miller, until 1946.  Acquired in 1946.","","WEST STREET FROM THE CAMPUS OF HILLSDALE COLLEGE, 1873","http://www.dia.org/user_area/comping/46.224-S1.jpg","1835","1904","1873","9 1/8 x 17 1/8 in. (23.2 x 43.5cm)Framed: 18 3/4 x 26 7/8 x 4 1/2 in.","","Oil on canvas","","Paintings","","American","","George Balthazar Gardner","Gift of Mrs. H. C. Miller"
"","William HarnettBirch's Auction Rooms, Philadelphia (from Harnett estate sale, February 22-23, 1893) Downtown Gallery, New YorkRobert Tannahill (purchased on March 21, 1941)DIA in 1946","","AMERICAN EXCHANGE","http://www.dia.org/user_area/comping/46.304-S1.jpg","1848","1892","1878","8 x 12 in.  (20.3 x 30.5 cm)Framed: 15 3/8 x 19 7/8 x 3 3/8 in.","","Oil on canvas","","Paintings","","American","","William Michael Harnett","Gift of Robert H. Tannahill"
"","Artist sold to Samuel Untermyer, New York, 1892; Untermyer family's sale, Parke-Bernet, New York, May 10, 1940, lot 29.Charles Sessler, Knoedler, New York.Scott and Fowles, New York, 1946Acquired in 1946 ","","Nocturne in Black and Gold, the Falling Rocket","http://www.dia.org/user_area/comping/46.309-S2.jpg","1834","1903","1875","23 3/4 x 18 3/8 in.60.2 x 46.7 cmFramed: 36 3/4 x 30 1/4 x 3 1/4 in.","","Oil on panel","","Paintings","","American","","James Abbott McNeill Whistler","Gift of Dexter M. Ferry, Jr."
"","Noel Desanfans, before 1786Sale, Christie's, London, April 8, 1786, lot 396W. Goddard, by 1791Sale, Christie's, February 5, 1791, lot 73, sold to GreenG. P. Anderson, London W. P. Hunter, London, ca. 1850M. Knoedler Co., London, 1946DIA in 1946","","WATSON AND THE SHARK","http://www.dia.org/user_area/comping/46.310-D1.jpg","1738","1815","1777","36 x 30 1/2 in.  (91.4 x 77.5 cm)Framed: 45 3/16 x 39 x 2 1/2 in.","","Oil on canvas","","Paintings","","American","","John Singleton Copley","Founders Society Purchase, Dexter M. Ferry, Jr. Fund"
"","Mrs. R. O'Hair,  Detroit.Acquired in 1947.","","Hummingbirds and Orchids","http://www.dia.org/user_area/comping/47.36-D1.jpg","1819","1904","1880s","14 1/4 x 22 1/4 in.  (36.2 x 56.5 cm)Framed: 21 5/8 x 31 1/2 x 5 in.","","Oil on canvas","","Paintings","","American","","Martin Johnson Heade","Founders Society Purchase, Dexter M. Ferry, Jr. Fund"
"","Baruch Feldman, Philadelphia.  Thompson Galleries, Detroit.  Acquired in 1947.","","The King of the Montauks","http://www.dia.org/user_area/comping/47.37-S1.jpg","1841","1919","1880","11 1/2 x 16 in. (29.2 x 40.6 cm)Frame: 17 5/8 x 22 1/8 x 3 1/8 in.","","Oil on canvas","","Paintings","","American","","Edward Lamson Henry","Gift of Dexter M. Ferry, Jr."
"","James Carr, New York.Inherited by granddaughter, Mrs. Clarence Crocker, East Orange, N.J.  On consignment with Ferargil Galleries, New York.  On consignment with Kleemann Galleries, New York, 1936.  Stephen C. Clark, 1937.  On consignment with Macbeth Gallery, New York.  Acquired in 1947.","","The Dinner Horn","http://www.dia.org/user_area/comping/47.81.jpg","1836","1910","1873","11 7/8 x 14 1/4 in.  (30.2 x 36.2 cm)Framed: 20 7/8 x 23 x 3 1/2 in.","","Oil on canvas","","Paintings","","American","","Winslow Homer","Gift of Dexter M. Ferry, Jr."
"","Formerly in the collection of:  Albert Rosenthal, PhiladelphiaFeragil Galleries, New York, 1936William Macbeth, Inc., New York, 1936037Francis P. Garvan, New York, 1937; (Mrs. Francis P. Garvan 1948?)William Macbeth, Inc., 1948Acquired in 1948. ","","Mrs. Aaron Lopez and Her Son Joshua","http://www.dia.org/user_area/comping/48.146-S1.jpg","1755","1828","1772/1773","Framed: 31 5/16 x 26 7/8 x 2 1/16 in. (79.53 x 68.26 x 5.24 cm)26 x 21 1/2 in.66.0 x 54.6 cm","","Oil on canvas","","Paintings","","American","","Gilbert Stuart","Gift of Dexter M. Ferry, Jr."
"","Descended in the family of Mary Hirst Pepperrell.[Goodspeed Bookstore, Boston]Childs Gallery, BostonOld Print Shop, New YorkDexter M. Ferry, Jr., DetroitAcquired in 1948","","Mary Hirst, Later Lady Pepperell","http://www.dia.org/user_area/comping/48.163.jpg","","","c. 1710","Framed: 40 3/16 x 32 3/8 x 2 7/8 in. (102.08 x 81.76 x 7.3 cm)33 x 25 1/2 in.83.8 x 64.8 cm","","Oil on canvas","","Paintings","","","","","Gift of Dexter M. Ferry, Jr."
"","Formerly in the collection of:The Trumbull family, until 1867.Descended in an English aristocratic family, 1867-1948Harry Shaw Newman (dealer), New York, 1948Acquired in 1948.","","Surrender of Cornwallis at Yorktown","http://www.dia.org/user_area/comping/48.216-S1.jpg","1756","1843","1787","Framed: 18 3/8 x 25 7/16 x 1 3/4 in. (46.67 x 64.61 x 4.45 cm)13 7/8 x 21 in.35.2 x 53.3 cm","","Oil on canvas","","Paintings","","American","","John Trumbull","Gift of Dexter M. Ferry, Jr."
"","Formerly in the collection of:The Trumbull family, until 1867.Descended in an English aristocratic family, 1867-1948Harry Shaw Newman (dealer), New York, 1948Acquired in 1948.","","Surrender of Cornwallis at Yorktown","http://www.dia.org/user_area/comping/48.217-S1.jpg","1756","1843","1787","13 7/8 x 21 in.  (35.2 x 53.3 cm)Framed : 16 7/8 x 23 3/4 x 2 3/8 in.","","Oil on canvas","","Paintings","","American","","John Trumbull","Gift of Dexter M. Ferry, Jr."
"","Robert H. TannahillDIA in 1948.","","After Night's Study","http://www.dia.org/user_area/comping/48.386-S1.jpg","1854","1907","1890/1900","14 1/4 x 20 in.  (36.2 x 50.8 cm)Framed: 22 3/16 x 28 1/8 x 3 1/2 in.","","Oil on canvas","","Paintings","","American","","John Frederick Peto","Gift of Robert H. Tannahill"
"","Artist to Helen Lothrop PrallDIA in 1950.","","Helen Lothrop Prall","http://www.dia.org/user_area/comping/50.130.jpg","1860","1932","1884","48 1/4 x 36 1/4 in. (122.6 x 92.1 cm)Framed: 61 7/8 x 44 x 4 1/2 in.","","Oil on canvas","","Paintings","","American","","Gari Melchers","Bequest of Helen Lothrop Prall"
"","H. Reed, 1851John J. Herrick, The Castle, Tarryton on the Hudson George T. Herrick, his son John B. Ingham, PittsburghThe Old Print Shop, New York, 1950DIA in 1950","","THE TRAPPERS' RETURN","http://www.dia.org/user_area/comping/50.138.jpg","1811","1879","1851","26 1/4 x 36 1/4 in.  (66.7 x 92.1 cm)Framed: 31 1/4 x 41 1/16 x 2 3/4 in.","","Oil on canvas","","Paintings","","American","","George Caleb Bingham","Gift of Dexter M. Ferry, Jr."
"","John Rodger, Washington, D.C., 1858; descended in the Rodgers family, Washington, D.C.Victor D. Spark (dealer). New York, 1950.Acquired in 1950.","","Commodore Oliver Hazard Perry","http://www.dia.org/user_area/comping/50.139-S1.jpg","1780","1840","1814/1820","32 1/4 x 26 in. (81.9 x 66.0 cm)Framed: 39 x 33 1/8 x 3 in.","","Oil on canvas","","Paintings","","American","","John Wesley Jarvis","Gift of Dexter M. Ferry, Jr."
"","Col. Charles Erskine Scott  Wood, Portland, Oregon, ca. 1896/1903, delivered to Wood, 1918.Macbeth Gallery, New York, from John List Crawford and Other Collections Sale, Parke-Bernet, New York, February, 20-32, 1946, lot 58.Dr. Chester. J. Robertson, Pelham Manor, New York , Consigned by Robertston to Macbeth Gallery, New York, September 9, 1948.Acquired in 1950.","","The Tempest","http://www.dia.org/user_area/comping/50.19-S1.jpg","1847","1917","1892, reworked 1896/1918","27 3/4 x 35 in.70.5 x 88.9 cmFramed: 43 5/8 x 51 x 6 1/8 in.","","Oil on canvas","","Paintings","","American","","Albert Pinkham Ryder","Gift of Dexter M. Ferry, Jr."
"","Commissioned by James T. Abbe, Holyoke, Massachusetts. Marvin Preson, 1893.  Charles Churchill family, 1918 C. W. Churchill, Charlie Churchill's sonDIA in 1950.","","Grandma's Hearthstone","http://www.dia.org/user_area/comping/50.31-S1.jpg","1856","1933","1890","96 x 66 in.  (243.8 x 167.6 cm)Framed: 100 1/4 x 70 1/4 x 2 3/8 in.","","Oil on canvas","","Paintings","","American","","John Haberle","Gift of C. W. Churchill in memory of his father"
"","Formerly in the collection of: Peale Museum, Philadelphia; Augustin Runyon Peale, Jr.; Herbert Raphaelle Peale; Adele Peale Conway Edward A. Newman (dealer), Philadelphia, 1950Acquired in 1950","","James Peale","http://www.dia.org/user_area/comping/50.58-D1.jpg","1741","1827","1822","24 1/2 x 36 in.  (62.2 x 91.4 cm)Framed: 35 1/8 x 43 7/8 x 4 in.","","Oil on canvas","","Paintings","","American","","Charles Willson Peale","Founders Society Purchase with funds from Dexter M. Ferry, Jr."
"","Inness executor's sale, Fifth Avenue Art Galleries, New York, February 12-14, 1895, no. 158.Cyrus McCormick.   His wife. Her nephew, B. E. Ford, Dearborn, Mich.Acquired in 1951","","The Lonely Pine","http://www.dia.org/user_area/comping/51.331-S1.jpg","1825","1894","1893","30 1/2 x 45 in.  (77.5 x 114.3 cm)Framed: 41 3/8 x 56 1/2 x 3 1/8 in.","","Oil on canvas","","Paintings","","American","","George Inness","Gift of B. E. Ford"
"","Formerly in the collections of: Knoedler, New York, 1951 Whitney Museum of American Art, 1950 Macbeth Gallery, 1931 Pascal M. Gatterdam, New York, 1931 Edward Ward McMahon, New York, 1929 Woolworth Baldwin Collection, American Art Association,      1927 Knoedler, 1927 Thomas R. Ball, New York, 1919 Frederick S. Gibbs, New York, 1904 ","","DEFIANCE: INVITING A SHOT BEFORE PETERSBURG","http://www.dia.org/user_area/comping/51.66.jpg","1836","1910","1864","Unframed: 12 x 18 in. (30.5 x 45.7 cm)Framed: 19 3/4 x 25 3/4 x 2 3/4 in. (50.2 x 65.4 x 7 cm)","","Oil on panel","","Paintings","","American","","Winslow Homer","Founders Society Purchase with funds from Dexter M. Ferry, Jr."
"","John Singleton CopleyMrs. John Singleton CopleyLord Lyndhurst, (John Singleton Copley, Jr.,their son), LondonLyndhurst Sale, Christie's, London, March 5, 1864, lot 69.Issac J. W. Burnett, Rock Hall, Alnwick, Northumberland, EnglandJ. W. Burnett Sale, Christie's, London, May 23-24, 1928, lot 217. MannMann Sale, Christie's, London, February 24, 1951, lot 102.M. Knoedler Co., New York, 1951DIA in 1952.","","Head of a Negro","http://www.dia.org/user_area/comping/52.118-S1.jpg","1738","1815","1777/1778","21 x 16 1/4 in.  (53.3 x 41.3 cm)Framed: 27 3/4 x 23 3/4 x 2 1/2 in.","","Oil on canvas","","Paintings","","American","","John Singleton Copley","Founders Society Purchase, Gibbs-Williams Fund"
"","N.J. Eaton, St. Louis, by 1864John J. Herrick, Tarrytown, New YorkGeorge T. Herrick, Tarrytown, New YorkJohn B. Ingham, PittsburghThe Old Print Shop, New York, 1952DIA in 1952.","","The Checker Players","http://www.dia.org/user_area/comping/52.27-S1.jpg","1811","1879","1850","25 x 30 in.63.5 x 76.2 cmFramed: 30 1/2 x 35 9/16 x 2 3/4 in.","","Oil on canvas","","Paintings","","American","","George Caleb Bingham","Gift of Dexter M. Ferry, Jr."
"","The Tweedy family of Brooklyn Edith Gregor Halpert (dealer), New YorkDIA in 1953","","Miss Tweedy of Brooklyn","http://www.dia.org/user_area/comping/53.107-S1.jpg","","","c. 1845","Framed: 48 1/2 x 40 3/8 x 2 5/16 in. (123.19 x 102.55 x 5.87 cm)41 x 33 in.104.1 x 83.8 cm","","Oil on canvas","","Paintings","","","","","Gift of Mrs. Edith Gregor Halpert"
"","Formerly in the collection of:The artist's daughter, Charlotte [later Mrs. William Loughton Smith]; her son, William Wragg Smith; his daughter, Elizabeth Adda [later Mrs. Charles Mayhew Phinney].  Purchased by H. A. Schindler, Charleston, S.C. Acquired in 1953","","William Wragg","http://www.dia.org/user_area/comping/53.144-S1.jpg","1719","1774","1750/1760","Framed: 19 3/8 x 17 3/8 x 1 5/8 in. (48.74 x 43.66 x 4.13 cm)15 5/8 x 13 1/2 in.39.7 x 34.3 cm","","Oil on canvas","","Paintings","","American","","Jeremiah Theus","Gift of Dexter M. Ferry, Jr."
"","Artist's estate, 1905; Anna Richards (Mrs. William T.)     Brewster, daughter of the artist.National Academy of Design, 1952Acquired in 1953","","Glade at Oldmixon, Chester County, Pennsylvania","http://www.dia.org/user_area/comping/53.379-S1.jpg","1833","1905","1881/1890","10 x 20 in.  (25.4 x 50.8 cm)Framed: 13 3/4 x 23 1/2 x 2 1/8 in. (34.9 x 59.7 x 5.4 cm)","","Oil on masonite","","Paintings","","American","","William Trost Richards","Gift of the National Academy of Design, Mrs. William T. Brewster Bequest"
"","Levy Galleries.Purchased by Conrad H. Smith, Grosse Pointe Farms, Mich.  By descent to Raymond C. Smith, Grosse Pointe Farms, Mich.  Acquired in 1953","","The Tomato Patch","http://www.dia.org/user_area/comping/53.471-S1.jpg","1822","1884","c. 1878","Framed: 29 5/8 x 39 5/8 x 4 in. (75.25 x 100.65 x 10.16 cm)20 1/4 x 30 in.51.4 x 76.2 cm","","Oil on canvas","","Paintings","","American","","George Fuller","Gift of Raymond C. Smith"
"","John Singer Sargent,to Mme. Judith Gautier until 1918;bequeathed by Mme. Gautier to Mlle. Suzanne Meyer-Zundel, until 1934;purchased by Schoeller, Scott & Fowles, New York from Hotel Drouot sale (""Tableaux Modernes Appartenant a divers amateurs. . .Oeuvres de John-Singer Sargent""), lot 122, Paris,  on January 18, 1934 (no. 12, repr.). Listed as ""Judith Gautier chez elle;""sold to Julius H. Weitzer and E. J. Rousuck, New York, 1934;DIA in 1954 with funds provided by Mr. and Mrs. Ernest Kanzler.","","Judith Gautier","http://www.dia.org/user_area/comping/54.100-S1.jpg","1856","1925","c. 1885","Framed: 46 1/4 x 32 5/16 x 3 5/8 in. (117.48 x 82.07 x 9.21 cm)39 x 24 1/2 in.99.1 x 62.2 cm","","Oil on panel","","Paintings","","American","","John Singer Sargent","Gift of Mr. and Mrs. Ernest Kanzler"
"","Thomas Foster, Utica, N,Y., 1847-49William J. Hoppin, from 1849.The Hoppin Family.Argosy Gallery, New YorkDexter M. Ferry, Jr., Grosse Pointe, Mich.Acquired in 1955 ","","The Card Players","http://www.dia.org/user_area/comping/55.175-S1.jpg","1825","1856","1846","18 1/2 x 25 in.  (47.0 x 63.5 cm)Framed: 27 1/8 x 33 9/16 x 2 5/8 in.","","Oil on canvas","","Paintings","","American","","Richard Caton Woodville","Gift of Dexter M. Ferry, Jr."
"","The Allston Trust.  Acquired in 1955.","","Belshazzar's Feast","http://www.dia.org/user_area/comping/55.515.jpg","1779","1843","1817/1843","Framed: 164 x 216 x 9 1/2 in.  ( 416.56 x 548.64 x 24.13 cm)144 1/8 x 192 1/8 in.  (366.1 x 488.0 cm)","","Oil on canvas","","Paintings","","American","","Washington Allston","Gift of the Allston Trust"
"","Possibly Augustus S. Bachelder, Boston.  Katherine French Rockwell, Shrewsbury, Mass. Acquired in 1956.","","Kaaterskill Falls","http://www.dia.org/user_area/comping/56.185-S1.jpg","1823","1880","1871","14 3/4 x 12 1/2 in.  (37.5 x 31.8 cm)Framed : 25 1/2 x 23 1/4 x 2 3/4 in.","","Oil on canvas","","Paintings","","American","","Sanford Robinson Gifford","Gift of Katherine French Rockwell"
"","Formerly in the collection of: George Riddle, Cambridge, Mass.; Arunah S. A. Brady, Baltimore Mr. and Mrs. James Whitcomb, Balitmore.P. Gilbert Broculette, Staten Island, New YorkMr. and Mrs. James S. Whitcomb, Grosse Pointe, Mich.Acquired in 1956.","","Fiesole","http://www.dia.org/user_area/comping/56.19-S1.jpg","1836","1923","1859","15 x 29 1/4 in.  (38.1 x 74.3 cm)Frame: 23 5/8 x 37 3/4 x 4 in. (60.0 x 95.9 x 10.2 cm )","","Oil on canvas","","Paintings","","American","","Elihu Vedder","Founders Society Purchase with funds from Mr. and Mrs. James S. Whitcomb"
"","American Art UnionYoung Men's Mercantile Association, Cincinnati T. L. Ogden, New York A descendant of Ogden. John J. Bowden, Long Island, New York Douglas F. Roby, Ypsilanti, MichiganDIA in 1956","","American Lake Scene","http://www.dia.org/user_area/comping/56.31.jpg","1801","1848","1844","18 1/4 x 24 1/2 in.  (46.4 x 62.2 cm)Framed: 27 1/8 x 33 x 4 in.","","Oil on canvas","","Paintings","","American","","Thomas Cole","Gift of Douglas F. Roby"
"","Formerly in the collections of: A. J. Halow, ""traveling picture salesman,"" until February 14, 1920.Purchased on that date by Conrad Smith, Detroit.Raymond C. Smith (son) DIA in 1956. ","","Shinnecock Hills Landscape","http://www.dia.org/user_area/comping/56.96-S1.jpg","1849","1916","c. 1890/1895","10 3/8 x 16 in.  (26.4 x 40.6 cm)Framed: 17 1/8 x 23 x 1 7/8","","Oil on canvas","","Paintings","","American","","William Merritt Chase","Gift of Raymond C. Smith"
"","Elihu Vedder, to 1880.Wellesley College, Wellesley, Mass., 1880, Gift of Elisha S. Converse.Hirschl & Adler Galleries, New York.Acquired in 1957. ","","The Cumaean Sibyl","http://www.dia.org/user_area/comping/57.235-S1.jpg","1836","1923","1876","38 x 59 in.  (96.5 x 149.9 cm)Framed: 52 x 72 3/4 x 5 1/2 in.","","Oil on canvas","","Paintings","","American","","Elihu Vedder","Founders Society Purchase, Merrill Fund"
"","Formerly in the collection of: Paul Magriel, New York Acquired in 1957.","","Cherokee Roses","http://www.dia.org/user_area/comping/57.248.jpg","1819","1904","c. 1890","10 x 16 1/4 in.  (25.4 x 41.3 cm)Framed: 23 3/8 x 29 3/4 x 3 1/4 in.","","Oil on canvas","","Paintings","","American","","Martin Johnson Heade","Founders Society Purchase, Dexter M. Ferry, Jr, Fund"
"","James W. Tillman (d. 1866).  His widow, Martha Conant(Mrs. Alpheus S. Williams) Tillman (d. 1903).  Her daughter Louise Tillman (Mrs. Samuel T. ) Carson, who placed the painting on loan at the museum on January 31, 1905.DIA in 1957.","","First State Election in Detroit, Michigan, 1837","http://www.dia.org/user_area/comping/57.267-S1.jpg","1818","1866","c. 1837","24 1/4   x 30 3/4 in.  (62.2 x 78.1 cm)Framed:   34 3/8 x 40 3/8 x 3 3/8 in.  ( 87.31 x 102.55 x 8.57 cm)","","Oil on canvas","","Paintings","","American","","Thomas Mickell Burnham","Gift of Mrs. Samuel T. Carson"
"","Formerly in the collection of:S. Lendall Pitts, Paris; Mrs. S. Lendall Pitts, Norfolk, Virginia, by 1949.On Loan to Mrs. Arthur Maxwll Parker, Grosse Pointe Farms, Michigan.Acquired in 1958.","","Mrs. John Pitts","http://www.dia.org/user_area/comping/58.353-S1.jpg","1688","1751","1735","Framed: 42 3/4 x 34 7/16 x 2 1/8 in. (108.59 x 87.47 x 5.4 cm)36 1/8 x 28 3/4 in.91.8 x 73.0 cm","","Oil on canvas","","Paintings","","American","","John Smibert","Founders Society Purchase, Gibbs-Williams Fund"
"","Elizabeth Bowdoin, the sitter's daughter (Mrs. James Pitts), Boston; S. Lendall Pitts (her great-great-great-grandson), Detroit; Mrs. S. Lendall Pitts, Norfolk, Virginia.DIA in 1958, Founders Society Purchase, Gibbs-William Fund","","James Bowdoin","http://www.dia.org/user_area/comping/58.354-S1.jpg","1708","1765","1746/1747","Framed: 56 3/4 x 46 7/8 x 2 5/8 in.Canvas width is 40"" at part.: 51 1/8 x 40 1/8 in.  (129.9 x 101.9 cm)","","Oil on canvas","","Paintings","","American","","Joseph Badger","Founders Society Purchase, Gibbs-Williams Fund"
"","James Pitts, Boston, to 1776;  John Pitts, Tyngsborough, Massachusetts (his son); Thomas Pitts, Detroit, (his great-grand nephew); Mrs. Thomas Pitts, Detroit;  S. Lendall Pitts, Detroit, (her son);Mrs. S. Lendall Pitts, Norfolk, Virginia.DIA in 1958","","Mrs. James Pitts","http://www.dia.org/user_area/comping/58.356-S1.jpg","1700","1780","1757","50 1/8 x 40 in.   (127.3 x 101.6 cm)Framed: 57 5/8 x 47 1/2 x 2 7/8 in.","","Oil on canvas","","Paintings","","American","","Joseph Jonathan Blackburn","Founders Society Purchase, Gibbs-Williams Fund"
"","James Pitts (the sitter), Boston, to 1776; John Pitts (his son), Tyngsborough, Massachusetts; Thomas Pitts (his great grandnephew), Detroit; Mrs. Thomas Pitts, Detroit; S. Lendall Pitts (her son), Detroit; Mrs. S. Lendall Pitts, Norfolk, Virginia.  DIA in 1958.","","James Pitts","http://www.dia.org/user_area/comping/58.357-S1.jpg","1700","1780","1757","50 1/8 x 40 in.   (127.3 x 101.6 cm)Framed: 57 3/4 x 47 5/8 x 3 in.","","Oil on canvas","","Paintings","","American","","Joseph Jonathan Blackburn","Founders Society Purchase, Gibbs-Williams Fund"
"","Jonathan Mountfort, Boston, ca. 1753-85; Mrs. Thomas Pitts [Elizabeth Mountfort], Boston (?), (his daughter); Sarah Pitts Farlin, Detroit, by 1883 (her daughter); S. Lendall Pitts, Detroit, by 1938 (her great nephew); Mrs. S. Lendall Pitts, Norfolk, Virginia.DIA in 1958","","Jonathan Mountfort","http://www.dia.org/user_area/comping/58.360-S1.jpg","1738","1815","c. 1753","Framed: 37 1/2 x 32 5/8 x 2 5/16 in. (95.25 x 82.87 x 5.87 cm)29 1/4 x 24 1/2 in.74.3 x 62.2 cm","","Oil on canvas","","Paintings","","American","","John Singleton Copley","Founders Society Purchase, Gibbs-Williams Fund"
"","Private collection, Philadelphia.(Dealer), Philadelphia.Joe Kindig, Jr., & Son, York, Pennsylvania, 1958.Acquired in 1958.","","Man Reading by Candlelight","http://www.dia.org/user_area/comping/59.187-S1.jpg","","","1805/1808","55 x 45 in. (139.7 x 114.3 cm)Framed: 62 1/2 x 53 x 3 1/2 in.","","Oil on Canvas","","Paintings","","","","","Founders Society Purchase, Director's Discretionary Fund"
"","Formerly in the collection of:  David Whitney, DetroitWayne County Medical Society, DetroitAcquired in 1959. ","","Mountain Landscape with Indians","http://www.dia.org/user_area/comping/59.312.jpg","1814","1872","1870/1875","Canvas: 18 x 30 1/4 in.  (45.7 x 76.8 cm)Framed: 29 1/4 x 41 1/4 x 3 3/8 in.  ( 74.3 x 104.8 x 8.6 cm)","","Oil on canvas","","Paintings","","American","","John Mix Stanley","Gift of the Wayne County Medical Society"
