"artistURI","objectURI","artworkTitle","birthDate","deathDate","dateOfStartOfCreation","dateOfEndOfCreation","dimensions","medium_URI","medium","classification_URI","classification","nationality_URI","nationality","artistAppellationURI","artistName","creditLine"
"","","The Magic Flute, Act II, Scene 29","1941","MetDoesntKnow","1991","1991","H. 22-1/8, W. 30 inches (56.2 x 76.2 cm.)","","Charcoal, pastel, and oil pastel on paper","","Drawings","","American","","Robert Wilson","Van Day Truex Fund, 1993"
"","","Hill of the Cross","1952","MetDoesntKnow","1984","1984","H. 36, W. 48 inches (91.4 x 121.9 cm.)","","Acrylic on canvas","","Paintings","","American","","John Hull","Edith C. Blum Fund, 1986"
"","","Untitled","1947","MetDoesntKnow","1985","1985","H. 30, W. 22-1/2 inches (76.2 x 57.2 cm.)","","Oil stick on paper","","Drawings","","American","","Melissa Meyer","Purchase, Carpat Foundation Inc. Gift, 1986"
"","","Philip Pearlstein (1924- )","1927","MetDoesntKnow","1978","1978","H. 48, W. 32-1/2 inches (121.9 x 82.6 cm.)","","Oil on aluminum cutout painted front and back","","Paintings","","American","","Alex Katz","Purchase, Lila Acheson Wallace Gift, 1979"
"","","Mrs. Peter De Lancey","1734","1805","1771?","1771?","29 3/4 x 25 in. (75.6 x 63.5 cm)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Matthew Pratt","Bequest of Edith Pratt Maxwell, 1956"
"","","Athlete and Dancer","1862","1928","1895?","1897","17 x 22 in. (43.2 x 55.9 cm)","","Oil on canvas","","Paintings","","American","","Arthur B. Davies","Bequest of George D. Pratt, 1935"
"","","Falling Leaves","1899","1949","1945","1945","H. 75-3/4, W. 43-1/8 inches (191.8 x 109.5 cm.)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Eugenie Baizerman","Gift of Miss Irene Worth, 1991"
"","","1943-A","1904","1980","1943","1943","H. 36-1/4, W. 30-1/4 inches (92.1 x 76.8 cm.)","","Oil on cloth","","Paintings","","American","","Clyfford Still","Gift of Mrs. Clyfford Still, 1986"
"","","Two Standing Men","1904","1997","1938","1938","H. 61, W. 45 inches (154.9 x 114.3 cm.)","","Oil and charcoal on canvas","","Paintings","","MetDoesntKnow","","Willem de Kooning","From the Collection of Thomas B. Hess, Purchase, Rogers, Louis V. Bell and Harris Brisbane Dick Funds and Joseph Pulitzer Bequest, 1984"
"","","View in a Haze","1907","1975","1973","1973","H. 22, W. 18 inches (55.9 x 45.7 cm.)","","Oil on pressboard","","Paintings","","American","","Fairfield Porter","Bequest of Arthur M. Bullowa, 1993"
"","","Number 28 (Still Life)","1881","1952","1940","1940","H. 24-1/8, W. 20-1/8 inches (61.3 x 51.1 cm.)","","Oil on canvas","","Paintings","","American","","Albert Eugene Gallatin","Gift of Jerry Leiber, 1985"
"","","Headland","1866","1939","1931","1931","30 x 36 1/8 in. (76.2 x 91.8 cm)","","Oil on canvas","","Paintings","","American","","Allen Tucker","Arthur Hoppock Hearn Fund, 1932"
"","","Untitled","1903","2001","1972","1972","H. 60, W. 50 inches (152.4 x 127 cm.)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Esteban Vicente","Gift of Mrs. Eva Goell Godfrey, in memory of her husband Philip Godfrey, 1973"
"","","The Death of Mr. Mouse","1947","MetDoesntKnow","1981","1982","6 3/8 x 4 5/8 in. (16.2 x 11.7 cm)","","Cut torn and pasted printed and unprinted papers, gouache, charcoal and graphite on paper","","Drawings","","American","","Susan Barron","Gift of Bern Friedelson, 1982"
"","","The Towers of St. Martin, Tours","1857","1926","1899?","1899?","10 1/8 x 6 7/8 in. (25.7 x 17.5 cm)","","Watercolor, black crayon, and white gouache on off-white laid paper","","Drawings","","American","","Joseph Pennell","Bequest of Susan Dwight Bliss, 1966"
"","","Untitled","1905","1987","1929","1929","H. 7-1/2, W. 9-1/2 inches (19.1 x 24.1 cm.)","","Gouache on paper","","Drawings","","American","","Maurice Golubov","Gift of Dr. and Mrs. Robert E. Carroll, 1980"
"","","Sunset","1816","1872","1872","1872","18 x 30 in. (45.7 x 76.2 cm)","","Oil on canvas","","Paintings","","American","","John Frederick Kensett","Gift of Thomas Kensett, 1874"
"","","Blanket","1955","MetDoesntKnow","1986","1986","H. 20, W. 18 inches (50.8 x 45.7 cm.)","","Oil on canvas","","Paintings","","American","","Kevin Larmon","Denise and Andrew Saul Fund, 1986"
"","","The Seven Deadly Sins: Pride","1904","1999","1945","1945","H. 24, W. 11-7/8 inches (61.0 x 30.2 cm.) (sight)","","Egg tempera on gessoed linen over Masonite","","Paintings","","American","","Paul Cadmus","Gift of Lincoln Kirstein, 1993"
"","","Male Nude","1950","MetDoesntKnow","1980","1981","H. 42-1/2, W. 28 inches (123.3 x 71.1 cm.)","","Oil and wax alkyd resin on panel","","Paintings","","American","","Steven Hawley","Purchase, Anonymous Gift, 1987"
"","","John St. Clair","1738","1815","1758","1758","1 3/4 x 1 3/8 in. (4.4 x 3.5 cm)","","Oil on copper","","Paintings","","American","","John Singleton Copley","Dale T. Johnson Fund, 2012"
"","","No. 3","1903","1970","1953","1953","68 x 54 1/4 in. (172.7 x 137.8 cm)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Mark Rothko","The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, in honor of her great-grandchildren, Claire Coven and Hope Coven, 2006"
"","","Nita Reading","1884","1974","1932","1932","H. 21-1/4, W. 16 inches (54 x 40.6 cm.)","","Oil on canvas","","Paintings","","American","","Leon Kroll","George A. Hearn Fund, 1932"
"","","Industrial Facade","1911","1993","1955","1955","H. 36, W. 48-1/4 inches (91.4 x 122.6 cm.)","","Oil on canvas","","Paintings","","American","","Carl A. Morris","Hugo Kastor Fund, 1957"
"","","Muezzin","1905","1975","1954","1954","H. 70-1/2, W. 54-1/2 inches (179.1 x 138.5 cm.)","","Oil on canvas","","Paintings","","American","","George L.K. Morris","Purchase, Roy R. and Marie S. Neuberger Foundation Inc. Gift, 1955"
"","","Sunset on the Sea","1816","1872","1872","1872","28 x 41 1/8 in. (71.1 x 104.5 cm)","","Oil on canvas","","Paintings","","American","","John Frederick Kensett","Gift of Thomas Kensett, 1874"
"","","Portrait of a Lady","1810","1880","1837","1837","2 1/4 x 1 7/8 in. (5.7 x 4.8 cm) Case: 2 7/8 x 2 3/8 in. (7.3 x 6 cm) Sight: 2 5/16 x 1 15/16 in. (5.9 x 4.9 cm)","","Watercolor on ivory in brown leatherette case with green silk and velvet lining","","Paintings","","American","","Samuel Broadbent Jr.","Purchase, funds various donors, by exchange, 2005"
"","","Painting, Number 5","1913","1980","1952","1952","H. 46, W. 40 inches (116.8 x 101.6 cm.)","","Oil on canvas","","Paintings","","American","","Philip Guston","Gift of Mrs. Lawrence Sophian, 1990"
"","","Arrival","1891","1973","1938","1938","H. 24, W. 30 inches (61 x 76.2 cm.)","","Oil on Masonite","","Paintings","","American","","Harry Lane","Arthur Hoppock Hearn Fund, 1939"
"","","Haircut by the Sea","1884","1970","1933","1933","H. 51, W. 35 inches (129.5 x 88.9 cm.)","","Oil on canvas","","Paintings","","American","","Waldo Peirce","George A. Hearn Fund, 1937"
"","","Open Number 19 (Blue)","1915","1991","1968","1968","H. 115-1/2, W. 84 inches (293.4 x 213.4 cm.)","","Polymer paint and charcoal on canvas","","Paintings","","American","","Robert Motherwell","Anonymous Gift, 1969"
"","","Frame Houses","1907","1992","1939","1939","H. 14-1/2, W. 19-3/4 inches (36.8 x 50.2 cm.)","","Gouache on cardboard","","Drawings","","American","","Aaron Bohrod","Arthur Hoppock Hearn Fund, 1939"
"","","James Fowle Baldwin","1771","1834?","1818?","1818?","2 1/2 x 2 in. (6.4 x 5.1 cm)","","Watercolor on ivory","","Paintings","","American","","Elkanah Tisdale","Gift of Gloria Manney, 2006"
"","","Incident in the Parade, St. Patrick's Day","1909","2002","1944","1944","H. 36, W. 48 inches (91.4 x 121.9 cm.)","","Oil on canvas","","Paintings","","American","","Lee Jackson","The Metropolitan Museum of Art, New York George A. Hearn Fund, 1944"
"","","Summer Day on Conesus Lake","1816","1872","1870","1870","24 1/8 x 36 3/8 in. (61.3 x 92.4 cm)","","Oil on canvas","","Paintings","","American","","John Frederick Kensett","Bequest of Collis P. Huntington, 1900"
"","","Winter in Union Square","1859","1935","1889","1890","18 1/4 x 18 in. (46.4 x 45.7 cm)","","Oil on canvas","","Paintings","","American","","Childe Hassam","Gift of Ethelyn McKinney, in memory of her brother, Glenn Ford McKinney, 1943"
"","","Early Spring","1899","1972","1936","1937","H. 32, W. 40 inches (81.3 x 101.6 cm.)","","Oil on canvas","","Paintings","","American","","Hobson Pittman","George A. Hearn Fund, 1938"
"","","Photograph of window","1848","1933","late19th","early20thcentury","Overall: 12 1/2 x 10 1/8 in. (31.8 x 25.7 cm) Design: 10 x 8 1/4 in. (25.4 x 21 cm)","","Photograph colored with gouache and watercolor","","Photographs","","American","","Louis Comfort Tiffany","Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
"","","Design for Rug","1905","1970","1932?","1932?","H.12-1/2, W. 15-5/8 inches (31.8 x 39.7 cm.)","","Gouache on cardboard, pasted to cardboard","","Drawings","","American","","John Ferren","Gift of Murray D. Garson, in memory of Margaret S. Garson, 1984"
"","","Anna Claypoole Peale","1749","1831","1812","1812","2 15/16 x 2 11/16 in. (7.5 x 6.8 cm)","","Watercolor on ivory","","Paintings","","American","","James Peale","Fletcher Fund, 1938"
"","","Abstract Painting - Grey","1913","1967","1950","1950","30 x 40in. (76.2 x 101.6cm)","","Oil on canvas","","Paintings","","American","","Ad Reinhardt","Gift of Henry Geldzahler, 1976"
"","","Untitled","1924","2007","1963","1963","H. 10, W. 9 inches (25.4 x 22.9 cm.)","","Oil on canvas board","","Paintings","","American","","Robert Kulicke","Anonymous Gift, 1978"
"","","Untitled","1913","1966","1951","1951","H. 20, W. 26-1/8 inches (50.8 x 66.4 cm.)","","Oil on paper","","Drawings","","American","","Basil Cimino","Gift of Jerome Burns, 1978"
"","","Alex Katz","1924","MetDoesntKnow","1965","1965","H. 29-3/4, W. 35-3/4 inches (75.6 x 90.8 cm.)","","Oil on canvas","","Paintings","","American","","Philip Pearlstein","Gift of Alex Katz, 1978"
"","","Norman Loftis","1924","MetDoesntKnow","1974","1974","H. 24, W. 16 inches (61 x 40.6 cm.)","","Oil on canvas","","Paintings","","American","","Philip Pearlstein","Gift of Norman Loftis, 1981"
"","","The Red Tablecloth","1884","1930","1915","1915","H. 40, W. 30 inches (101.6 x 76.2 cm.)","","Oil on canvas","","Paintings","","American","","Samuel Halpert","Anonymous Gift, 1994"
"","","House on the S.E. Corner of Fourth and Vine Streets, Salem","1893","1967","1917","1917","H. 18-1/8, W. 22-1/8 inches (46 x 56.2 cm.)","","Gouache and watercolor on paper, mounted on cardboard","","Drawings","","American","","Charles Burchfield","Gift of Mr. and Mrs. Howard Isermann, 1997"
"","","Study for Death and Victory","1856","1925","1921","1922","20 15/16 x 8 15/16 in. (53.2 x 22.7 cm)","","Watercolor, graphite, and gouache on off-white wove paper","","Drawings","","American","","John Singer Sargent","Gift of Mrs. Francis Ormond, 1950"
"","","The White Shield","1867","1944","1912","1912","8 1/16 x 5 3/16 x 1 in. (20.5 x 13.2 x 2.5 cm)","","illustrations: photomechanical reproductions of paintings","","Books","","American","","Binding designed by Margaret Neilson Armstrong","Gift of Constance C. McPhee, 2012"
"","","Mrs. John Cox (Mrs. Thankful Harris Gore)","1787","1830","1810?","1810?","2 15/32 x 2 in. (6.3 x 5.1 cm)","","Watercolor on ivory","","Paintings","","American","","Henry Williams","Maria DeWitt Jesup Fund, 1985"
"","","Moorish Buildings on a Cloudy Day","1856","1925","1879","1880","10 1/4 x 13 3/4 in. (26 x 34.9 cm)","","Oil on wood","","Paintings","","American","","John Singer Sargent","Gift of Mrs. Francis Ormond, 1950"
"","","Tree in Shadows","1945","MetDoesntKnow","1980","1980","H. 24-1/4, W.18-3/4 inches (61.5 x 47.5 cm.)","","Oil on photograph and wood","","Paintings","","American","","Gwen Thomas","Purchase, Mrs. Muriel Palitz Gift, 1980"
"","","Nocturne, Temple d'Amour","1879","1973","1910","1910","H. 25-1/8, W. 24-1/4 inches (63.8 x 61.6 cm.)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Edward J. Steichen","Gift of Watson B. Dickerman, 1911"
"","","Afternoon at Coney Island","1870","1938","1907?","1909","14 1/2 x 18 5/8 in. (36.8 x 47.3 cm)","","Chalk, watercolor, and gouache on paper","","Drawings","","American","","William James Glackens","Gift of A. E. Gallatin, 1915"
"","","Family Dressing","1885","1930","1905","1905","H. 7-1/2, W. 8-1/4 inches (19.1 x 21 cm.)","","Ink, watercolor and gouache on paper","","Drawings","","MetDoesntKnow","","Jules Pascin","Bequest of Scofield Thayer, 1982"
"","","Portrait of a Gentleman","1788","1844","null","null","2 7/8 x 2 1/4 in. (7.3 x 5.7 cm)","","Watercolor on ivory in brown leatherette locket","","Paintings","","American","","Nathaniel Rogers","Fletcher Fund, 2006"
"","","Vista at the Edge of the Sea","1901","1982","1940","1940","H. 51, W. 80 inches (129.5 x 203.2 cm.)","","Oil on canvas","","Paintings","","American","","Leon Kelly","Arthur Hoppock Hearn Fund, 1981"
"","","Television Robot","1950","MetDoesntKnow","1971","1980","H. 62, W. 40-1/2 inches (157.5 x 102.9 cm.)","","Gouache and ink on paper","","Drawings","","American","","Robin Winters","Purchase. Louis and Bessie Adler Foundation, Inc. Gift (Seymour M. Klein, President), 1988"
"","","Study for Mural at Boys and Girls High School, Bedford-Stuyvesant, Brooklyn","1929","2003","1972","1972","4 panels, each 9 x 4 1/2 in. (22.9 x 11.4 cm)","","Acrylic on cardboard","","Paintings","","American","","Vincent D. Smith","Purchase, Ruth and Seymour Klein Foundation, Inc. Gift, 2002"
"","","Boboli Garden, Florence","1856","1925","1906?","197","11 1/2 x 18 1/8 in. (29.2 x 46 cm)","","Watercolor, gouache, and graphite on white wove paper, mounted on board","","Drawings","","American","","John Singer Sargent","Gift of Mrs. Francis Ormond, 1950"
"","","The New Bonnet","1806","1863","1858","1858","25 x 30 1/8 in. (63.5 x 76.5 cm)","","Oil on canvas","","Paintings","","American","","Francis William Edmonds","Purchase, Erving Wolf Foundation Gift and Gift of Hanson K. Corning, by exchange, 1975"
"","","Design for church dome","1848","1933","late19th","early20thcentury","36 1/4 x 27 1/2 in. (92.1 x 69.9 cm)","","Watercolor, gouache, brown and black ink, and graphite on board","","Drawings","","American","","Louis Comfort Tiffany","Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
"","","Pierre Mac Orlan","1885","1930","1924","1924","H. 36-1/4, W. 28-3/4 inches (92.1 x 73 cm.)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Jules Pascin","The Mr. and Mrs. Klaus G. Perls Collection, 1997"
"","","George Catlin","1807","1893","1835","1835","2 3/16 x 1 13/16 in. (5.6 x 4.6 cm)","","Watercolor on ivory","","Paintings","","MetDoesntKnow","","John Wood Dodge","Rogers Fund, 1926"
"","","Figure","1891","1965","1950","1950","39 5/8 x 29 1/2 in. (100.6 x 74.9 cm)","","Oil and enamel on cardboard","","Paintings","","American","","Earl Kerkam","The Muriel Kallis Steinberg Newman Collection, Gift of Muriel Kallis Newman, 2006"
"","","Hummingbird and Apple Blossoms","1819","1904","1875","1875","12 3/16 x 14 1/8 in. (31 x 35.9 cm)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Martin Johnson Heade","Gift of Mrs. J. Augustus Barnard, 1979"
"","","Red-Blue","1923","MetDoesntKnow","1960","1960","H. 32, W. 24 inches (81.3 x 61 cm.)","","Oil on canvas","","Paintings","","American","","Ellsworth Kelly","Gift of Stanley Posthorn, 1972"
"","","Patio de los Leones, Alhambra","1856","1925","1879","1879","9 3/4 x 13 1/2 in. (24.8 x 34.3 cm)","","Watercolor, gouache, and graphite on off-white wove paper","","Drawings","","American","","John Singer Sargent","Gift of Mrs. Francis Ormond, 1950"
"","","Portrait of a Woman","1741","1827","1775?","1775?","9 3/4 x 7 7/8 in. (24.8 x 20 cm)","","Oil on canvas","","Paintings","","American","","Charles Willson Peale","Fletcher Fund, 1926"
"","","Shooting Stars","1907","1971","1952","1952","H. 24-1/2, W. 40 inches (62.3 x 101.6 cm.)","","Glass, casein, and tempera on Masonite","","Paintings","","American","","Irene Rice Pereira","The Edward Joseph Gallagher III Memorial Collection, Gift of Edward J. Gallagher, Jr., 1955"
"","","Joseph Anthony Jr.","1755","1828","1795?","1798","30 x 24 1/2 in. (76.2 x 62.2 cm)","","Oil on canvas","","Paintings","","American","","Gilbert Stuart","Rogers Fund, 1905"
"","","Eagle's Nest, Franconia Notch","1833","1905","1873","1873","12 7/8 x 9 7/16 in. (32.7 x 24 cm)","","Watercolor, gouache, and graphite on light tan wove paper.","","Drawings","","American","","William Trost Richards","Bequest of Susan Dwight Bliss, 1966"
"","","Beyond Mountains, Number 1","1922","1997","1950","1950","H. 86-1/4, W. 41 inches (168.3 x 104.2 cm.)","","Oil on canvas","","Paintings","","American","","Theodoros Stamos","Gift of Miss Katherine Ordway, 1956"
"","","Edward Kellogg","1783","1861","1831","1832","33 3/8 x 25 3/8 in. (84.8 x 64.5 cm)","","Oil on wood","","Paintings","","MetDoesntKnow","","Samuel Lovett Waldo","Gift of Mrs. Mary E. Kellogg Putnam, 1899"
"","","Delphinium","1955","MetDoesntKnow","1988","1988","15 1/8 x 15 1/4 in. (38.4 x 38.7 cm) (Frame)","","Oil, graphite, charcoal and pebbles on canvas","","Paintings","","American","","Kevin Larmon","Gift of Lisa Roumell and Mark Rosenthal, 2002"
"","","Landscape, New Mexico","1877","1943","1919","1920","27 1/8 x 34 7/8 in. (68.9 x 88.6 cm)","","Oil on canvas","","Paintings","","American","","Marsden Hartley","Alfred Stieglitz Collection, 1949"
"","","The Unknown Masterpiece","1945","MetDoesntKnow","1982","1982","H. 25-1/8, W. 19-1/2 inches (63.8 x 49.5 cm.)","","Watercolor, gouache, graphite, cut and pasted printed papers on paper","","Drawings","","German","","Anselm Kiefer","Gift of Cynthia Hazen Polsky, in memory of her father, Joseph H. Hazen, 2000"
"","","The Strange Thing Little Kiosai Saw in the River","1835","1910","1897","1897","12 7/16 x 18 3/16 in. (31.6 x 46.2 cm)","","Watercolor and gouache on Japanese tissue laid down on white wove paper","","Drawings","","American","","John La Farge","Rogers Fund, 1917"
"","","Delta Group II","1939","MetDoesntKnow","1975","1975","H. 51, W. 88 inches (129.5 x 223.5 cm.)","","Acrylic on canvas","","Paintings","","American","","Jack Whitten","Purchase, Joseph H. Hazen Foundation, Inc. Gift, 1975"
"","","White Walls in Sunlight, Morocco","1856","1925","1879","1880","10 1/4 x 13 3/4 in. (26 x 34.9 cm)","","Oil on wood","","Paintings","","American","","John Singer Sargent","Gift of Mrs. Francis Ormond, 1950"
"","","White Lines","1907","1971","1941","1941","H. 22-1/4, W. 15-1/2 inches (57.2 x 39.4 cm.)","","Gouache on paper","","Drawings","","American","","Irene Rice Pereira","Gift of New York City W. P. A., 1943"
"","","Alison Series: One November Day","1903","2001","1976","1976","H. 72, W. 56 inches (182.9 x 142.2 cm.)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Esteban Vicente","Gift of Dr. and Mrs. Robert E. Carroll, 1977"
"","","John Payne Todd","1778","1830","1817?","1817?","2 5/8 x 2 1/16 in. (6.7 x 5.26 cm)","","Watercolor on ivory","","Paintings","","MetDoesntKnow","","Attributed to Joseph Wood","Gift of Miss Mary Madison McGuire, 1936"
"","","Fighting a Fire","1800?","1880","1870s","1870s","6 x 9 1/8 in. (15.2 x 23.2 cm)","","Oil on slate paper","","Paintings","","American","","William P. Chappel","The Edward W. C. Arnold Collection of New York Prints, Maps, and Pictures, Bequest of Edward W. C. Arnold, 1954"
"","","Homeless","1897","1977","1938","1938","H. 20, W. 28 inches (50.8 x 71.1 cm.)","","Oil on canvas","","Paintings","","American","","William Gropper","Arthur Hoppock Hearn Fund, 1939"
"","","Foot Landscape","1942","1994","1975","1975","H. 6, W. 4 inches (15.2 x 10.2 cm.)","","Gouache on paper","","Drawings","","American","","Joe Brainard","Gift of Stanley Posthorn, in memory of the artist, 1997"
"","","Self-Portrait","1908","1984","1929?","1930","H. 6-1/2, W. 5-1/4 inches (16.5 x 13.3 cm.)","","Oil and graphite on paper","","Drawings","","American","","Lee Krasner","Gift of the Pollock-Krasner Foundation, 1997"
"","","The Virgin of Guadalupe","1877","1943","1918-19?","1918-19?","31 7/8 x 23 7/8 in. (81 x 60.6 cm)","","Oil and charcoal on paperboard","","Paintings","","American","","Marsden Hartley","Alfred Stieglitz Collection, 1949"
"","","Mrs. Mayer and Daughter","1788","1865","1835","1840","37 7/8 x 34 1/4 in. (96.2 x 87 cm)","","Oil on canvas","","Paintings","","MetDoesntKnow","","Ammi Phillips","Gift of Edgar William and Bernice Chrysler Garbisch, 1962"
"","","High Point: Shandaken Mountains","1796","1886","1853","1853","32 3/4 x 48 in. (83.2 x 121.9 cm)","","Oil on canvas","","Paintings","","American","","Asher Brown Durand","Bequest of Sarah Ann Ludlum, 1877"
"","","Interior","1924","2001","1958","1958","H. 28-3/4, W. 36-3/4 inches (73 x 93.3 cm.)","","Oil on canvas","","Paintings","","American","","Reginald Pollack","Anonymous Gift, 1993"
"","","Hudson at Newburgh","1879","1956","1915?","1915?","12 1/8 x 20 in. (30.8 x 50.8 cm)","","Oil on cardboard","","Paintings","","American","","Gifford Beal","Gift of Estate of Gifford Beal, 1995"
"","","Rochelle at the Window","1895","1981","1954","1954","H. 13-1/8, W. 13 inches (33.4 x 33 cm.)","","Oil on canvas","","Paintings","","American","","Robert Philipp","Arthur Hoppock Hearn Fund, 1954"
"","","Mrs. Winfield Scott","1796","1886","1831","1831","34 x 27 in. (96.4 x 68.6 cm)","","Oil on canvas","","Paintings","","American","","Asher Brown Durand","Gift of Mrs. John C. Newington, 1965"
"","","Maquette for Orpheus and Eurydice","1952","MetDoesntKnow","1983","1983","Sculpture: H. 7-7/8, W. 4-1/4, D. 1-3/4 inches (20 x 10.8 x 4.4 cm.) Sculpture mounted on board: H. 8-3/4, W. 5-1/4, D. 2-1/4 inches (22.2 x 13.3 x 5.7 cm.)","","Gouache on cut and pasted papers","","Sculpture","","American","","Timothy Woodman","Gift of the artist, 1996"
"","","Nevada Falls, Yosemite","1830","1902","1872or1873","1872or1873","39 x 30 in. (76.2 x 99.1 cm)","","Oil on canvas","","Paintings","","American","","Albert Bierstadt","Gift of Mrs. J. Augustus Barnard, 1979"
"","","Horse","1968","MetDoesntKnow","1992","1992","H. 74-1/4, W. 62-5/8 inches (188.6 x 159.1 cm)","","Oil on canvas","","Paintings","","American","","Ian Phillips","Gift of Susan Kasen Summer and Robert D. Summer, 1998"
"","","The Winding Path","1878","1957","1924","1924","H. 45-3/8, W. 32-1/2 inches (115.3 x 82.6 cm.)","","Oil on canvas","","Paintings","","American","","Maurice Sterne","Bequest of Sam A. Lewisohn, 1951"
"","","Pasipha�","1912","1956","1943","1943","56 1/8 x 96in. (142.6 x 243.8cm)","","Oil on canvas","","Paintings","","American","","Jackson Pollock","Purchase, Rogers, Fletcher, and Harris Brisbane Dick Funds and Joseph Pulitzer Bequest, 1982"
"","","Design for window for Sarah Cochran, Linden Hall, Dawson, Pennsylvania","1857","1953","1913?","1913?","Overall: 13 1/4 x 7 7/8in. (33.7 x 20cm) Other (Design): 10 x 2 1/4 in. (25.4 x 5.7 cm) Other (mat/mount size): 19 1/4 x 14 1/4 in. (48.9 x 36.2 cm)","","Watercolor, gouache, and graphite on wove paper mounted on original grey matt board","","Drawings","","MetDoesntKnow","","Agnes F. Northrop","Purchase, Walter Hoving and Julia T. Weld Gifts and Dodge Fund, 1967"
"","","Three Wolves","1946","MetDoesntKnow","1980","1980","H. 22-1/4, W. 30 inches (56.5 x 76.2 cm.)","","Gouache and enamel on paper","","Drawings","","American","","Nancy Giesmann","Purchase, Joseph H. Hazen Foundation, Inc. and Charles Z. Offin Art Fund Inc. Gifts, 1981"
"","","View of New York from Hoboken","1799","1884","null","null","13 7/16 x 20 1/2 in. (34.1 x 52.1 cm)","","Watercolor, gouache on off-white wove paper","","Drawings","","MetDoesntKnow","","Nicolino Calyo","Gift of Marne L-S Hornblower, Dr. John J. Weber, Virginia L-S Cowles, and Diane L-S Hewat, 1985"
"","","[Red Church]","1903","1975","1950s","1960s","21.3 x 37.8 cm (8 3/8 x 14 7/8 in. )","","Tempera on panel","","Paintings","","American","","Walker Evans","Walker Evans Archive, 1994"
"","","Mrs. Michael Taney (Monica Brooke)","1741","1827","1770?","1770?","1 13/16 x 1 7/32 in. (4.6 x 3.1 cm)","","Watercolor on ivory in gold locket","","Paintings","","American","","Charles Willson Peale","Harris Brisbane Dick Fund, 1938"
"","","Self-portrait miniature","1738","1815","1769","1769","1 5/16 x 1 1/16 in. (3.3 x 2.7 cm)","","Watercolor on ivory in gold locket","","Paintings","","American","","John Singleton Copley","Purchase, Harris Brisbane Dick Fund, by exchange, Anonymous Gift, and Virginia Marvin Stoughton Bequest, 2006"
"","","The Relation of the Individual to the State: Socrates and His Friends Discuss The Republic, as in Plato's Account; Color Study for Mural, Supreme Court Room, Saint Paul, Minnesota State Capitol, Saint Paul","1835","1910","1903","1903","9 5/8 x 10 7/8 in. (24.4 x 27.6 cm)","","Gouache, watercolor, and graphite on light tan wove paper","","Drawings","","American","","John La Farge","Bequest of Susan Dwight Bliss, 1966"
"","","Arched Doorway","1856","1925","1895","1908?","13 15/16 x 9 15/16 in. (35.4 x 25.2 cm)","","Watercolor and gouache on white wove paper","","Drawings","","American","","John Singer Sargent","Gift of Mrs. Francis Ormond, 1950"
"","","Land and Water (No. 2)","1856","1925","1905","196","10 x 7 in. (25.4 x 17.8 cm)","","Watercolor and gouache on white wove paper","","Drawings","","American","","John Singer Sargent","Gift of Mrs. Francis Ormond, 1950"
"","","Surf, Isles of Shoals","1859","1935","1913","1913","28 1/4 x 35 1/4 in. (89.5 x 71.8 cm)","","Oil on canvas","","Paintings","","American","","Childe Hassam","Gift of Dr. and Mrs. Sheldon C. Sommers, 1996"
"","","Tables for Ladies","1882","1967","1930","1930","H. 48-1/4, W. 60-1/4 inches (122.6 x 153 cm.)","","Oil on canvas","","Paintings","","American","","Edward Hopper","George A. Hearn Fund, 1931"
"","","Bird by the Sea","1874","1950","1949","1949","36 1/4 x 42 in. (92.1 x 106.7 cm)","","Oil on canvas","","Paintings","","American","","Clayton S. Price","George A. Hearn Fund, 1949"
"","","Presence, Ramapo Horizon","1916","1992","1975","1975","72 x 120in. (182.9 x 304.8cm) 73 x 121 x 2 in. (185.4 x 307.3 x 5.1 cm) (Frame)","","Acrylic on canvas","","Paintings","","American","","Richard Pousette-Dart","George A. Hearn Fund, 1982"
"","","An Arctic Summer: Boring Through the Pack in Melville Bay","1823","1892","1871","1871","51 3/4 x 78 in. (131.4 x 198.1 cm); framed: 60 x 86 1/2 x 4 in.","","Oil on canvas","","Paintings","","American","","William Bradford","Gift of Erving and Joyce Wolf, in memory of Diane R. Wolf, 1982"
"","","[Portrait of Walker Evans]","1898","1969","1931","1931","71.1 x 48.3 cm (28 x 19 in. )","","Gouache on paper","","Paintings","","MetDoesntKnow","","Ben Shahn","Walker Evans Archive, 1994"
"","","Lago Avernus","1833","1905","1867?","1870","4 1/2 x 9 1/2 in. (11.4 x 24.1 cm)","","Watercolor, gouache, and graphite on blue wove paper","","Drawings","","American","","William Trost Richards","Morris K. Jesup Fund, 2001"
"","","Red Roses Sonata","1895","1978","1972","1972","H. 60, W. 54 inches (152.4 x 137.2 cm.)","","Acrylic on canvas","","Paintings","","American","","Alma Thomas","Gift of Longview Foundation, Inc., in memory of Audrey Stern Hess, 1976"
