"Process","person_uri","object_uri","Artwork_Name","image","Artwork_Year","Dimensions","person_appellation_uri","name","Provenance"
"Lithograph, edition 59/90","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.107&dim=300px","","20 x 28 in. (50.8 x 71.1 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Gift of Ronald Wilkniss"
"Six silkscreens, edition 41/100","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.26A-F&dim=300px","","Each: 20 1/8 x 27 in. (51.1 x 68.6 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Gift of Jonathan Novak"
"Lithograph on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.157&dim=300px","","41 x 31 1/2 in. (104.1 x 80 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Bequest of Marcia Simon Weisman"
"Wood, fabric and enamel","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=94.71&dim=300px","","11 x 11 x 12 1/2 in. (27.9 x 27.9 x 31.8 cm)","","Ross Rudel","The Museum of Contemporary Art, Los Angeles
The Panza Gift"
"Silkscreen and color lithograph on Magnani Pescia paper, edition of 30; PP II/II","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.76.2&dim=300px","","Paper: 13 1/2 x 9 3/4 in. (34.3 x 24.8 cm)","","Kay Rosen","The Museum of Contemporary Art, Los Angeles
Gift of Hudson"
"Silkscreen on Arches 88 paper, edition of 25; TP IV/IV","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.74.2&dim=300px","","Paper: 30 1/4 x 22 1/2 in. (76.8 x 57.2 cm)","","Kay Rosen","The Museum of Contemporary Art, Los Angeles
Gift of Hudson"
"Silkscreen on lead","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.37&dim=300px","","21 7/8 x 14 in. (55.6 x 35.6 cm)","","Allen Ruppersberg","The Museum of Contemporary Art, Los Angeles
Gift of Councilman Joel Wachs"
"Ten offset posters, edition of 30","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.62A-J&dim=300px","","Each: 22 x 14 in. (55.9 x 35.6 cm)","","Allen Ruppersberg","The Museum of Contemporary Art, Los Angeles
Gift of Dr. and Mrs. Merle S. Glick"
"5 color photographs and 5 sheets of paper with type, edition 3/3","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2006.76&dim=300px","","Frame: 29 3/8 x 60 3/8 x 1 1/2 in. (74.6 x 153.4 x 3.8 cm)
Each (Photograph): 10 x 8 in. (25.4 x 20.3 cm)
Each (Paper): 10 1/4 x 8 1/2 in. (26 x 21.6 cm)","","Allen Ruppersberg","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Acquisition and Collection Committee and the Photography Committee"
"Graphite on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.61&dim=300px","","20 x 24 in.","","Allen Ruppersberg","The Museum of Contemporary Art, Los Angeles
Gift of Dr. and Mrs. Merle S. Glick"
"Graphite on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.102&dim=300px","","29 x 23 in. (73.7 x 58.4 cm)","","Allen Ruppersberg","The Museum of Contemporary Art, Los Angeles
Gift of Marc Selwyn"
"Mixed media","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=95.68&dim=300px","","72 x 72 in. (182.9 x 182.9 cm)","","Allen Ruppersberg","The Museum of Contemporary Art, Los Angeles
Gift of Judy and Stuart Spence"
"Acrylic on canvas with ten concrete heads","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.39&dim=300px","","Each: 96 x 66 in. (243.8 x 167.6 cm)","","Allen Ruppersberg","The Museum of Contemporary Art, Los Angeles
Gift of an anonymous donor and the artist"
"Untitled , 1998","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2002.52&dim=300px","","Acetate and acrylic with silkscreen","","Larry Johnson","13 1/4 x 21 3/4 in. (33.7 x 55.2 cm)"
"Oil on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=88.15&dim=300px","","93 1/8 x 81 in. (236.5 x 205.7 cm)","","Mark Rothko","The Museum of Contemporary Art, Los Angeles
The Panza Collection"
"Pencil on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.174&dim=300px","","117 x 138 in. (297.2 x 350.5 cm)","","Nancy Rubins","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by The Gene J. Burton Acquisitions Endowment and Betye M. Burton"
"Stainless steel and airplane parts","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2002.2&dim=300px","","300 x 648 x 396 in. (762 x 1645.9 x 1005.8 cm)","","Nancy Rubins","The Museum of Contemporary Art, Los Angeles
Purchased in honor of Beatrice Gersh with funds provided by the Acquisition and Collection Committee; The Broad Art Foundation; Linda and Bob Gersh; David, Susan, Steven, and Laura Gersh; and Eugenio Lopez"
"Umwandlung , 1968","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.197&dim=300px","","Lithograph, edition 190/200","","Sigmar Polke","19 5/8 x 27 1/2 in. (49.8 x 69.9 cm)"
"Umwandlung (Metamorphasis) (B.11) , 1968","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.104&dim=300px","","Offset lithograph","","Sigmar Polke","18 1/4 x 26 1/2 in. (46.4 x 67.3 cm)"
"Lacquer on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.199&dim=300px","","27 1/2 x 25 5/8 in. (69.9 x 65.1 cm)","","Gerhard Richter","The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Blake Byrne"
"Graphite on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.62&dim=300px","","24 x 18 in. (61 x 45.7 cm)","","T. Kelly Mason","The Museum of Contemporary Art, Los Angeles
Gift of an anonymous donor"
"Aluminum structure, packing blankets, collage and sound installation","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.11&dim=300px","","98 1/2 x 63 x 358 1/4 in. (250.2 x 160 x 910 cm)","","T. Kelly Mason","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Mike Kelley"
"Lithograph, edition 59/90","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.107&dim=300px","","20 x 28 in. (50.8 x 71.1 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Gift of Ronald Wilkniss"
"Six silkscreens, edition 41/100","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=91.26A-F&dim=300px","","Each: 20 1/8 x 27 in. (51.1 x 68.6 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Gift of Jonathan Novak"
"Lithograph on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=96.157&dim=300px","","41 x 31 1/2 in. (104.1 x 80 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Bequest of Marcia Simon Weisman"
"Oil on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.89&dim=300px","","19 1/2 x 52 1/4 in. (49.5 x 132.7 cm)","","Edward Ruscha","The Museum of Contemporary Art, Los Angeles
Gift of Alan N. Kleinman from the Estate of Marsha Kleinman"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.9&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.4&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Mixed media photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.144.15&dim=300px","","20 x 24 in. (50.8 x 61 cm)","","Susan Rankaitis","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Two black and white photographs, mounted on rag board, edition of 7","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.89A-B&dim=300px","","Each: 39 1/2 x 27 in. (100.3 x 68.6 cm)","","Charles Ray","The Museum of Contemporary Art, Los Angeles
Gift of Lannan Foundation"
"Wood table with ceramic plate, metal canister, plastic bowl, plastic tumbler, aluminum shaker, terracotta pot with synthetic plant, motors","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.87&dim=300px","","43 x 52 1/2 x 35 in. (109.2 x 133.4 x 88.9 cm)","","Charles Ray","The Museum of Contemporary Art, Los Angeles
Gift of Lannan Foundation"
"Kodachrome photographs mounted on board","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.92&dim=300px","","9 x 60 in. (22.9 x 152.4 cm)","","Charles Ray","The Museum of Contemporary Art, Los Angeles
Gift of Lannan Foundation"
"Color photograph in artist's frame","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.91&dim=300px","","38 x 30 in. (96.5 x 76.2 cm)","","Charles Ray","The Museum of Contemporary Art, Los Angeles
Gift of Lannan Foundation"
"Steel with metal box, thermos, plastic cup, terracotta pot with synthetic plant, painted metal can","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.88&dim=300px","","44 x 46 x 32 in. (111.8 x 116.8 x 81.3 cm)","","Charles Ray","The Museum of Contemporary Art, Los Angeles
Gift of Lannan Foundation"
"Porcelain bathtub, brass, aluminum, and water","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.33&dim=300px","","60 x 29 1/2 x 21 in. (152.4 x 74.9 x 53.3 cm)","","Charles Ray","The Museum of Contemporary Art, Los Angeles
The El Paso Natural Gas Company Fund for California Art"
"Electric motor with 9 in. diameter disc","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.86&dim=300px","","Diameter: 9 in. (22.9 cm)","","Charles Ray","The Museum of Contemporary Art, Los Angeles
Gift of Lannan Foundation"
"Black and white photograph, mounted on rag board, edition of 7","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.90&dim=300px","","29 1/4 x 42 1/4 x 2 1/4 in. (74.3 x 107.3 x 5.7 cm)","","Charles Ray","The Museum of Contemporary Art, Los Angeles
Gift of Lannan Foundation"
"Acrylic on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2008.60&dim=300px","","Image: 22 1/4 x 22 1/4 in. (56.5 x 56.5 cm)","","Daryl Trivieri","Museum of Contemporary Art, THE DOROTHY AND HERBERT VOGEL COLLECTION: FIFTY WORKS FOR FIFTY STATES, a joint initiative of the Trustees of the Dorothy and Herbert Vogel Collection and the National Gallery of Art, with generous support of the National Endowment for the Arts and the Institute for Museum and Library Services."
"Photolithograph on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.95&dim=300px","","33 1/2 x 26 5/8 in. (85.1 x 67.6 cm)","","Laurie Simmons","The Museum of Contemporary Art, Los Angeles
Gift of Alan N. Kleinman from the Estate of Marsha Kleinman"
"Color photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.94&dim=300px","","16 1/4 x 23 in. (41.3 x 58.4 cm)","","Laurie Simmons","The Museum of Contemporary Art, Los Angeles
Gift of Alan N. Kleinman from the Estate of Marsha Kleinman"
"Black and white photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.37&dim=300px","","83 1/4 x 47 1/4 in. (211.5 x 120 cm)","","Laurie Simmons","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Councilman Joel Wachs"
"Black and white photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.64&dim=300px","","31 x 46 in. (78.7 x 116.8 cm)","","Laurie Simmons","The Museum of Contemporary Art, Los Angeles
Gift of Councilman Joel Wachs"
"Parquet wood flooring, drywall, and wood with cibachrome print on masonite","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.166A-C&dim=300px","","Photo: 30 x 20 in. (76.2 x 50.8 cm)
Floor: 15 3/4 x 59 x 90 1/2 in. (40 x 149.9 x 229.9 cm)","","Gordon Matta-Clark","The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Blake Byrne"
"Black ink on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2007.19&dim=300px","","14 1/4 x 47 in. (36.2 x 119.4 cm)","","Gordon Matta-Clark","The Museum of Contemporary Art, Los Angeles
Gift of Thomas Solomon and John Solomon in memory of Holly Solomon"
"Black and white photo collage","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.107&dim=300px","","30 x 40 in. (76.2 x 101.6 cm)","","Gordon Matta-Clark","The Museum of Contemporary Art, Los Angeles
Gift of Dr. David Clark and Dr. Jennifer Andrews Clark"
"Color photograph, edition of 20","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.119.12&dim=300px","","Frame: 19 3/8 x 26 9/16 in. (49.2 x 67.5 cm)","","Ana Mendieta","The Museum of Contemporary Art, Los Angeles
Purchased with a grant provided by The Judith Rothschild Foundation"
"Color photograph, edition of 20","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.119.10&dim=300px","","Frame: 19 3/8 x 26 9/16 in. (49.2 x 67.5 cm)","","Ana Mendieta","The Museum of Contemporary Art, Los Angeles
Purchased with a grant provided by The Judith Rothschild Foundation"
"Paint, marine varnish, thread, laser print and collage on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.146&dim=300px","","108 x 72 in. (274.3 x 182.9 cm)","","Thaddeus Strode","The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Eileen and Michael Cohen"
"Cut photographs and tape","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.32.1&dim=300px","","Frame: 21 1/8 x 30 3/4 x 1 1/2 in. (53.7 x 78.1 x 3.8 cm)
20 5/8 x 30 1/4 in. (52.4 x 76.8 cm)","","Paul Sietsema","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Drawings Committee"
"16mm film in black & white and color without sound, edition 1/5, 2 APs","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2006.173&dim=300px","","Dimensions variable","","Paul Sietsema","The Museum of Contemporary Art, Los Angeles
Gift of Shaun Caley Regen in memory of Stuart Regen"
"C-print, edition 1/5","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.263&dim=300px","","18 3/4 x 22 3/4 in. (47.6 x 57.8 cm)
Paper: 15 3/4 x 19 3/4 in. (40 x 50.2 cm)","","Paul Sietsema","The Museum of Contemporary Art, Los Angeles
Gift of Councilman Joel Wachs"
"Cut photographs and tape","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.32.2&dim=300px","","Frame: 21 1/8 x 30 3/4 x 1 1/2 in. (53.7 x 78.1 x 3.8 cm)
20 5/8 x 30 1/4 in. (52.4 x 76.8 cm)","","Paul Sietsema","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Drawings Committee"
"Bronze enamel on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=88.36&dim=300px","","82 1/2 x 110 in. (209.6 x 279.4 cm)","","Elaine Sturtevant","The Museum of Contemporary Art, Los Angeles
Gift of Barbara and Eugene Schwartz"
"Encaustic collage on canvas with objects","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.25&dim=300px","","33 3/4 x 26 in. (85.7 x 66 cm)","","Elaine Sturtevant","The Museum of Contemporary Art, Los Angeles
Gift of Ron and Kelly Meyer"
"Velvet","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.149&dim=300px","","64 x 66 in. (162.6 x 167.6 cm)","","Beverly Semmes","The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Eileen and Michael Cohen"
"Mixed media on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=86.49&dim=300px","","94 x 102 in. (238.8 x 259.1 cm)","","Frank Stella","The Museum of Contemporary Art, Los Angeles
Gift of Irwin and Doris Osher"
"One color lithograph on Deluxe paper, edition 52/100","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.93.2&dim=300px","","Paper: 16 x 22 in. (40.6 x 55.9 cm)","","Frank Stella","The Museum of Contemporary Art, Los Angeles
Gift of J. P. Guerin"
"One color lithograph on Deluxe paper, edition 52/100","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.93.4&dim=300px","","Paper: 16 x 22 in. (40.6 x 55.9 cm)","","Frank Stella","The Museum of Contemporary Art, Los Angeles
Gift of J. P. Guerin"
"34 color lithograph/screenprint, edition 21/50","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=82.12.4&dim=300px","","33 7/8 x 45 7/8 in. (86 x 116.5 cm)","","Frank Stella","The Museum of Contemporary Art, Los Angeles
Gift of  David Gensburg"
"Acrylic on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.105&dim=300px","","40 1/2 x 36 in. (102.9 x 91.4 cm)","","Ron Terada","The Museum of Contemporary Art, Los Angeles
Gift of Patrick Painter in memory of Stuart Regen"
"3M reflective vinyl, aluminum, lights, steel, and wood","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.10&dim=300px","","120 x 120 x 60 in., 616 lb. (304.8 x 304.8 x 152.4 cm, 279.4 kg)","","Ron Terada","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by the Curatorial Discretionary Fund"
"Oil on wood","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.107&dim=300px","","9 1/4 x 24 3/4 in. (23.5 x 62.9 cm)","","Bob Thompson","The Museum of Contemporary Art, Los Angeles
Gift of Lannan Foundation"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=87.66.20&dim=300px","","10 1/2 x 14 in. (26.7 x 35.6 cm)","","Robert Von Sternberg","The Museum of Contemporary Art, Los Angeles
Gift of Sue and Al Dorskind"
"Oil on canvas","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2005.29&dim=300px","","31 1/2 x 43 1/2 in. (80 x 110.5 cm)","","Magnus von Plessen","The Museum of Contemporary Art, Los Angeles
Partial and promised gift of Beth Swofford"
"Collage on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.24&dim=300px","","10 3/4 x 14 3/4 in. (27.3 x 37.5 cm)
Frame: 10 3/4 x 14 3/4 in. (27.3 x 37.5 cm)","","John Neff","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Martin and Rebecca Eisenberg"
"Collage on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.25&dim=300px","","12 3/4 x 9 3/4 in. (32.4 x 24.8 cm)
Frame: 21 5/8 x 9 3/4 in. (54.9 x 24.8 cm)","","John Neff","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Martin and Rebecca Eisenberg"
"Collage on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.27&dim=300px","","15 x 11 3/4 in. (38.1 x 29.8 cm)
Frame: 15 x 13 3/4 in. (38.1 x 34.9 cm)","","John Neff","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Martin and Rebecca Eisenberg"
"Color contact print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.28&dim=300px","","14 3/4 x 12 3/4 in. (37.5 x 32.4 cm)","","John Neff","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Martin and Rebecca Eisenberg"
"Collage on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.26&dim=300px","","13 1/8 x 10 1/2 in. (33.3 x 26.7 cm)","","John Neff","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Martin and Rebecca Eisenberg"
"Collage on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2003.23&dim=300px","","14 3/8 x 10 7/8 in. (36.5 x 27.6 cm)
Frame: 13 1/8 x 10 1/2 in. (33.3 x 26.7 cm)","","John Neff","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Martin and Rebecca Eisenberg"
"Silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=86.53&dim=300px","","8 x 9 3/4 in. (20.3 x 24.8 cm)","","Edward Weston","The Museum of Contemporary Art, Los Angeles
Gift of Philip Feldman"
"Black and white photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=82.9&dim=300px","","7 1/2 x 9 1/2 in. (19.1 x 24.1 cm)","","Edward Weston","The Museum of Contemporary Art, Los Angeles
Gift of  William A. Palmer"
"Black and white photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=82.8&dim=300px","","7 1/2 x 9 1/2 in. (19.1 x 24.1 cm)","","Edward Weston","The Museum of Contemporary Art, Los Angeles
Gift of  William A. Palmer"
"Black and white photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=82.10&dim=300px","","7 1/2 x 9 1/2 in. (19.1 x 24.1 cm)","","Edward Weston","The Museum of Contemporary Art, Los Angeles
Gift of  William A. Palmer"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.109&dim=300px","","16 x 20 in. (40.6 x 50.8 cm)
Image: 7 1/4 x 13 3/8 in. (18.4 x 34 cm)","","Max Yavno","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.49&dim=300px","","13 1/2 x 10 3/8 in. (34.3 x 26.4 cm)","","Max Yavno","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.81&dim=300px","","15 3/8 x 19 3/8 in. (39.1 x 49.2 cm)","","Max Yavno","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.12&dim=300px","","20 x 15 in. (50.8 x 38.1 cm)
Image: 13 3/8 x 10 1/2 in. (34 x 26.7 cm)","","Max Yavno","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.34&dim=300px","","15 7/8 x 19 7/8 in. (40.3 x 50.5 cm)
Image: 10 1/4 x 13 1/2 in. (26 x 34.3 cm)","","Max Yavno","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.141&dim=300px","","22 x 28 in. (55.9 x 71.1 cm)
Image: 15 1/2 x 19 3/8 in. (39.4 x 49.2 cm)","","Max Yavno","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.19&dim=300px","","19 7/8 x 15 7/8 in. (50.5 x 40.3 cm)
Image: 13 1/2 x 10 1/8 in. (34.3 x 25.7 cm)","","Max Yavno","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.96&dim=300px","","13 3/8 x 10 3/8 in. (34 x 26.4 cm)
Image: 13 3/8 x 10 3/8 in. (34 x 26.4 cm)","","Max Yavno","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.135&dim=300px","","20 x 16 in. (50.8 x 40.6 cm)
Image: 13 3/8 x 9 1/2 in. (34 x 24.1 cm)","","Max Yavno","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=89.35.101&dim=300px","","7 1/2 x 9 3/4 in. (19.1 x 24.8 cm)
Image: 4 3/4 x 6 1/2 in. (12.1 x 16.5 cm)","","Max Yavno","The Museum of Contemporary Art, Los Angeles
The Max Yavno Collection"
"Der Lauf Der Dinge , 1987","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=88.31&dim=300px","","VHS videotape, edition 216/300","","David Weiss","Dimensions variable"
"Acrylic on cast plaster","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=97.4&dim=300px","","15 1/8 x 18 3/4 x 8 1/4 in. (38.4 x 47.6 x 21 cm)","","John Ahearn","The Museum of Contemporary Art, Los Angeles
Gift of Lannan Foundation"
"Painted plaster cast","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.34&dim=300px","","24 x 21 x 6 in. (61 x 53.3 x 15.2 cm)","","John Ahearn","The Museum of Contemporary Art, Los Angeles
The Barry Lowen Collection"
"Painted plaster cast","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=85.35&dim=300px","","14 x 16 1/2 x 9 in. (35.6 x 41.9 x 22.9 cm)","","John Ahearn","The Museum of Contemporary Art, Los Angeles
The Barry Lowen Collection"
"Pencil on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2004.280&dim=300px","","11 x 8 1/2 in. (27.9 x 21.6 cm)","","Takashi Murakami","The Museum of Contemporary Art, Los Angeles
Gift of Dean Valentine and Amy Adelson"
"Gelatin silver print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2001.42.10&dim=300px","","Image: 4 3/4 x 3 3/4 in. (12.1 x 9.5 cm)","","James Welling","The Museum of Contemporary Art, Los Angeles
Gift of the artist and Gorney, Bravin &amp; Lee"
"Plastic, wood and metal","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.87&dim=300px","","89 x 77 x 2 in. (226.1 x 195.6 x 5.1 cm)","","Jack Pierson","The Museum of Contemporary Art, Los Angeles
Gift of Alan N. Kleinman from the Estate of Marsha Kleinman"
"Ektacolor print, edition 1/1","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=93.23&dim=300px","","29 1/4 x 30 1/4 in. (74.3 x 76.8 cm)","","Jack Pierson","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Marc Selwyn"
"Ektacolor print, edition of 3","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=95.11&dim=300px","","30 x 40 in. (76.2 x 101.6 cm)","","Jack Pierson","The Museum of Contemporary Art, Los Angeles
Gift of Councilman Joel Wachs in memory of Marsha Kleinman"
"Ektacolor print, edition of 3","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=93.18&dim=300px","","40 x 30 in. (101.6 x 76.2 cm)","","Jack Pierson","The Museum of Contemporary Art, Los Angeles
Gift of the artist"
"Ecktacolor print","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=99.57&dim=300px","","28 1/2 x 28 3/4 in. (72.4 x 73 cm)","","Jack Pierson","The Museum of Contemporary Art, Los Angeles
Gift of Kourosh Larizadeh"
"Ektacolor print, edition 1/1","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=93.24&dim=300px","","Image: 39 3/4 x 29 3/4 in. (101 x 75.6 cm)
Frame: 43 1/2 x 33 1/2 in. (110.5 x 85.1 cm)","","Jack Pierson","The Museum of Contemporary Art, Los Angeles
Purchased with funds provided by Marc Selwyn"
"Color photograph","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2006.106&dim=300px","","30 x 40 in. (76.2 x 101.6 cm)","","Jack Pierson","The Museum of Contemporary Art, Los Angeles
Gift of Ruth and Jacob Bloom"
"Graphite on paper","","","","http://www.moca.org/museum/pc_media_viewer.php?acsnum=2000.77&dim=300px","","14 x 11 in. (35.6 x 27.9 cm)","","Jack Pierson","The Museum of Contemporary Art, Los Angeles
Gift of anonymous donors"
