"artist_uri","object_uri","title","image_url","birth_date","death_date","made","dim","nationality_URI","nationality","artist_appellation_uri","artist","prov"
"","","Seki: Early Departure of a Daimyo,","http://images.nortonsimon.org/viewer/index.php?id=P.1961.01.55","","","c. 1833-34","oban yoko-e, sheet: 9 x 13-11/16 in. (22.9 x 34.8 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Ruth W. Burnham, 1961"
"","","Sakanoshita: Fudesute Mountain,","http://images.nortonsimon.org/viewer/index.php?id=P.1961.01.56","","","c. 1833-34","oban yoko-e, sheet: 9-5/8 x 14-7/16 in. (24.4 x 36.7 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Ruth W. Burnham"
"","","Koshigaya Village, Musashi Province,","http://images.nortonsimon.org/viewer/index.php?id=P.1975.2.54","","","1858","oban tate-e, sheet: 14-9/16 x 9-3/4 in. (37.0 x 24.8 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Edward C. Crossett, 1975"
"","","Ryogoku, Edo,","http://images.nortonsimon.org/viewer/index.php?id=P.1975.2.46","","","1858","oban tate-e, sheet: 14-5/16 x 9-7/16 in. (36.4 x 24.0 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Edward C. Crossett, 1975"
"","","Red-cheeked Bird and Red Plum Blossoms,","http://images.nortonsimon.org/viewer/index.php?id=P.1966.20.093","","","c. 1830s","chutanzaku, sheet: 14-5/8 x 5-1/8 in. (37.1 x 13.0 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Audrey Steele Burnand, 1966"
"","","Oyster-catchers, Reeds and Cherry Blossom Petals,","http://images.nortonsimon.org/viewer/index.php?id=P.1966.20.094","","","c. 1830s","chutanzaku, sheet: 13 x 4-3/8 in. (33.0 x 11.1 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Audrey Steele Burnand, 1966"
"","","Plovers, Waves and Full Moon,","http://images.nortonsimon.org/viewer/index.php?id=P.1966.20.092","","","c. 1830s","chutanzaku, sheet: 13-1/8 x 4-3/8 in. (33.3 x 11.1 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Audrey Steele Burnand, 1966"
"","","Kameyama: Clear Weather after Snow,","http://images.nortonsimon.org/viewer/index.php?id=P.1969.072","","","c. 1833-34","oban yoko-e, sheet: 10-1/8 x 14-9/16 in. (25.7 x 37.0 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Richard Keatinge, 1969"
"","","Kambara: Night Snow,","http://images.nortonsimon.org/viewer/index.php?id=P.1966.20.085","","","c. 1833-34","oban yoko-e, sheet: 9-5/8 x 14-5/8 in. (24.4 x 37.1 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Audrey Steele Burnand, 1966"
"","","Details VIII,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.048","","","1965","Paper: 15 x 15 in. (38.1 x 38.1 cm.)","","American","","Richard Hunt","Norton Simon Museum, Anonymous Gift, 1967"
"","","Details VI,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.046","","","1965","Paper: 15 x 15 in. (38.1 x 38.1 cm.)","","American","","Richard Hunt","Norton Simon Museum, Anonymous Gift, 1967"
"","","Details VII,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.047","","","1965","Paper: 15 x 15 in. (38.1 x 38.1 cm.)","","American","","Richard Hunt","Norton Simon Museum, Anonymous Gift, 1967"
"","","Details IV,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.045","","","1965","Paper: 15 x 15 in. (38.1 x 38.1 cm.)","","American","","Richard Hunt","Norton Simon Museum, Anonymous Gift, 1967"
"","","Details V,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.043","","","1965","Paper: 15 x 15 in. (38.1 x 38.1 cm.)","","American","","Richard Hunt","Norton Simon Museum, Anonymous Gift, 1967"
"","","Details III,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.044","","","1965","Paper: 15 x 15 in. (38.1 x 38.1 cm.)","","American","","Richard Hunt","Norton Simon Museum, Anonymous Gift, 1967"
"","","Details I,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.041","","","1965","Paper: 15 x 15 in. (38.1 x 38.1 cm.)","","American","","Richard Hunt","Norton Simon Museum, Anonymous Gift, 1967"
"","","Details II,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.042","","","1965","Paper: 15 x 15 in. (38.1 x 38.1 cm.)","","American","","Richard Hunt","Norton Simon Museum, Anonymous Gift, 1967"
"","","Otsu: Hashirii Tea House,","http://images.nortonsimon.org/viewer/index.php?id=P.1961.01.61","","","c. 1833-34","oban yoko-e, sheet: 9-1/8 x 13-15/16 in. (23.2 x 40.5 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Ruth W. Burnham"
"","","Otsuki Plain, Kai Province,","http://images.nortonsimon.org/viewer/index.php?id=P.1975.2.71","","","1858","oban tate-e, sheet: 14-9/16 x 9-3/4 in. (36.4 x 24.8 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Edward C. Crossett"
"","","Kuroto Bay, Kazusa Province,","http://images.nortonsimon.org/viewer/index.php?id=P.1975.2.74","","","1858","oban tate-e, sheet: 14-9/16 x 9-3/4 in. (36.4 x 24.8 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Edward C. Crossett, 1975"
"","","Otsu,","http://images.nortonsimon.org/viewer/index.php?id=P.1966.20.058","","","1834","Choban Yoko-e, comp: 6-1/8 x 8-3/8 in. (15.6 x 21.3 cm); sheet: 6-3/4 x 9 in. (17.1 x 22.9 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Audrey Steele Burnand"
"","","Minakuchi,","","","","1834","Chuban Tate-e","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of the Pasadena Art Alliance"
"","","Okitsu: Okitsu River,","http://images.nortonsimon.org/viewer/index.php?id=P.1961.01.24","","","c. 1833-34","oban yoko-e, sheet: 9 x 14-1/16 in. (22.9 x 35.7 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Ruth W. Burnham, 1961"
"","","Mandarin Ducks and Bamboo Grass,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.27.079","","","c. 1830s","kotanzaku, sheet: 12-7/8 x 2-7/8 in. (32.7 x 7.3 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of the Pasadena Art Alliance, 1967"
"","","Mariko: Famous Tea House,","http://images.nortonsimon.org/viewer/index.php?id=P.1961.01.27","","","c. 1833-34","oban yoko-e, sheet: 9-3/4  x 14-15/16 in. (24.8 x 37.9 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Ruth W. Burnham, 1961"
"","","Maisaka: A View of Imagiri,","http://images.nortonsimon.org/viewer/index.php?id=P.1961.01.37","","","c. 1833-34","oban yoko-e, sheet: 9-3/4 x 14-13/16 in. (24.8 x 37.6 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Ruth W. Burnham, 1961"
"","","Lake Suwa, Shinano Province,","http://images.nortonsimon.org/viewer/index.php?id=P.1975.2.68","","","1858","oban tate-e, sheet: 14-7/8 x 10 in. (37.8 x 25.4 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Edward C. Crossett, 1975"
"","","Lake at Hakone,","http://images.nortonsimon.org/viewer/index.php?id=P.1975.2.61","","","1858","oban tate-e, sheet: 14-9/16 x 9-3/4 in. (37.0 x 24.8 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Edward C. Crossett, 1975"
"","","Kyoto: The Great Bridge at Sanjo,","http://images.nortonsimon.org/viewer/index.php?id=P.1961.01.62","","","c. 1833-34","oban yoko-e, sheet: 9-1/8 x 13-15/16 in. (23.2 x 35.4 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Ruth W. Burnham, 1961"
"","","Kuwana: Shichiri Crossing,","http://images.nortonsimon.org/viewer/index.php?id=P.1966.20.081","","","c. 1833-34","oban yoko-e, sheet: 9-5/8 x 14-5/8 in. (24.4 x 37.1 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Audrey Steele Burnand, 1966"
"","","Kusatsu: Famous Post House,","http://images.nortonsimon.org/viewer/index.php?id=P.1961.01.60","","","c. 1833-34","oban yoko-e, sheet: 9-15/16 x 14-5/8 in. (25.2 x 37.1 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Ruth W. Burnham, 1961"
"","","Mandarin Ducks and Bamboo,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.27.080","","","c. 1830s","kotanzaku, sheet: 13-5/8 x 2-15/16 in. (34.6 x 7.5 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of the Pasadena Art Alliance, 1967"
"","","Okazaki: Yahagi Bridge,","http://images.nortonsimon.org/viewer/index.php?id=P.1961.01.46","","","c. 1833-34","oban yoko-e, sheet: 9-11/16 x 14-7/8 in. (24.6 x 37.8 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Ruth W. Burnham, 1961"
"","","Okabe: Utsu Mountain,","http://images.nortonsimon.org/viewer/index.php?id=P.1961.01.28","","","c. 1833-34","oban yoko-e, sheet: 9-1/8 x 14-1/8 in. (23.2 x 35.9 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Ruth W. Burnham"
"","","Oiso: Toras Rain,","http://images.nortonsimon.org/viewer/index.php?id=P.1961.01.14","","","c. 1833-34","oban yoko-e, 9-13/16 x 14-3/4 in. (24.9 x 37.5 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Ruth W. Burnham, 1961"
"","","Off Tsukuda Island, Edo,","http://images.nortonsimon.org/viewer/index.php?id=P.1975.2.44","","","1858","oban tate-e, sheet: 14-3/8 x 9-7/16 in. (36.5 x 24.0 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Edward C. Crossett, 1975"
"","","Odawara: Sakawa River,","http://images.nortonsimon.org/viewer/index.php?id=P.1961.01.16","","","c. 1833-34","oban yoko-e, sheet: 9-11/16 x 14-5/8 in. (24.6 x 37.1 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Ruth W. Burnham, 1961"
"","","Minakuchi: Famous Dried Gourd Shavings,","http://images.nortonsimon.org/viewer/index.php?id=P.1966.20.079","","","c. 1833-34","oban yoko-e, sheet: 9-5/8 x 14-5/8 in. (24.4 x 37.1 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Audrey Steele Burnand, 1966"
"","","Ochanomizu, Edo,","http://images.nortonsimon.org/viewer/index.php?id=P.1975.2.45","","","1858","oban tate-e, sheet: 14-5/16 x 9-7/16 in. (36.4 x 24.0 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Edward C. Crossett, 1975"
"","","Noto Province, Waterfall Bay,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.29.32","","","1856","Oban Tate-e","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Barbara Steele Williams, 1967"
"","","Numazu: Twilight View,","http://images.nortonsimon.org/viewer/index.php?id=P.1961.01.19","","","c. 1833-34","oban yoko-e, sheet: 9-11/16 x 14-3/8 in. (24.6 x 36.5 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Ruth W. Burnham, 1961"
"","","Misaka Pass, Kai Province,","http://images.nortonsimon.org/viewer/index.php?id=P.1975.2.70","","","1858","oban tate-e, sheet: 14-9/16 x 9-3/4 in. (36.4 x 24.8 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Edward C. Crossett, 1975"
"","","Noge, Yokohama, Musashi Province,","http://images.nortonsimon.org/viewer/index.php?id=P.1975.2.55","","","1858","oban tate-e, sheet: 14-1/2  x 9-3/4 in. (36.8 x 24.8 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Edward C. Crossett, 1975"
"","","Two Forms (Green and Green),","http://images.nortonsimon.org/viewer/index.php?id=M.1974.12.3a-b.S","","","1973","a: 11 x 8-1/4 x 6-1/2 in. (27.9 x 21.0 x 16.5 cm); b: 10-1/2 x 11 x 7 in. (26.7 x 27.9 x 17.8 cm)","","English","","Barbara Hepworth","Norton Simon Art Foundation"
"","","The Librarian,","http://images.nortonsimon.org/viewer/index.php?id=P.1969.091","","","1960","57 x 63 x 21 in. (144.8 x 160 x 53.3 cm)","","American","","George Herms","Norton Simon Museum, Gift of Molly Barnes"
"","","Landscape with Insert - No. II,","http://images.nortonsimon.org/viewer/index.php?id=PH.1969.13","","","1969","Image: 16-5/16 x 23-1/2 in. (41.4 x 59.7 cm); Paper: 23-3/16  x 29 in. (58.9 x 73.7 cm)","","American","","Max Hein","Norton Simon Museum, Gift of the Artist"
"","","Rock Form (Porthcurno),","","","","1964","99-3/4 x 42 in. (253.4 x 106.7 cm)","","English","","Barbara Hepworth","Norton Simon Art Foundation"
"","","Landscape with Insert - No. I,","http://images.nortonsimon.org/viewer/index.php?id=PH.1969.14","","","1969","Image: 16-3/4 x 23-1/16 in. (42.5 x 58.6 cm); Paper: 23-3/16 x 29 in. (58.9 x 73.7 cm)","","American","","Max Hein","Norton Simon Museum, Gift of the Artist"
"","","Four Square (Walk Through),","http://images.nortonsimon.org/viewer/index.php?id=M.1969.15.S","","","1966","169 x 88 x 78-1/2 in. (429.3 x 223.5 x 199.4 cm)","","English","","Barbara Hepworth","Norton Simon Art Foundation"
"","","Oread,","","","","1958","27-1/4 x 16-1/2 x 4-1/2 in. (69.2 x 41.9 x 11.4 cm)","","English","","Barbara Hepworth","Norton Simon Art Foundation"
"","","Eddy,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.309","","","1967","Paper: 30 x 22-1/2 in. (76.2 x 57.15 cm.); Image: 24 x 17-1/2 in. (60.96 x 44.45 cm.)","","English","","Stanley William Hayter","Norton Simon Museum, Anonymous Gift, 1967"
"","","Ripple,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.310","","","1967","Paper: 20 x 27 in. (50.8 x 68.58 cm.); Image 14-1/2 x 22-5/8 in. (36.83 x 57.47 cm.)","","English","","Stanley William Hayter","Norton Simon Museum, Anonymous Gift, 1967"
"","","Duo,","http://images.nortonsimon.org/viewer/index.php?id=M.1974.12.2a-b.S","","","1973","A:  20 x 9-1/4 x 5-1/2 in. (50.8 x 23.5 x 14.0 cm); B: 14 x 6 x 8-1/2 in. (35.6 x 15.2 x 21.6 cm)","","English","","Barbara Hepworth","Norton Simon Art Foundation"
"","","The Book of Perfection,","http://images.nortonsimon.org/viewer/index.php?id=P.2001.08","","","1994","59 x 66 x 46-1/2 in. (149.9 x 167.6 x 118.1 cm)","","American","","George Herms","Norton Simon Museum, Gift of Ariel Dill & Jackson Dill; Berta & Frank Gehry; Martin Godin & Kathy Lucoff Godin; Robert Graham; Bernay Grayson; Grinstein Family; Dennis Hopper & Victoria Duffy Hopper; Walter & Caroline Hopps; Ann Janss; Julianne Kemper; Michael Kohn Gallery; In honor of Jane Mock from her daughter Molly Barnes; Tom Patchett & Cynthia Janos Patchett; Joan & Jack Quinn; Ed Ruscha; Seraphin Gallery; Manny & Jackie Silverman; Ellie & John Stern; Laura Lee W. Woods; and Hiro Yamagata."
"","","Assembly of Sea Forms,","http://images.nortonsimon.org/viewer/index.php?id=M.1974.12.1a-h.S","","","1972","overall: 42-1/2 in. h. (108 cm); 72 in. diameter (182.9 cm)","","English","","Barbara Hepworth","Norton Simon Art Foundation"
"","","Coolest Creosote,","","","","1962","20-1/8 x 12-7/8 x 8-3/8 in. (51.1 x 32.7 x 21.3 cm)","","American","","George Herms","Norton Simon Museum, Gift of Dr. and Mrs. Judd Marmor in memory of Bob Simon"
"","","For the Corner Pass,","","","","1962","16 x 8-1/2 in. (40.6 x 21.6 cm)","","American","","George Herms","Norton Simon Museum, Gift of the Artist"
"","","Nissaka: Sayo Mountain Pass,","http://images.nortonsimon.org/viewer/index.php?id=P.1961.01.32","","","c. 1833-34","oban yoko-e, sheet: 9-1/8 x 14-1/8 in. (23.2 x 35.9 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Ruth W. Burnham, 1961"
"","","Nihonbashi: Daimyo Procession Setting Out,","http://images.nortonsimon.org/viewer/index.php?id=P.1961.01.02","","","c. 1833-34","oban yoko-e, sheet: 9-1/8 x 14-1/4 in","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Ruth W. Burnham, 1961"
"","","Nihonbashi, Edo: Morning Scene,","http://images.nortonsimon.org/viewer/index.php?id=P.1961.01.01","","","c. 1833-4","oban yoko-e, sheet: 9-1/8 x 14-1/4 in. (23.2 x 36.2 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Ruth W. Burnham, 1961"
"","","New Year's Eve Foxfires at the Changing Tree, Oji,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.29.14","","","1856-1859","oban tate-e, sheet: 13-7/8 x 9-3/8 in. (35.2 x 23.8 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Barbara Steele Williams, 1967"
"","","Narumi: Famous Arimatsu Tie-dyed Fabric,","http://images.nortonsimon.org/viewer/index.php?id=P.1961.01.48","","","c. 1833-34","oban yoko-e, sheet: 10-1/8 x 14-5/8 in. (25.7 x 37.1 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Ruth W. Burnham, 1961"
"","","Moon-Viewing Point,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.27.002","","","1857","oban tate-e, sheet: 14-1/8 x 9-1/2 in. (35.9 x 24.1 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of the Pasadena Art Alliance"
"","","Miya: Festival at Atsuta Shrine,","http://images.nortonsimon.org/viewer/index.php?id=P.1961.01.49","","","c. 1833-34","oban yoko-e, sheet: 9-5/8 x 14-3/8 in. (24.4 x 36.5 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Ruth W. Burnham, 1961"
"","","Mishima: Morning Mist,","http://images.nortonsimon.org/viewer/index.php?id=P.1961.01.18","","","c. 1833-34","oban yoko-e, sheet: 8-7/8 x 13-13/16 in. (22.5 x 35.1 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Ruth W. Burnham, 1961"
"","","Mitsuke: View of the Tenryu River,","http://images.nortonsimon.org/viewer/index.php?id=P.1961.01.35","","","c. 1833-34","oban yoko-e, sheet: 9-3/4  x 14-9/16 in. (24.8 x 37.0 cm)","","Japanese","","Ando Utagawa Hiroshige","Norton Simon Museum, Gift of Mrs. Ruth W. Burnham, 1961"
"","","Multiple Mirror,","http://images.nortonsimon.org/viewer/index.php?id=P.1966.07.067","","","1965","Overall: 17-1/4 x 23-3/4 in. (43.8 x 60. 3 cm); Image: 11-1/4 x 20-1/4 in. (28.6 x 51.4 cm)","","American","","Robert Hansen","Norton Simon Museum, Anonymous Gift, 1966"
"","","Man-Men 163,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.152","","","1965","12-3/4 x 16-3/4 in. (32.4 x 42.5 cm)","","American","","Robert Hansen","Norton Simon Museum, Anonymous Gift, 1967"
"","","Christ Ascended,","http://images.nortonsimon.org/viewer/index.php?id=P.1966.07.057","","","1964","sheet: 24-3/8 x 18-1/2 in. (61.9 x 47 cm)","","American","","Robert Hansen","Norton Simon Museum, Anonymous Gift, 1966"
"","","Christ Ascended,","http://images.nortonsimon.org/viewer/index.php?id=P.1966.07.055","","","1964","sheet: 19-1/8 x 13-1/4 in. (48.6 x 33.7 cm)","","American","","Robert Hansen","Norton Simon Museum, Anonymous Gift, 1966"
"","","Mama Mudra,","http://images.nortonsimon.org/viewer/index.php?id=P.1972.08.248","","","1970","Overall: 30 x 22 in. (76.2 x 55.9 cm); Image: 18 x 26 in. (45.7 x 66.0 cm)","","American","","Robert Hansen","Norton Simon Museum, Anonymous Gift, 1972"
"","","Welcome III,","","","","c. 1927-1928","11-7/8 x 19-5/8 in. (30.2 x 49.8 cm)","","American","","Edward Hagedorn","Norton Simon Museum, The Blue Four Galka Scheyer Collection"
"","","Welcome,","","","","1926-1927","comp: 10-1/4 x 7-3/8 in. (26.0 x 18.7 cm); sheet: 11-3/8 x 11-17/8 in. (28.9 x 33.3 cm)","","American","","Edward Hagedorn","Norton Simon Museum, The Blue Four Galka Scheyer Collection"
"","","The Village of Saint-Paul on the Banks of the Durance,","http://images.nortonsimon.org/viewer/index.php?id=F.1968.08.P","","","1865","25-1/2 x 59-1/4 in. (64.8 x 150.5 cm)","","French","","Paul-Camille Guigou","The Norton Simon Foundation"
"","","Landscape in Southern France,","http://images.nortonsimon.org/viewer/index.php?id=M.2010.1.188.P","","","1870","7-1/8 x 17-7/8 in. (18.1 x 45.4 cm)","","French","","Paul-Camille Guigou","Norton Simon Art Foundation, from the Estate of Jennifer Jones Simon"
"","","Untitled (Sunset Strip II),","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.259","","","1967","Paper: 10 x 22 in. (25.4 x 55.88 cm.); Image: 7 x 20 in. (17.78 x 50.8 cm.)","","American","","William Gropper","Norton Simon Museum, Anonymous Gift, 1967"
"","","Untitled,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.308","","","1967","Paper: 22 x 15 in. (55.88 x 38.1 cm.); Image: 25-1/2? x 11-1/2 in. (64.77? x 29.21 cm.)","","American","","William Gropper","Norton Simon Museum, Anonymous Gift, 1967"
"","","Untitled,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.307","","","1967","Paper: 22 x 15 in. (55.88 x 38.1 cm.); Image: 19-1/4 x 12 in. (48.90 x 30.48 cm.)","","American","","William Gropper","Norton Simon Museum, Anonymous Gift, 1967"
"","","Coronation of the Virgin Altarpiece:  Flagellation,","http://images.nortonsimon.org/viewer/index.php?id=M.1987.3.05.P","","","1344","16-3/4 x 15-1/2 in. (42.5 x 39.4 cm)","","Italian","","Guariento di Arpo","Norton Simon Art Foundation"
"","","Untitled (Sunset Strip I),","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.258","","","1967","Paper: 10 x 22 in. (25.4 x 55.88 cm.); Image: 7-1/8 x 20 in. (18.10 x 50.5 cm.)","","American","","William Gropper","Norton Simon Museum, Anonymous Gift, 1967"
"","","Untitled,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.306","","","1967","Paper: 22 x 15 in. (55.88 x 38.1 cm.); Image: 18 x 11-1/2 in. (45.72 x 29.21 cm.)","","American","","William Gropper","Norton Simon Museum, Anonymous Gift, 1967"
"","","Untitled,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.305","","","1967","Paper: 22 x 15 in. (55.88 x 38.1 cm.); Image: 18 x 11-1/2 in. (45.72 x 29.21 cm.)","","American","","William Gropper","Norton Simon Museum, Anonymous Gift, 1967"
"","","Untitled,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.302","","","1967","Paper: 7-1/2 x 10 in. (19.05 x 25.4 cm.); Image: 5-1/8 x 8 in. (13.34 x 20.32 cm.)","","American","","William Gropper","Norton Simon Museum, Anonymous Gift, 1967"
"","","Untitled,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.301","","","1967","Paper: 12-1/2 x 10 in. (31.75 x 25.4 cm.); Image: 9-1/2 x 5-1/4 in. (24.13 x 13.34 cm.)","","American","","William Gropper","Norton Simon Museum, Anonymous Gift, 1967"
"","","Untitled,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.303","","","1967","Paper: 22 x 30 in. (55.88 x 76.2 cm.); Image: 17-1/2 x 25 in. (44.45 x 63.5 cm.)","","American","","William Gropper","Norton Simon Museum, Anonymous Gift, 1967"
"","","Untitled,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.304","","","1967","Paper: 14 x 10 in. (35.56 x 25.4 cm.); Image: 10 x 6 in. (25.4 x 15.24 cm.)","","American","","William Gropper","Norton Simon Museum, Anonymous Gift, 1967"
"","","View of the Santa Maria della Salute with the Dogana di Mare,","http://images.nortonsimon.org/viewer/index.php?id=F.1972.47.1.P","","","c. 1780","16-3/4 x 20-3/8 in. (42.5 x 51.8 cm)","","Italian","","Francesco Guardi","The Norton Simon Foundation"
"","","View of the Rialto, Venice, from the Grand Canal,","http://images.nortonsimon.org/viewer/index.php?id=M.1966.10.05.P","","","c. 1780-90","17 x 24-3/4 in. (43.2 x 62.9 cm)","","Italian","","Francesco Guardi","Norton Simon Art Foundation, Gift of Mr. Norton Simon"
"","","Untitled,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.300","","","1967","Sheet: 18 X 14 in.(45.72 x 35.56 cm.)","","American","","William Gropper","Norton Simon Museum, Anonymous Gift, 1967"
"","","Venetian Capriccio,","http://images.nortonsimon.org/viewer/index.php?id=M.1982.1.1.P","","","1760-65","20-5/8 x 15-1/8 in. (52.4 x 38.4 cm)","","Italian","","Francesco Guardi","Norton Simon Art Foundation"
"","","Godfrey of Boulogne Summons His Chiefs to Council,","","","","c. 1755","98-1/2 x 43-1/4 in. (250.2 x 109.9 cm)","","Italian","","Francesco Guardi","The Norton Simon Foundation"
"","","Untitled,","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.299","","","1967","Sheet: 18 x 14 in. (45.72  35.56 cm.); Image: 17-1/2 x 13-1/4 in. (44.45 x 33.66 cm.)","","American","","William Gropper","Norton Simon Museum, Anonymous Gift, 1967"
"","","Untitled (Sunset Strip III),","http://images.nortonsimon.org/viewer/index.php?id=P.1967.20.260","","","1967","Paper: 10 x 22 in. (25.4 x 55.88 cm.); Image: 7-1/4 x 19-1/2 in. (18.42 x 49.53 cm.)","","American","","William Gropper","Norton Simon Museum, Anonymous Gift, 1967"
"","","Coronation of the Virgin Altarpiece:  Last Judgement,","http://images.nortonsimon.org/viewer/index.php?id=M.1987.3.13.P","","","1344","17-1/8 x 15-5/8 in. (43.5 x 39.7 cm)","","Italian","","Guariento di Arpo","Norton Simon Art Foundation"
"","","Coronation of the Virgin Altarpiece:  Deposition,","http://images.nortonsimon.org/viewer/index.php?id=M.1987.3.10.P","","","1344","17-1/8 x 15-5/8 in.  (43.5 x 39.7 cm)","","Italian","","Guariento di Arpo","Norton Simon Art Foundation"
"","","Coronation of the Virgin Altarpiece:  Epiphany,","http://images.nortonsimon.org/viewer/index.php?id=M.1987.3.03.P","","","1344","17-1/4 x 15-1/2 in. (43.8 x 39.4 cm)","","Italian","","Guariento di Arpo","Norton Simon Art Foundation"
"","","Coronation of the Virgin Altarpiece:  Descent into limbo,","http://images.nortonsimon.org/viewer/index.php?id=M.1987.3.11.P","","","1344","17-1/8 x 15-1/2 in. (43.5 x 39.4 cm)","","Italian","","Guariento di Arpo","Norton Simon Art Foundation"
