"artist_URI","description","object_uri","Artwork_Title","image_url","birth_date","death_date","date","dimensions_inch","medium_uri","medium","Nationality_URI","nationality","artist_appellation_uri","name","credit_line"
"","NA","","Mrs. C. H. Collins Baker","http://emuseum.huntington.org/internal/media/dispatcher/17955/resize:format$003dfull","1904","1959","1945","23 1/8 x 18","","black chalk with charcoal","","American","","Francis de Erdely","The Huntington Library, Art Collections, and Botanical Gardens"
"","NA","","Napa River, Calif.","http://emuseum.huntington.org/internal/media/dispatcher/22324/resize:format$003dfull","1858","1949","1931","7 5/16 x 11","","graphite on paper","","American","","E. A. Burbank","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Adelaide Bray."
"","NA","","Near Tivoli","http://emuseum.huntington.org/internal/media/dispatcher/27960/resize:format$003dfull","1825","1894","1870-1872","9 x 10 3/4","","watercolor and pencil on paper","","American","","George Inness","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Netley Abbey","http://emuseum.huntington.org/internal/media/dispatcher/16195/resize:format$003dfull","1816","1872","1841","9 3/4 x 13 1/8","","graphite on paper","","American","","John Frederick Kensett","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","New Hat","http://emuseum.huntington.org/internal/media/dispatcher/16250/resize:format$003dfull","1852","1919","n.d.","12 1/2 x 8","","graphite on paper","","American","","Julian Alden Weir","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","New York Street Scene","http://emuseum.huntington.org/internal/media/dispatcher/20862/resize:format$003dfull","1893","1959","1939","26 3/4 x 19","","watercolor on paper","","German","","George Grosz","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from Associated Foundations, Inc., William M. B. Berger Charitable Remainder Unitrust, Mrs. Sidney Brody, Brack and Betty Duker, Robert and Lois Erburu, Margery and Maurice Katz, the Virginia Steele Scott Foundation, and David and Joan Traitel"
"","NA","","New York Street Scene with Vendors","http://emuseum.huntington.org/internal/media/dispatcher/1024/resize:format$003dfull","1870","1938","n.d.","18 x 14","","pastel and charcoal on paper","","American","","William James Glackens","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Suzanne W. Hull, in memory of Mrs. Gordon Stowe White"
"","NA","","Nobody Down","http://emuseum.huntington.org/internal/media/dispatcher/31595/resize:format$003dfull","1908","1978","ca. 1950","11 x 14","","ink, gouache and litho crayon","","American","","Don Freeman","Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone"
"","NA","","Northern California","http://emuseum.huntington.org/internal/media/dispatcher/27541/resize:format$003dfull","1877","1939","ca. 1935","10 x 14","","oil on paper","","American","","Rinaldo Cuneo","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Margery and Maurice Katz"
"","NA","","Nude Man","http://emuseum.huntington.org/internal/media/dispatcher/27857/resize:format$003dfull","1881","1946","n.d.","14 3/4 x 10 3/4","","pastel on green paper","","American","","John Whitworth Robson","The Huntington Library, Art Collections, and Botanical Gardens.  Gift of Rory Ferguson"
"","NA","","Nude Study","http://emuseum.huntington.org/internal/media/dispatcher/17965/resize:format$003dfull","1895","1941","n.d.","16 1/2 x 13","","pen and ink with wash on paper","","American","","Emil Ganso","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Robert Halsband"
"","NA","","Nude with Violin","http://emuseum.huntington.org/internal/media/dispatcher/16116/resize:format$003dfull","1858","1925","n.d.","15 x 9","","graphite on paper","","American","","Willard LeRoy Metcalf","The Huntington Library, Art Collections, and Botanical Gardens. Edward W. and Julia B. Bodman Collection"
"","NA","","Nude Woman","http://emuseum.huntington.org/internal/media/dispatcher/27852/resize:format$003dfull","1881","1946","n.d.","7 1/2 x 5 1/2","","pastel on paper","","American","","John Whitworth Robson","The Huntington Library, Art Collections, and Botanical Gardens.  Gift of Rory Ferguson"
"","NA","","Nude Woman","http://emuseum.huntington.org/internal/media/dispatcher/27856/resize:format$003dfull","1881","1946","n.d.","10 1/2 x 8 3/4","","ink on paper","","American","","John Whitworth Robson","The Huntington Library, Art Collections, and Botanical Gardens.  Gift of Rory Ferguson"
"","NA","","Nude Woman","http://emuseum.huntington.org/internal/media/dispatcher/27858/resize:format$003dfull","1881","1946","1907","12 3/4 x 9 3/4","","pastel on green paper","","American","","John Whitworth Robson","The Huntington Library, Art Collections, and Botanical Gardens.  Gift of Rory Ferguson"
"","NA","","Nursery Bed","http://emuseum.huntington.org/internal/media/dispatcher/16178/resize:format$003dfull","1868","1962","ca. 1902","5 3/4 x 5 5/16","","graphite, pen, ink and watercolor on paper","","American","","William H. Bradley","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Will Bradley"
"","NA","","Nursery Cupboard with Bird Inlays on Door","http://emuseum.huntington.org/internal/media/dispatcher/16179/resize:format$003dfull","1868","1962","ca. 1902","5 7/16 x 6 5/16","","graphite, pen, ink and watercolor on paper","","American","","William H. Bradley","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Will Bradley"
"","NA","","Nursery Cupboard with Seat and Figure Inlay in Door","http://emuseum.huntington.org/internal/media/dispatcher/16181/resize:format$003dfull","1868","1962","ca. 1902","11 1/2 x 6 1/8","","graphite, pen, ink and watercolor on paper","","American","","William H. Bradley","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Will Bradley"
"","NA","","Nursery Stencil Design","http://emuseum.huntington.org/internal/media/dispatcher/16180/resize:format$003dfull","1868","1962","ca. 1902","6 3/4 x 5 1/2","","graphite, pen, ink and watercolor on paper","","American","","William H. Bradley","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Will Bradley"
"","NA","","Nyack [upper drawing] Bit of Shore, Opposite Newburgh [lower drawing]","http://emuseum.huntington.org/internal/media/dispatcher/18055/resize:format$003dfull","1816","1906","08/29/1859","NA","","graphite on gray paper","","American","","Daniel Huntington","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Oak Tree","http://emuseum.huntington.org/internal/media/dispatcher/30898/resize:format$003dfull","1869","1952","1920","18 x 22","","watercolor","","American","","Percy Gray","The Huntington Library, Art Collections, and Botanical Gardens. Anonymous Gift"
"","NA","","Oaxaca","http://emuseum.huntington.org/internal/media/dispatcher/27930/resize:format$003dfull","1860","1935","ca. 1885-1932","14 3/4 x 9","","watercolor on paper","","American","","Christian Jorgensen","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen"
"","NA","","Old Adobe, Napa Calif.","http://emuseum.huntington.org/internal/media/dispatcher/22323/resize:format$003dfull","1858","1949","1929","7 1/4 x 11 3/16","","graphite on paper","","American","","E. A. Burbank","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Adelaide Bray."
"","NA","","Old Ash Tree by the Wayside, February 17, 1909","http://emuseum.huntington.org/internal/media/dispatcher/20124/resize:format$003dfull","1846","1918","1909","5 9/16 x 7 1/4","","watercolor and graphite on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Old Beech Trunks in Burnham Forest, March 1, 1909","http://emuseum.huntington.org/internal/media/dispatcher/20125/resize:format$003dfull","1846","1918","1909","6 x 9","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Old Castle in Wales, September 18, 1901","http://emuseum.huntington.org/internal/media/dispatcher/20098/resize:format$003dfull","1846","1918","1901","5 x 7 15/16","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Old Castle, Massa","http://emuseum.huntington.org/internal/media/dispatcher/16251/resize:format$003dfull","1862","1928","1927","9 3/8 x 12 3/8","","watercolor, gouache, and blue chalk on gray paper","","American","","Arthur Bowen Davies","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Old Castle, October 3, 1901","http://emuseum.huntington.org/internal/media/dispatcher/20102/resize:format$003dfull","1846","1918","1901","3 7/8 x 6 1/8","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Gift of  Jane Hemphill"
"","NA","","Old Fort Laramie in 1849, March 31, 1910","http://emuseum.huntington.org/internal/media/dispatcher/20145/resize:format$003dfull","1846","1918","1910","4 5/8 x 7 7/8","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Old Man of the Mountain, Franconia Notch","http://emuseum.huntington.org/internal/media/dispatcher/20460/resize:format$003dfull","1812","1896","1848","10 1/4 x 14 7/8","","watercolor and  graphite on paper","","American","","Russell Smith","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Old Man with Parakeets","http://emuseum.huntington.org/internal/media/dispatcher/18068/resize:format$003dfull","1840","1895","n.d.","9 x 11 7/8","","watercolor and graphite on paper","","British","","Alfred Thompson","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Old Men Talking","http://emuseum.huntington.org/internal/media/dispatcher/28012/resize:format$003dfull","1866","1933","n.d.","14 x 19","","ink on paper","","American","","Louis M. Glackens","The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift"
"","NA","","On Napa River, Napa, Calif.","http://emuseum.huntington.org/internal/media/dispatcher/22330/resize:format$003dfull","1858","1949","1931","7 3/8 x 12","","graphite on paper","","American","","E. A. Burbank","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Adelaide Bray."
"","NA","","Oaxaca","http://emuseum.huntington.org/internal/media/dispatcher/27930/resize:format$003dfull","1860","1935","ca. 1885-1932","14 3/4 x 9","","watercolor on paper","","American","","Christian Jorgensen","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen"
"","NA","","Old Adobe, Napa Calif.","http://emuseum.huntington.org/internal/media/dispatcher/22323/resize:format$003dfull","1858","1949","1929","7 1/4 x 11 3/16","","graphite on paper","","American","","E. A. Burbank","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Adelaide Bray."
"","NA","","Old Ash Tree by the Wayside, February 17, 1909","http://emuseum.huntington.org/internal/media/dispatcher/20124/resize:format$003dfull","1846","1918","1909","5 9/16 x 7 1/4","","watercolor and graphite on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Old Beech Trunks in Burnham Forest, March 1, 1909","http://emuseum.huntington.org/internal/media/dispatcher/20125/resize:format$003dfull","1846","1918","1909","6 x 9","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Old Castle in Wales, September 18, 1901","http://emuseum.huntington.org/internal/media/dispatcher/20098/resize:format$003dfull","1846","1918","1901","5 x 7 15/16","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Old Castle, Massa","http://emuseum.huntington.org/internal/media/dispatcher/16251/resize:format$003dfull","1862","1928","1927","9 3/8 x 12 3/8","","watercolor, gouache, and blue chalk on gray paper","","American","","Arthur Bowen Davies","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Old Castle, October 3, 1901","http://emuseum.huntington.org/internal/media/dispatcher/20102/resize:format$003dfull","1846","1918","1901","3 7/8 x 6 1/8","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Gift of  Jane Hemphill"
"","NA","","Old Fort Laramie in 1849, March 31, 1910","http://emuseum.huntington.org/internal/media/dispatcher/20145/resize:format$003dfull","1846","1918","1910","4 5/8 x 7 7/8","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Old Man of the Mountain, Franconia Notch","http://emuseum.huntington.org/internal/media/dispatcher/20460/resize:format$003dfull","1812","1896","1848","10 1/4 x 14 7/8","","watercolor and  graphite on paper","","American","","Russell Smith","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Old Man with Parakeets","http://emuseum.huntington.org/internal/media/dispatcher/18068/resize:format$003dfull","1840","1895","n.d.","9 x 11 7/8","","watercolor and graphite on paper","","British","","Alfred Thompson","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Old Men Talking","http://emuseum.huntington.org/internal/media/dispatcher/28012/resize:format$003dfull","1866","1933","n.d.","14 x 19","","ink on paper","","American","","Louis M. Glackens","The Huntington Library, Art Collections, and Botanical Gardens.  Anonymous Gift"
"","NA","","On Napa River, Napa, Calif.","http://emuseum.huntington.org/internal/media/dispatcher/22330/resize:format$003dfull","1858","1949","1931","7 3/8 x 12","","graphite on paper","","American","","E. A. Burbank","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Adelaide Bray."
"","NA","","On the Androscoggin","http://emuseum.huntington.org/internal/media/dispatcher/18024/resize:format$003dfull","1832","1928","n.d.","12 5/8 x 19","","graphite heigtened with white on paper","","American","","Aaron Draper Shattuck","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","On the Columbia River, en route Astoria","http://emuseum.huntington.org/internal/media/dispatcher/16128/resize:format$003dfull","1852","1944","n.d.","4 1/2 x 6","","watercolor on paper","","American","","Charles Erskine Wood","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","On the Meoselle, January 23, 1908","http://emuseum.huntington.org/internal/media/dispatcher/20110/resize:format$003dfull","1846","1918","1908","5 13/16 x 7 5/16","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","On the Nipisiquit","http://emuseum.huntington.org/internal/media/dispatcher/18066/resize:format$003dfull","1819","1895","n.d.","7 x 10","","watercolor and graphite on paper","","American","","Charles Lanman","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","On the Schuylkill River","http://emuseum.huntington.org/internal/media/dispatcher/18094/resize:format$003dfull","NA","NA","1869","10 3/8 x 14 5/8","","graphite and sgraffito on prepared paper","","American","","Edmund Walenta","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Ophelia","http://emuseum.huntington.org/internal/media/dispatcher/18034/resize:format$003dfull","1822","1902","ca. 1846 - 1848","19 1/4 x 15","","graphite on paper","","American","","Lilly Martin Spencer","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Oregonian, New York, in for Repairs","http://emuseum.huntington.org/internal/media/dispatcher/22333/resize:format$003dfull","1858","1949","1931","7 11/16 x 14 1/4","","graphite on paper","","American","","E. A. Burbank","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Adelaide Bray."
"","NA","","Orizana from Puebla","http://emuseum.huntington.org/internal/media/dispatcher/27933/resize:format$003dfull","1860","1935","ca. 1885-1932","13 3/8 x 9 3/4","","watercolor on paper","","American","","Christian Jorgensen","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen"
"","NA","","Our House in Tucson A.T. as it Appeared in 1875, November 18, 1901","http://emuseum.huntington.org/internal/media/dispatcher/20105/resize:format$003dfull","1846","1918","1901","6 9/16 x 9 5/8","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Oury House in Tucson [?], October 12, 1895","http://emuseum.huntington.org/internal/media/dispatcher/20096/resize:format$003dfull","1846","1918","1895","4 9/16 x 7","","graphite on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Oury House in Tucson,  Arizona, September 4, 1901","http://emuseum.huntington.org/internal/media/dispatcher/20097/resize:format$003dfull","1846","1918","9/4/1901","5 7/8 x 9 1/2","","pen and ink wash on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Panoramic Landscape with Mt. Baldy","http://emuseum.huntington.org/internal/media/dispatcher/29349/resize:format$003dfull","1876","1954","n.d.","15 1/4 x 23 1/4","","watercolor on paper","","American","","Marion Kavanaugh Wachtel","The Huntington Library, Art Collections, and Botanical Gardens. Gift in memory of Lloyd S. Davis from his family"
"","NA","","Parian Gate Manila P.I., March 26, 1910","http://emuseum.huntington.org/internal/media/dispatcher/20144/resize:format$003dfull","1846","1918","1910","4 1/2 x 6 1/2","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Paying No Mind to her Complaints","http://emuseum.huntington.org/internal/media/dispatcher/30286/resize:format$003dfull","1908","1978","1941","9 1/2 x 7 13/16","","ink and graphite on paper","","American","","Don Freeman","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone"
"","NA","","Peasant Couple","http://emuseum.huntington.org/internal/media/dispatcher/18187/resize:format$003dfull","1811","1893","ca. 1840-1843","NA","","graphite and watercolor on paper","","American","","John William Casilear","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Michael St. Clair"
"","NA","","Peon's Home- Leon","http://emuseum.huntington.org/internal/media/dispatcher/27925/resize:format$003dfull","1860","1935","ca. 1885-1932","10 1/4 x 14 1/4","","watercolor on paper","","American","","Christian Jorgensen","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen"
"","NA","","Photographer, Brighton","http://emuseum.huntington.org/internal/media/dispatcher/16226/resize:format$003dfull","1844","1896","1880","5 5/8 x 7","","pen and black ink on board","","American","","Charles Stanley Reinhart","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Picacho del Tucson from the North","http://emuseum.huntington.org/internal/media/dispatcher/28483/resize:format$003dfull","1846","1918","1908","sheet: 4 13/16 x 7 7/16","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Bequest of Jane Louise Hemphill"
"","NA","","Picacho del Tucson from the North, February 2, 1910","http://emuseum.huntington.org/internal/media/dispatcher/20140/resize:format$003dfull","1846","1918","1910","4 1/4 x 6 13/16","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill"
"","NA","","Pied Piper (TV)","http://emuseum.huntington.org/internal/media/dispatcher/31597/resize:format$003dfull","1908","1978","1950","10 5/8 x 13 3/4","","ink and litho crayon","","American","","Don Freeman","Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone"
"","NA","","Pierre Salinger","http://emuseum.huntington.org/internal/media/dispatcher/31100/resize:format$003dfull","1908","1978","ca. 1961","sheet: 10 1/2 x 8 1/2","","crayon and ink on paper","","American","","Don Freeman","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone"
"","NA","","Pine Trees","http://emuseum.huntington.org/internal/media/dispatcher/16217/resize:format$003dfull","1819","1895","n.d.","8 x 6","","pencil on tan paper","","American","","Charles Lanman","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Pink Lightning, Black Mountain","http://emuseum.huntington.org/internal/media/dispatcher/27994/resize:format$003dfull","1902","1982","1937","22 1/2 x 28 1/2","","watercolor, gouache, and ink on paper","","American","","Edward Hagedorn","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Pittsburgh Landing, Tenn.","http://emuseum.huntington.org/internal/media/dispatcher/16260/resize:format$003dfull","1841","1920","n.d.","7 3/8 x 9 1/4","","graphite and gray wash on paper","","American","","Henry Mosler","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Platte River and Elk Mountain at Fort Steele, September, 1870","http://emuseum.huntington.org/internal/media/dispatcher/20066/resize:format$003dfull","1846","1918","1870","6 3/16 x 9 3/4","","graphite on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill"
"","NA","","Platte River at Fort Steele W.T., September, 1870","http://emuseum.huntington.org/internal/media/dispatcher/20067/resize:format$003dfull","1846","1918","1870","6 11/16 x 9 11/16","","graphite on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill"
"","NA","","Platte River near Fort Fred. Steele, Wyo.- Elk Mountain in the Distance, Dec. 23,1909","http://emuseum.huntington.org/internal/media/dispatcher/20134/resize:format$003dfull","1846","1918","1909","6 1/4 x 9 5/16","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill"
"","NA","","Poacher's Story","http://emuseum.huntington.org/internal/media/dispatcher/27975/resize:format$003dfull","1840","1895","1880","13 7/8 x 16 5/8","","watercolor on paper (laid on board)","","American","","Thomas Hovenden","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Pollarded Willows, April 30, 1909","http://emuseum.huntington.org/internal/media/dispatcher/20127/resize:format$003dfull","1846","1918","1909","7 3/16 x 5 1/2","","watercolor on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Popocatepetl from the Pyramid of Cholula","http://emuseum.huntington.org/internal/media/dispatcher/27921/resize:format$003dfull","1860","1935","ca. 1885-1932","9 13/16 x 14 9/16","","watercolor on paper","","American","","Christian Jorgensen","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen"
"","NA","","Portrait of a Gentleman","http://emuseum.huntington.org/internal/media/dispatcher/27966/resize:format$003dfull","1770","1852","ca. 1808","22 x 15 3/8","","charcoal and crayon heightened with white on prepared paper laid down on board","","French","","Charles Balthazar Julien Fevret de Saint-Mémin","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Portrait of a Man","http://emuseum.huntington.org/internal/media/dispatcher/16252/resize:format$003dfull","1823","1904","n.d.","NA","","charcoal and chalk on paper","","American","","Johannes Adam Simon Oertel","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Portrait of a Man","http://emuseum.huntington.org/internal/media/dispatcher/18048/resize:format$003dfull","1822","1902","n.d.","NA","","graphite on paper","","American","","Lilly Martin Spencer","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Portrait of Emerson","http://emuseum.huntington.org/internal/media/dispatcher/17956/resize:format$003dfull","1849","1896","1878","18 1/4 x 14","","graphite on paper","","American","","Wyatt Eaton","The Huntington Library, Art Collections, and Botanical Gardens"
"","NA","","Portrait of Ethel Myers","NA","1867","1940","1913","22 x 16 1/4","","pastel on paper","","American","","Jerome Myers","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Portrait of Holmes","http://emuseum.huntington.org/internal/media/dispatcher/17957/resize:format$003dfull","1849","1896","1878","18 1/4 x 14","","graphite on paper","","American","","Wyatt Eaton","The Huntington Library, Art Collections, and Botanical Gardens"
"","NA","","Portrait of Jacob Housman","http://emuseum.huntington.org/internal/media/dispatcher/16204/resize:format$003dfull","1781/80","1839/40","n.d.","5 x 4","","ink and graphite on paper","","American","","John Wesley Jarvis","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Portrait of Longfellow","http://emuseum.huntington.org/internal/media/dispatcher/17958/resize:format$003dfull","1849","1896","1878","18 1/4 x 14","","graphite on paper","","American","","Wyatt Eaton","The Huntington Library, Art Collections, and Botanical Gardens"
"","NA","","Portrait of my Mother","http://emuseum.huntington.org/internal/media/dispatcher/28322/resize:format$003dfull","1890","1972","1909","17 1/2 x 12 1/2","","charcoal on brown paper","","American","","Alexander Zerdin Kruse","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Kruse family trust"
"","NA","","Portrait of Whitman","http://emuseum.huntington.org/internal/media/dispatcher/17959/resize:format$003dfull","1849","1896","1878","18 1/4 x 14","","graphite on paper","","American","","Wyatt Eaton","The Huntington Library, Art Collections, and Botanical Gardens"
"","NA","","Portrait of Whittier","http://emuseum.huntington.org/internal/media/dispatcher/17960/resize:format$003dfull","1849","1896","1878","18 1/4 x 14","","graphite on paper","","American","","Wyatt Eaton","The Huntington Library, Art Collections, and Botanical Gardens"
"","NA","","Probably Fort Sanders, September, 1869","http://emuseum.huntington.org/internal/media/dispatcher/20062/resize:format$003dfull","1846","1918","1869","5 1/2 x 9 13/16","","graphite on paper","","American","","Joseph Basil Girard","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. J. E. Hemphill"
"","NA","","Querataro","http://emuseum.huntington.org/internal/media/dispatcher/27924/resize:format$003dfull","1860","1935","ca. 1885-1932","10 1/16 x 14 3/16","","watercolor on paper","","American","","Christian Jorgensen","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen"
"","NA","","Queretaro","http://emuseum.huntington.org/internal/media/dispatcher/27917/resize:format$003dfull","1860","1935","ca. 1885-1932","9 3/4 x 14 1/2","","watercolor on paper","","American","","Christian Jorgensen","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Mrs. Virgil W. Jorgensen"
"","NA","","Raging Battle","http://emuseum.huntington.org/internal/media/dispatcher/20463/resize:format$003dfull","1825","1855","n.d.","12 x 21 1/2","","ink wash and gouache en grisaille on paper","","American","","Richard Caton Woodville","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Re-Write Man","http://emuseum.huntington.org/internal/media/dispatcher/31598/resize:format$003dfull","1908","1978","1968","14 1/4 x 16 1/4","","scratchboard and ink","","American","","Don Freeman","Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone"
"","NA","","Reading in Our Shack","http://emuseum.huntington.org/internal/media/dispatcher/16166/resize:format$003dfull","1885","1973","1925","12 x 9 1/8","","pen, ink and watercolor on paper","","American","","Ralph Stackpole","The Huntington Library, Art Collections, and Botanical Gardens."
"","NA","","Rebel Batteries before Yorktown","http://emuseum.huntington.org/internal/media/dispatcher/18102/resize:format$003dfull","NA","NA","1862","4 1/2 x 15 1/8","","graphite and paper laid on board","","American","","Conrad Birnbach","The Huntington Library, Art Collections, and Botanical Gardens. Purchased with funds from the Virginia Steele Scott Foundation"
"","NA","","Reclining Figure","http://emuseum.huntington.org/internal/media/dispatcher/30274/resize:format$003dfull","NA","NA","ca. 1930","7 3/16 x 8 1/2","","ink on paper","","NA","","NA","The Huntington Library, Art Collections, and Botanical Gardens. Gift of Bonnie and Lee Stone"
