" name"," foot"," position"," height"
" Tommy Elphick"," Right"," D"," 187"
" Lima"," Right"," A"," 179"
" Kosuke Kimura"," Right"," D"," 175"
" Éverton"," Left"," M"," 172"
" Craig Cathcart"," Right"," D"," 188"
" Kyle Reynish"," Right"," GK"," 191"
" Guilherme"," Right"," GK"," 197"
" Rhodolfo"," Right"," D"," 193"
" Massimo Murdocca"," Right"," M"," 165"
" Gustavo Lazzaretti"," Right"," D"," 186"
" Saša Ognenovski"," Right"," D"," 195"
" Michael Theoklitos"," Right"," GK"," 186"
" Rodrigo Vargas"," Right"," D"," 181"
" Adrian Leijer"," Left"," D"," 186"
" Eiji Kawashima"," Right"," GK"," 185"
" Andrew Durante"," Right"," D"," 182"
" Stuart Musialik"," Right"," M"," 175"
" Tarek Elrich"," Right"," D"," 180"
" Nick Carle"," Left"," M"," 174"
" Troy Hearfield"," Right"," M"," 180"
" Mark Bridge"," Right"," A"," 180"
" Tando Velaphi"," Right"," GK"," 185"
" David McGoldrick"," Right"," A"," 185"
" Adam Lallana"," Right"," M"," 173"
" Tomáš Mičola"," Right"," A"," 178"
" Jay O'Shea"," Right"," M"," 174"
" Edin Džeko"," Right"," A"," 193"
" Martin Fenin"," Right"," A"," 181"
" Tomáš Jirsák"," Left"," M"," 172"
" Pavel Krmaš"," Left"," D"," 193"
" Breno"," Right"," D"," 187"
" Jan Holenda"," Right"," A"," 186"
" Corey Ashe"," Left"," D"," 168"
" Kurt Morsink"," Right"," M"," 178"
" Adam Cristman"," Right"," A"," 183"
" Serginho"," Right"," M"," 178"
" Leigh Broxham"," Right"," M"," 169"
" Carlão"," Left"," M"," 182"
" Billy Celeski"," Right"," M"," 176"
" Lucas"," Right"," D"," 174"
" Makoto Hasebe"," Right"," M"," 179"
" Chong Tese"," Right"," A"," 181"
" Zé Eduardo"," Right"," A"," 179"
" Andre Hainault"," Right"," D"," 183"
" Ondřej Mazuch"," Right"," D"," 188"
" Nicolas Penneteau"," Left"," GK"," 185"
" Pavel Košťál"," Right"," D"," 193"
" Jiří Bílek"," Right"," M"," 185"
" Diogo"," Right"," M"," 181"
" Daniel Pudil"," Left"," D"," 185"
" Darren Murphy"," Right"," M"," 183"
" Marek Suchý"," Right"," D"," 183"
" Helder"," Right"," D"," 175"
" Michal Švec"," Right"," M"," 181"
" Márcio Azevedo"," Left"," D"," 172"
" Bořek Dočkal"," Right"," M"," 181"
" Dušan Švento"," Left"," M"," 178"
" Georginio Wijnaldum"," Right"," M"," 172"
" Michael Almebäck"," Right"," D"," 184"
" Philip Haglund"," Left"," M"," 188"
" Albin Ekdal"," Right"," M"," 186"
" Jon Nurse"," Right"," A"," 175"
" Elias"," Left"," M"," 178"
" Madson"," Left"," M"," 160"
" Thiago Heleno"," Right"," D"," 184"
" Guilherme"," Right"," A"," 174"
" Emir Bajrami"," Left"," A"," 178"
" David Elm"," Right"," A"," 191"
" Andreas Landgren"," Right"," M"," 176"
" Thiego"," Right"," D"," 188"
" Carlos Eduardo"," Left"," M"," 171"
" João Marcos"," Right"," M"," 177"
" Adilson"," Right"," M"," 181"
" Larrys Mabiala"," Right"," D"," 189"
" Luiz"," Right"," A"," 175"
" Jonas"," Right"," D"," 181"
" Damien Marcq"," Right"," M"," 183"
" Guillaume Ducatel"," Left"," M"," 174"
" Rasmus Bengtsson"," Right"," D"," 186"
" Oumar Sissoko"," Right"," GK"," 187"
" Aly Cissokho"," Left"," D"," 181"
" Chris Robertson"," Right"," D"," 188"
" Ivan Perišić"," Right"," M"," 187"
" Vassilis Torosidis"," Right"," D"," 186"
" Sotiris Ninis"," Right"," M"," 173"
" Tom Pondeljak"," Right"," M"," 177"
" Alex Wilkinson"," Right"," D"," 187"
" Adam Kwasnik"," Right"," A"," 179"
" Mile Jedinák"," Right"," M"," 188"
" Anthony Lecointe"," Right"," D"," 170"
" Johann Ramaré"," Right"," M"," 178"
" Danny Foster"," Right"," D"," 185"
" Scott Griffiths"," Left"," D"," 175"
" Shaun Batt"," Right"," A"," 191"
" Paul Benson"," Right"," A"," 185"
" David Hogan"," Right"," GK"," 183"
" Sam Saunders"," Right"," M"," 173"
" Karim Aït-Fana"," Right"," A"," 175"
" Romain Armand"," Right"," A"," 182"
" Mapou Yanga-M'Biwa"," Right"," D"," 184"
" Timur Kapadze"," Left"," A"," 185"
" Odil Ahmedov"," Right"," M"," 180"
" Iarfhlaith Davoren"," Left"," D"," 183"
" Johann Carrasso"," Right"," GK"," 188"
" Djamel Bakar"," Right"," A"," 171"
" Gary Deegan"," Right"," M"," 176"
" Daire Doyle"," Right"," M"," 180"
" Rincón"," Right"," D"," 186"
" Derek Foran"," Right"," D"," 178"
" Tim Matavž"," Left"," A"," 188"
" Mario Mandžukić"," Right"," A"," 186"
" Kristijan Ipša"," Right"," D"," 186"
" Vedran Ćorluka"," Right"," D"," 193"
" Alexandr Prudnikov"," Right"," A"," 185"
" Ger O'Brien"," Right"," D"," 181"
" Robbie Clarke"," Left"," D"," 178"
" Mark Langtry"," Left"," D"," 183"
" Antonio Rukavina"," Right"," D"," 177"
" Stevan Jovetić"," Right"," A"," 183"
" Nikita Rukavytsya"," Left"," M"," 183"
" Mahamane Traoré"," Right"," M"," 176"
" Arturo Vidal"," Right"," M"," 180"
" Sam Hird"," Right"," D"," 183"
" Tomislav Pacovski"," Right"," GK"," 185"
" Luis Miguel Noriega"," Right"," M"," 172"
" Lucas Silva"," Right"," A"," 186"
" Huang Bowen"," Right"," M"," 177"
" Denis"," Right"," GK"," 188"
" Egidio Arévalo Ríos"," Left"," M"," 168"
" Felipe"," Right"," GK"," 190"
" Zelão"," Right"," D"," 188"
" Everton"," Right"," A"," 176"
" Sim Woo Yeon"," Right"," D"," 195"
" Antonio Salazar"," Right"," A"," 178"
" Attila Filkor"," Left"," M"," 181"
" Krisztián Németh"," Right"," A"," 179"
" Alexandru Epureanu"," Right"," D"," 187"
" Crespí"," Right"," D"," 180"
" Léo Gago"," Left"," M"," 179"
" Ja Cheol Koo"," Right"," M"," 182"
" Lee Jun Ki"," Right"," D"," 184"
" Song Yoo Gul"," Right"," GK"," 187"
" Greg Bolger"," Left"," M"," 180"
" Julian Palmieri"," Left"," M"," 170"
" Andrea Ranocchia"," Right"," D"," 195"
" Fabiano Santacroce"," Right"," D"," 181"
" Gaetano Berardi"," Left"," D"," 178"
" Sebastian De Maio"," Right"," D"," 190"
" Dale Stephens"," Right"," M"," 169"
" Sean McAllister"," Right"," M"," 173"
" Benson Mhlongo"," Right"," D"," 181"
" David Stockdale"," Right"," GK"," 191"
" Mark Beevers"," Left"," D"," 193"
" Anthony Modeste"," Right"," A"," 187"
" Charlie Clough"," Right"," M"," 183"
" Jamie Jones"," Right"," GK"," 191"
" Darren Dennehy"," Left"," D"," 188"
" Matthew Kemp"," Right"," D"," 175"
" Mitchell Langerak"," Right"," GK"," 192"
" Robbie Kruse"," Right"," A"," 181"
" Garry Hunter"," Right"," M"," 183"
" Danny Carlton"," Right"," A"," 180"
" Diego Godín"," Right"," D"," 185"
" Martín Cáceres"," Right"," D"," 182"
" Nana Attakora"," Right"," D"," 185"
" Manuel Hartmann"," Right"," M"," 188"
" Martin Männel"," Right"," GK"," 184"
" Toni Kroos"," Right"," M"," 182"
" Dave Winfield"," Right"," D"," 191"
" Danny Hylton"," Right"," A"," 183"
" Ferry de Regt"," Right"," D"," 190"
" Daniel Gordon"," Right"," M"," 194"
" Kamel Ghilas"," Right"," A"," 177"
" Rabiola"," Right"," A"," 182"
" Hugo Morais"," Left"," M"," 184"
" Jorge Zamogilny"," Right"," M"," 181"
" Fabian Müller"," Right"," D"," 175"
" Colin Daniel"," Left"," M"," 180"
" Max Porter"," Right"," M"," 178"
" Chris Whelpdale"," Right"," M"," 184"
" Hamza Bencherif"," Right"," M"," 175"
" Medy Elito"," Left"," M"," 180"
" Joe Mattock"," Left"," D"," 181"
" Alfie Potter"," Right"," A"," 170"
" Michael Johnson"," Right"," M"," 183"
" Mergim Mavraj"," Left"," D"," 189"
" Josh McQuoid"," Right"," A"," 176"
" Lewis Montrose"," Right"," M"," 183"
" Dragan Paljić"," Left"," D"," 174"
" Matthias Jaissle"," Right"," D"," 186"
" Thorsten Kirschbaum"," Left"," GK"," 194"
" Jose Holebas"," Left"," D"," 184"
" Christian Ribeiro"," Right"," D"," 181"
" Nikica Jelavić"," Right"," A"," 187"
" Bruce Abdoulaye"," Left"," D"," 181"
" Mickaël Poté"," Right"," A"," 180"
" Florian Bague"," Right"," GK"," 181"
" Aldo Angoula"," Left"," D"," 184"
" Andy Carroll"," Left"," A"," 191"
" Kazenga LuaLua"," Right"," A"," 180"
" Rafał Grzyb"," Right"," M"," 175"
" Michał Zieliński"," Right"," A"," 185"
" Walter Gargano"," Right"," M"," 168"
" Álvaro González"," Right"," M"," 176"
" Ignacio González"," Left"," M"," 180"
" Maximiliano Pereira"," Right"," D"," 173"
" Paul Alo'o Efoulou"," Right"," A"," 176"
" Balázs Dzsudzsák"," Left"," M"," 179"
" Carlos Alberto Sánchez"," Left"," M"," 182"
" Kieran Agard"," Right"," A"," 173"
" Jamel Saihi"," Right"," M"," 181"
" Håvard Nordtveit"," Right"," M"," 188"
" Magne Hoseth"," Left"," M"," 186"
" Roberto Rosales"," Right"," D"," 174"
" Luigi Consonni"," Left"," M"," 183"
" Andrea Gessa"," Right"," M"," 175"
" Neal Bishop"," Right"," M"," 183"
" Max Gradel"," Right"," A"," 173"
" Adi"," Right"," A"," 181"
" Justin Pasfield"," Right"," GK"," 189"
" Matt Simon"," Right"," A"," 188"
" Wang Yang"," Right"," A"," 190"
" Heinrich Schmidtgal"," Left"," D"," 174"
" Claudio Beauvue"," Right"," A"," 174"
" Wolfgang Hesl"," Right"," GK"," 186"
" Ben Sigmund"," Right"," D"," 180"
" Troy Deeney"," Right"," A"," 180"
" Ciaran Clark"," Left"," D"," 188"
" Marc Albrighton"," Right"," M"," 175"
" Krystian Pearce"," Right"," D"," 185"
" Oier"," Left"," GK"," 190"
" Ashley Grimes"," Right"," A"," 183"
" Marc Laird"," Right"," M"," 183"
" Shaleum Logan"," Right"," D"," 173"
" Tom Craddock"," Right"," A"," 180"
" Seb Hines"," Right"," D"," 188"
" Roman Prokoph"," Right"," M"," 183"
" Fabian Boll"," Right"," M"," 193"
" Cris"," Right"," M"," 178"
" Edoardo Braiati"," Right"," M"," 177"
" Lucas Barrios"," Right"," A"," 187"
" Valentin Stocker"," Right"," M"," 179"
" Marcello Gazzola"," Right"," D"," 184"
" Bojan Jorgacevic"," Right"," GK"," 187"
" Jan Morávek"," Right"," M"," 180"
" Luís Aguiar"," Right"," M"," 182"
" Błażej Augustyn"," Left"," D"," 191"
" Raúl Bobadilla"," Right"," A"," 180"
" Steven Lang"," Right"," M"," 176"
" Henri Saivet"," Right"," A"," 175"
" Eden Hazard"," Right"," A"," 170"
" Adil Rami"," Right"," D"," 190"
" Chris Kamulete Makiese"," Right"," A"," 184"
" Jérémy Taravel"," Left"," D"," 188"
" Aurélien Chedjou"," Right"," D"," 184"
" Mamadou Sakho"," Left"," D"," 187"
" Fabien Lemoine"," Right"," M"," 175"
" Yohan Benalouane"," Left"," D"," 185"
" Jeff Cunningham"," Right"," A"," 173"
" William"," Right"," A"," 183"
" Sebastiaan van der Sman"," Right"," GK"," 187"
" David González"," Right"," GK"," 194"
" Fabio Morena"," Right"," D"," 180"
" Marcus Holness"," Right"," D"," 183"
" Fin Bartels"," Right"," M"," 175"
" Torben Joneleit"," Left"," D"," 186"
" Jo Inge Berget"," Right"," M"," 184"
" Benjamin Schwarz"," Left"," D"," 180"
" Timo Gebhart"," Right"," M"," 183"
" Fabian Frei"," Right"," M"," 181"
" Casado"," Left"," D"," 173"
" Thomas Ayasse"," Right"," M"," 183"
" Steven Mouyokolo"," Right"," D"," 190"
" Anthony Weber"," Right"," D"," 190"
" Mamadou Bah"," Left"," M"," 182"
" Nicolò Cherubin"," Left"," D"," 188"
" Júlio César"," Left"," D"," 173"
" Guillem Bauzà"," Right"," A"," 183"
" Rémi Fournier"," Left"," D"," 190"
" Laionel"," Right"," A"," 173"
" Georges Mandjeck"," Right"," M"," 183"
" Adlène Guédioura"," Right"," M"," 180"
" Guy-Rolland Ndy Assembe"," Right"," GK"," 184"
" David Pollet"," Left"," A"," 188"
" Kévin Dupuis"," Right"," A"," 188"
" Moussa Sissoko"," Right"," M"," 187"
" Cheikh M'Bengué"," Left"," D"," 183"
" Ivan Benito"," Left"," GK"," 184"
" Sascha Kotysch"," Right"," D"," 188"
" Isaac Vorsah"," Right"," D"," 192"
" Steeven Langil"," Right"," A"," 178"
" Christopher Schorch"," Right"," D"," 190"
" Francesco Lunardini"," Right"," M"," 172"
" Jonathan Howson"," Right"," M"," 180"
" Robert Bayly"," Right"," M"," 176"
" Daniel Schwaab"," Right"," D"," 186"
" Fabian Delph"," Left"," M"," 174"
" Mario Bolatti"," Right"," M"," 190"
" Rene Howe"," Right"," A"," 183"
" Robson"," Right"," D"," 186"
" Matteo Rubin"," Left"," D"," 184"
" James Henry"," Right"," A"," 182"
" Joe Jacobson"," Left"," D"," 180"
" Apoño"," Right"," M"," 173"
" Loris Arnaud"," Right"," A"," 182"
" Daniel Márquez"," Right"," A"," 184"
" Danny Philliskirk"," Right"," A"," 178"
" Jack Rodwell"," Right"," M"," 188"
" Karl Sheppard"," Right"," A"," 182"
" Adnan Haidar"," Right"," M"," 178"
" Dario Vidosic"," Left"," M"," 184"
" Frederic Löhe"," Right"," GK"," 193"
" Marek Štěch"," Right"," GK"," 186"
" Kevin van Diermen"," Right"," D"," 186"
" Jordan Spence"," Right"," D"," 191"
" Sébastien Wüthrich"," Left"," M"," 180"
" Vincenzo Rennella"," Left"," A"," 188"
" Johannes van den Bergh"," Left"," D"," 182"
" Mathias Zanka Jørgensen"," Right"," D"," 191"
" Orestis Karnezis"," Right"," GK"," 189"
" Marco Parolo"," Right"," M"," 184"
" Jens Grahl"," Right"," GK"," 193"
" Gavin Hoyte"," Right"," D"," 177"
" Abu Ogogo"," Right"," D"," 177"
" Rui Fonte"," Right"," A"," 183"
" Nacer Barazite"," Right"," M"," 186"
" Fran Mérida"," Left"," M"," 173"
" Shane Lowry"," Left"," D"," 185"
" Nabil El Zhar"," Right"," M"," 171"
" Jay Spearing"," Right"," M"," 168"
" Jimmy Smith"," Right"," M"," 184"
" Barry Bannan"," Left"," M"," 170"
" Danny Earls"," Left"," D"," 175"
" Graham Burke"," Left"," A"," 180"
" Chris Herd"," Right"," M"," 173"
" Jonathon Hogg"," Right"," M"," 170"
" Elliot Parish"," Right"," GK"," 188"
" Leon McSweeney"," Right"," M"," 185"
" Pape Daouda M'Bow"," Right"," D"," 190"
" Srdjan Baljak"," Left"," A"," 179"
" Neven Subotić"," Right"," D"," 193"
" Konstantin Engel"," Right"," D"," 178"
" Jordy Buijs"," Right"," D"," 182"
" Arne Feick"," Left"," D"," 180"
" Sebastian Langkamp"," Right"," D"," 190"
" Eric Maxim Choupo-Moting"," Right"," A"," 189"
" Norman Theuerkauf"," Left"," M"," 183"
" Max Kruse"," Left"," M"," 181"
" Sören Gonther"," Right"," D"," 186"
" Nils Petersen"," Right"," A"," 188"
" Alexander Stolz"," Right"," GK"," 189"
" Tobias Feisthammel"," Right"," D"," 188"
" José-Alex Ikeng"," Right"," M"," 187"
" Patrick Fabian"," Right"," D"," 193"
" Slobodan Rajković"," Left"," D"," 191"
" Kieran Charnock"," Left"," D"," 186"
" Fagner"," Right"," D"," 168"
" Anthony Griffith"," Right"," M"," 183"
" Robert Tesche"," Right"," M"," 182"
" Christian Strohdiek"," Right"," D"," 192"
" Lukas Königshofer"," Right"," GK"," 193"
" Alexander Grünwald"," Left"," M"," 188"
" Christian Ramsebner"," Left"," D"," 191"
" Simon Heslop"," Right"," M"," 180"
" Carl Baker"," Right"," M"," 188"
" Dominique Sosso Malonga"," Right"," A"," 186"
" Tayfun Pektürk"," Left"," A"," 176"
" Christopher Drazan"," Left"," M"," 184"
" Boris Prokopič"," Right"," M"," 182"
" Roberto"," Right"," GK"," 192"
" Matthias Lindner"," Right"," A"," 184"
" Emanuele Terranova"," Right"," D"," 180"
" Robbie Weir"," Right"," M"," 175"
" Anel Hadzic"," Left"," M"," 184"
" Daniel Toth"," Left"," M"," 173"
" Martyn Waghorn"," Left"," A"," 177"
" Jordan Henderson"," Right"," M"," 182"
" Sascha Mölders"," Left"," A"," 187"
" Simon Terodde"," Right"," A"," 192"
" Michael Kay"," Right"," D"," 185"
" Nicky Featherstone"," Right"," M"," 170"
" Dirk Marcellis"," Right"," D"," 180"
" Michael Zullo"," Left"," D"," 171"
" Patrick Kavanagh"," Right"," M"," 174"
" Ryan Bennett"," Right"," D"," 183"
" Oliver Lancashire"," Right"," D"," 186"
" Andreas Bjelland"," Left"," D"," 188"
" Milan Gajic"," Left"," M"," 182"
" Ihsan Poyraz"," Right"," GK"," 190"
" Georg Margreitter"," Right"," D"," 186"
" Vincent Muratori"," Left"," D"," 180"
" Silvije Čavlina"," Right"," GK"," 190"
" Yohan Mollo"," Right"," A"," 175"
" Modibo Maïga"," Left"," A"," 185"
" Rolf Feltscher"," Right"," D"," 181"
" Mathieu Dossevi"," Right"," A"," 172"
" Daniel Reiche"," Right"," D"," 189"
" Mandla Masango"," Right"," M"," 165"
" Onismor Bhasera"," Left"," D"," 173"
" Aaron"," Left"," A"," 170"
" Angelo Ogbonna"," Left"," D"," 189"
" Roberto Juárez"," Right"," D"," 183"
" Thiemo-Jerome Kialka"," Right"," A"," 180"
" Anthony Mounier"," Left"," A"," 174"
" Nicolai Müller"," Right"," M"," 173"
" Siphiwe Tshabalala"," Left"," A"," 170"
" Alexandre Cuvillier"," Left"," M"," 182"
" Claudio Yacob"," Left"," M"," 181"
" Maximiliano Moralez"," Left"," M"," 160"
" Damian Escudero"," Left"," A"," 176"
" Ángel Di María"," Left"," A"," 178"
" Pablo Piatti"," Left"," M"," 163"
" Diego Perotti"," Right"," A"," 179"
" Ludovic Genest"," Right"," A"," 174"
" Jérôme Boateng"," Right"," D"," 191"
" Bilal Çubukçu"," Left"," M"," 176"
" Ibrahima Traoré"," Left"," M"," 171"
" Kim Falkenberg"," Right"," D"," 180"
" Jérémy Pied"," Right"," A"," 173"
" Richard Sukuta-Pasu"," Right"," A"," 190"
" Damien Plessis"," Left"," M"," 193"
" Rogier Meijer"," Right"," M"," 186"
" Mitchell Donald"," Right"," M"," 183"
" Gregory van der Wiel"," Right"," D"," 181"
" Jeffrey Sarpong"," Right"," A"," 178"
" Vurnon Anita"," Right"," M"," 167"
" Federico Bessone"," Left"," D"," 179"
" Teddy Chevalier"," Right"," A"," 178"
" Juan Daniel Forlin"," Right"," D"," 180"
" Jean-Armel Kana-Biyik"," Right"," D"," 183"
" Nolan Roux"," Right"," A"," 182"
" Stefano Celozzi"," Right"," D"," 171"
" Andrej Rendla"," Right"," A"," 188"
" Donny Gorter"," Left"," D"," 175"
" Mohammed Abdellaoue"," Left"," A"," 182"
" Marvin Bartley"," Right"," M"," 180"
" Daan Bovenberg"," Right"," D"," 183"
" Martin Kelly"," Right"," D"," 191"
" Robbie Threlfall"," Left"," D"," 183"
" Martin Hansen"," Right"," GK"," 188"
" James Dayton"," Left"," M"," 172"
" Ángel"," Right"," M"," 176"
" Sal Zizzo"," Right"," M"," 180"
" Sandro Wagner"," Right"," A"," 194"
" Ryan Koolwijk"," Left"," M"," 196"
" Vincent Nogueira"," Right"," M"," 170"
" Toby Alderweireld"," Right"," D"," 186"
" Mehdi Carcela-Gonzalez"," Left"," M"," 175"
" Lionel Gendarme"," Left"," D"," 186"
" Pieter Nys"," Right"," D"," 180"
" Christian Benteke Liolo"," Right"," A"," 192"
" Dimitri Daeseleire"," Right"," D"," 169"
" Bruno"," Left"," M"," 179"
" Steffen Haas"," Right"," M"," 183"
" André Castro"," Right"," M"," 175"
" Fernando"," Right"," M"," 183"
" Nicolás Gaitán"," Left"," M"," 173"
" Jo Coppens"," Left"," GK"," 190"
" Stefan Deloose"," Right"," GK"," 191"
" Nill De Pauw"," Right"," A"," 180"
" Guillaume François"," Right"," A"," 174"
" Nathan Goris"," Left"," GK"," 185"
" Anthony Moris"," Left"," GK"," 184"
" Koen Weuts"," Left"," D"," 186"
" Timothy Durwael"," Right"," D"," 173"
" José Gonçalves"," Left"," D"," 188"
" Marko Arnautovic"," Right"," A"," 192"
" Leroy George"," Left"," A"," 176"
" Rick Verbeek"," Right"," M"," 181"
" Stephan Flauder"," Right"," GK"," 197"
" Kike"," Right"," A"," 169"
" Leroy Labylle"," Left"," M"," 174"
" Nayib Lagouireh"," Right"," A"," 171"
" Funso Ojo"," Right"," M"," 178"
" Quentin Pottiez"," Right"," A"," 175"
" Lukas Van Eenoo"," Left"," M"," 174"
" Lucas Pratto"," Right"," A"," 188"
" Kolbeinn Sigþórsson"," Right"," A"," 181"
" Alain Wiss"," Right"," M"," 180"
" Yacine Brahimi"," Left"," A"," 175"
" Jean-Yves M'voto"," Right"," D"," 193"
" Granddi Ngoyi"," Right"," M"," 186"
" Younousse Sankharé"," Left"," M"," 184"
" Kevin Wolze"," Left"," M"," 175"
" Chris Basham"," Right"," M"," 180"
" Julio Nava"," Left"," A"," 171"
" Robert Lainton"," Right"," GK"," 188"
" Jan-Philipp Kalla"," Right"," D"," 180"
" Christian Schneuwly"," Right"," M"," 178"
" Marco Schönbächler"," Right"," M"," 171"
" Dorian Dervite"," Right"," D"," 192"
" Tomáš Pekhart"," Right"," A"," 194"
" Jay Simpson"," Right"," A"," 180"
" Jay Emmanuel-Thomas"," Left"," A"," 183"
" Jonathan Biabiany"," Right"," M"," 175"
" Jan Lecjaks"," Left"," D"," 180"
" Gabriele Perico"," Right"," D"," 183"
" Michelangelo Albertazzi"," Left"," D"," 185"
" Jin-Hyung Song"," Right"," M"," 176"
" Koh Myong Jin"," Left"," M"," 185"
" Go Yo Han"," Right"," M"," 170"
" Giuseppe Bellusci"," Right"," D"," 185"
" Luigi Giorgi"," Right"," M"," 186"
" Riccardo Maniero"," Right"," A"," 183"
" Leonardo Bonucci"," Right"," D"," 190"
" Vuza Nyoni"," Left"," M"," 178"
" James Bailey"," Right"," M"," 183"
" Giel Deferm"," Left"," M"," 179"
" Alexandre Pasche"," Left"," M"," 174"
" John Bostock"," Left"," M"," 179"
" Matteo Darmian"," Right"," D"," 182"
" Kaid Mohamed"," Right"," A"," 183"
" Liborio Sánchez"," Right"," GK"," 183"
" Federico Moretti"," Right"," M"," 187"
" Sergio Tejera"," Left"," M"," 181"
" Sebastian Giovinco"," Right"," M"," 164"
" Azpilicueta"," Right"," D"," 178"
" Adam Nemec"," Left"," A"," 190"
" Echaide"," Right"," D"," 183"
" Alex Smithies"," Right"," GK"," 191"
" Luis Morán"," Right"," M"," 172"
" Simone Gozzi"," Right"," D"," 188"
" Wiljan Pluim"," Right"," A"," 190"
" Nicky Kuiper"," Left"," D"," 183"
" Eric Lichaj"," Right"," D"," 180"
" Ricky van Wolfswinkel"," Right"," A"," 186"
" Nathan Delfouneso"," Right"," A"," 186"
" Grant Basey"," Left"," D"," 183"
" Harry Arter"," Right"," M"," 178"
" Alan Judge"," Right"," M"," 170"
" Martin Olsson"," Left"," D"," 179"
" Dean Winnard"," Right"," D"," 175"
" Kevin Pezzoni"," Left"," M"," 193"
" Kyriakos Papadopoulos"," Right"," D"," 183"
" Hal Robson-Kanu"," Left"," A"," 183"
" Jem Karacan"," Right"," M"," 175"
" Gylfi Sigurðsson"," Right"," M"," 186"
" Zavon Hines"," Right"," A"," 178"
" Jack Collison"," Right"," M"," 182"
" Joe Widdowson"," Left"," D"," 183"
" Michael Lang"," Right"," D"," 184"
" Carlinhos Paraíba"," Left"," M"," 170"
" Daniele Magliocchetti"," Right"," D"," 183"
" Denis Tonucci"," Right"," D"," 182"
" Erik Paartalu"," Right"," M"," 193"
" Nick Blackman"," Left"," A"," 188"
" Michele Arcari"," Right"," GK"," 184"
" Róbert Feczesin"," Right"," A"," 187"
" Mattia Mustacchio"," Right"," A"," 182"
" Jérôme Thiesson"," Right"," D"," 178"
" Adrian Winter"," Right"," M"," 178"
" Silvio"," Right"," A"," 183"
" Chris Malonga Ntsayi"," Left"," A"," 183"
" Andraž Kirm"," Right"," A"," 183"
" Matthew Briggs"," Left"," D"," 188"
" Ádám Bogdán"," Right"," GK"," 194"
" Tomasz Kupisz"," Right"," M"," 182"
" Jonathan Franks"," Right"," A"," 174"
" Robbie Simpson"," Right"," A"," 185"
" Stephen McGinn"," Right"," M"," 175"
" Jordan Rhodes"," Right"," A"," 185"
" Luke Daniels"," Right"," GK"," 193"
" Bart Biemans"," Right"," D"," 182"
" Stefan Nijland"," Right"," A"," 187"
" Sjoerd Overgoor"," Right"," M"," 180"
" Jorge Flores"," Left"," M"," 175"
" Donovan Deekman"," Right"," A"," 182"
" Aurélien Collin"," Right"," D"," 187"
" Dominic Green"," Left"," A"," 168"
" Andrézinho"," Right"," D"," 173"
" Vincent Bessat"," Left"," A"," 178"
" Gary Madine"," Right"," A"," 191"
" Joe Allen"," Right"," M"," 168"
" Joe Partington"," Right"," M"," 180"
" Choi Kwang Hee"," Right"," A"," 172"
" Chris Martin"," Right"," A"," 178"
" Dan Gosling"," Right"," M"," 178"
" Ryan Dickson"," Left"," D"," 178"
" Simon Madden"," Right"," D"," 176"
" Danny Blanchett"," Left"," D"," 183"
" Stefano Ferrario"," Right"," D"," 190"
" Yoann Thuram-Ulien"," Right"," GK"," 187"
" Yannick Sagbo"," Right"," A"," 183"
" Cameron Belford"," Right"," GK"," 185"
" Ádám Szalai"," Right"," A"," 193"
" Adam Yates"," Right"," D"," 178"
" Neal Trotman"," Right"," D"," 188"
" Mano"," Right"," D"," 170"
" Stefanos Athanasiadis"," Right"," A"," 185"
" Felipe Lopes"," Right"," D"," 187"
" Djalma"," Right"," A"," 175"
" Adrien Silva"," Right"," M"," 175"
" Carlos Grossmüller"," Right"," M"," 184"
" Prince Buaben"," Right"," M"," 176"
" Alexandre Morfaw"," Right"," M"," 183"
" Ben Tozer"," Right"," M"," 185"
" Wellington"," Right"," A"," 187"
" John Goossens"," Left"," M"," 174"
" Jackson"," Right"," D"," 175"
" Assani Lukimya"," Right"," D"," 190"
" Guilherme Santos"," Left"," D"," 173"
" Alan Kardec"," Right"," A"," 187"
" Pedro Botelho"," Left"," D"," 186"
" Sofiane Feghouli"," Right"," M"," 178"
" Muriel"," Left"," GK"," 189"
" Geoffrey Mujangi Bia"," Right"," M"," 178"
" Kim Kwang Suk"," Left"," D"," 182"
" Shin Kwang Hoon"," Right"," D"," 178"
" David Hubert"," Right"," M"," 182"
" Réda Johnson"," Right"," D"," 191"
" Fabiano"," Right"," GK"," 197"
" Idir Ouali"," Left"," M"," 176"
" Alexis Sánchez"," Right"," A"," 168"
" Ramires"," Right"," M"," 180"
" Charles"," Right"," M"," 173"
" Ivan Đurđević"," Left"," D"," 183"
" Felipe Mattioni"," Right"," D"," 177"
" Nilton"," Right"," M"," 184"
" Davide Lanzafame"," Right"," A"," 180"
" Ian Bermingham"," Left"," D"," 186"
" Marcelo Larrondo"," Right"," A"," 191"
" Maurício"," Right"," M"," 180"
" David James"," Right"," GK"," 194"
" Thiago Neves"," Left"," M"," 182"
" Michał Pazdan"," Right"," D"," 180"
" Emile Sinclair"," Right"," A"," 182"
" Raúl Fuster"," Left"," D"," 177"
" José Callejón"," Right"," A"," 178"
" Samuel"," Left"," D"," 187"
" Mirko Guadalupi"," Right"," M"," 184"
" Daniel Offredi"," Right"," GK"," 190"
" Jung Hong Yun"," Right"," D"," 185"
" Javier Morales"," Right"," M"," 175"
" Fabian Espindola"," Left"," A"," 175"
" Johnny Russell"," Left"," A"," 178"
