"Number","Team","FullName","Position","ClubCountry","Club","IsCaptain","DateOfBirth"
"9","Korea DPR","Jong Tae-Se","FW","JPN","Kawasaki Fronta","FALSE","3/2/1984"
"10","Korea DPR","Hong Yong-Jo","FW","RUS","FC Rostov","TRUE","5/22/1982"
"11","Korea DPR","Mun In-Guk","MF","PRK","April 25 Sports Club","FALSE","9/29/1978"
"12","Korea DPR","Choe Kum-Chol","FW","PRK","April 25 Sports Club","FALSE","2/9/1987"
"13","Korea DPR","Pak Chol-Jin","DF","PRK","Amrokgang Sports Club","FALSE","9/5/1985"
"14","Korea DPR","Pak Nam-Chol (footballer born 1988)","DF","PRK","Amrokgang Sports Club","FALSE","10/3/1988"
"15","Korea DPR","Kim Yong-Jun","MF","PRK","Pyongyang City Sports Club","FALSE","7/19/1983"
"16","Korea DPR","Nam Song-Chol","DF","PRK","April 25 Sports Club","FALSE","5/7/1982"
"17","Korea DPR","An Yong-Hak","MF","JPN","Omiya Ardi","FALSE","10/25/1978"
"18","Korea DPR","Kim Myong-Gil","GK","PRK","Amrokgang Sports Club","FALSE","10/16/1984"
"19","Korea DPR","Ri Chol-Myong","MF","PRK","Pyongyang City Sports Club","FALSE","2/18/1988"
"20","Korea DPR","Kim Myong-Won<ref>Kim Myong-Won, a Striker (association football)","GK","PRK","Amrokgang Sports Club","FALSE","7/15/1983"
"21","Korea DPR","Ri Kwang-Hyok","DF","PRK","Kyonggongop Sports Club","FALSE","8/17/1987"
"22","Korea DPR","Kim Kyong-Il","MF","PRK","Rimyongsu Sports Club","FALSE","12/11/1988"
"23","Korea DPR","Pak Sung-Hyok","MF","PRK","Sobaeksu Sports Club","FALSE","5/30/1990"
"1","CÃ´te d'Ivoire","Boubacar Barry","GK","BEL","K.S.C. Lokeren Oost-Vlaanderen","FALSE","12/30/1979"
"2","CÃ´te d'Ivoire","Benjamin Angoua","DF","FRA","Valenciennes FC","FALSE","11/28/1986"
"3","CÃ´te d'Ivoire","Arthur Boka","DF","GER","VfB Stuttga","FALSE","4/2/1983"
"4","CÃ´te d'Ivoire","","DF","ENG","Manchester City F.C.","FALSE","3/19/1981"
"5","CÃ´te d'Ivoire","Didier Zokora","MF","ESP","Sevilla FC","FALSE","12/14/1980"
"6","CÃ´te d'Ivoire","Steve Gohouri","DF","ENG","Wigan Athletic F.C.","FALSE","2/8/1981"
"7","CÃ´te d'Ivoire","Seydou Doumbia","FW","SUI","BSC Young Boys","FALSE","12/31/1987"
"8","CÃ´te d'Ivoire","Salomon Kalou","FW","ENG","Chelsea F.C.","FALSE","8/5/1985"
"9","CÃ´te d'Ivoire","","MF","NED","FC Twente","FALSE","6/21/1986"
"10","CÃ´te d'Ivoire","Gervais Yao Kouassi","FW","FRA","Lille OSC","FALSE","5/27/1987"
"11","CÃ´te d'Ivoire","Didier Drogba","FW","ENG","Chelsea F.C.","TRUE","3/11/1978"
"12","CÃ´te d'Ivoire","Jean-Jacques Gosso","MF","FRA","AS Monaco FC","FALSE","3/15/1983"
"13","CÃ´te d'Ivoire","Romaric (footballer)","MF","ESP","Sevilla FC","FALSE","6/4/1983"
"14","CÃ´te d'Ivoire","","MF","ROU","FC InternaÅ£ional Curtea de ArgeÅŸ","FALSE","12/31/1986"
"15","CÃ´te d'Ivoire","Aruna Dindane","FW","ENG","Portsmouth F.C.","FALSE","11/26/1980"
"16","CÃ´te d'Ivoire","","GK","ISR","Maccabi Netanya F.C.","FALSE","12/30/1981"
"17","CÃ´te d'Ivoire","","DF","FRA","Valenciennes FC","FALSE","3/22/1982"
"18","CÃ´te d'Ivoire","","MF","TUR","Galatasaray S.K. (football team)","FALSE","8/6/1981"
"19","CÃ´te d'Ivoire","","MF","ESP","FC Barcelona","FALSE","5/13/1983"
"20","CÃ´te d'Ivoire","Guy Demel","DF","GER","Hamburger ","FALSE","6/13/1981"
"21","CÃ´te d'Ivoire","","DF","ENG","Arsenal F.C.","FALSE","6/4/1983"
"22","CÃ´te d'Ivoire","Sol Bamba","DF","SCO","Hibernian F.C.","FALSE","1/13/1985"
"23","CÃ´te d'Ivoire","Daniel Yeboah","GK","CIV","ASEC Mimos","FALSE","11/13/1984"
"1","Portugal","Eduardo dos Reis Carvalho","GK","POR","S.C. Braga","FALSE","9/19/1982"
"2","Portugal","Bruno Alves","DF","POR","F.C. Porto","FALSE","11/27/1981"
"3","Portugal","Paulo Ferreira","DF","ENG","Chelsea F.C.","FALSE","1/18/1979"
"4","Portugal","Rolando (Portuguese footballer)","DF","POR","F.C. Porto","FALSE","8/31/1985"
"5","Portugal","Duda (Portuguese footballer)","DF","ESP","MÃ¡laga CF","FALSE","6/27/1980"
"6","Portugal","Ricardo Carvalho","DF","ENG","Chelsea F.C.","FALSE","5/18/1978"
"7","Portugal","Cristiano Ronaldo","FW","ESP","Real Madrid C.F.","TRUE","2/5/1985"
"8","Portugal","Pedro Miguel da Silva Mendes","MF","POR","Sporting Clube de Portugal","FALSE","2/26/1979"
"9","Portugal","","FW","POR","Sporting Clube de Portugal","FALSE","12/17/1977"
"10","Portugal","Danny (footballer)","MF","RUS","FC Zenit Saint Petersburg","FALSE","8/7/1983"
"11","Portugal","","MF","ESP","AtlÃ©tico Madr","FALSE","10/31/1979"
"12","Portugal","Beto (Portuguese footballer born 1982)","GK","POR","F.C. Porto","FALSE","5/1/1982"
"13","Portugal","Miguel Monteiro","DF","ESP","Valencia CF","FALSE","1/4/1980"
"14","Portugal","Miguel Veloso","MF","POR","Sporting Clube de Portugal","FALSE","5/11/1986"
"15","Portugal","Pepe (footballer born 1983)","DF","ESP","Real Madrid C.F.","FALSE","2/26/1983"
"16","Portugal","Raul Meireles","MF","POR","F.C. Porto","FALSE","3/17/1983"
"17","Portugal","","MF","POR","S.L. Benfica","FALSE","1/27/1985"
"18","Portugal","Hugo Almeida","FW","GER","SV Werder Bremen","FALSE","5/23/1984"
"19","Portugal","Tiago Mendes","MF","ESP","AtlÃ©tico Madr","FALSE","5/2/1981"
"20","Portugal","Deco","MF","ENG","Chelsea F.C.","FALSE","8/27/1977"
"21","Portugal","Ricardo Costa (Portuguese footballer)","DF","FRA","OSC Lille","FALSE","5/16/1981"
"22","Portugal","Daniel Fernandes (footballer)","GK","GRE","Iraklis Thessaloniki F.C.","FALSE","9/25/1983"
"23","Portugal","","DF","POR","S.L. Benfica","FALSE","3/11/1988"
"1","Spain","Iker Casillas","GK","ESP","Real Madrid C.F.","TRUE","5/20/1981"
"2","Spain","RaÃºl Albiol","DF","ESP","Real Madrid C.F.","FALSE","9/4/1985"
"3","Spain","","DF","ESP","FC Barcelona","FALSE","2/2/1987"
"4","Spain","Carlos Marchena","DF","ESP","Valencia CF","FALSE","7/31/1979"
"5","Spain","Carles Puyol","DF","ESP","FC Barcelona","FALSE","4/13/1978"
"6","Spain","","MF","ESP","FC Barcelona","FALSE","5/11/1984"
"7","Spain","David Villa","FW","ESP","Valencia CF","FALSE","12/3/1981"
"8","Spain","Xavi","MF","ESP","FC Barcelona","FALSE","1/25/1980"
"9","Spain","Fernando Torres","FW","ENG","Liverpool F.C.","FALSE","3/20/1984"
"10","Spain","","MF","ENG","Arsenal F.C.","FALSE","5/4/1987"
"11","Spain","Joan Capdevila","DF","ESP","Villarreal CF","FALSE","2/3/1978"
"12","Spain","","GK","ESP","FC Barcelona","FALSE","1/14/1982"
"13","Spain","Juan Manuel Mata","MF","ESP","Valencia CF","FALSE","4/28/1988"
"14","Spain","Xabi Alonso","MF","ESP","Real Madrid C.F.","FALSE","11/25/1981"
"15","Spain","Sergio Ramos","DF","ESP","Real Madrid C.F.","FALSE","3/30/1986"
"16","Spain","Sergio Busquets","MF","ESP","FC Barcelona","FALSE","7/16/1988"
"17","Spain","Ãlvaro Arbeloa","DF","ESP","Real Madrid C.F.","FALSE","1/17/1983"
"18","Spain","","FW","ESP","FC Barcelona","FALSE","7/28/1987"
"19","Spain","Fernando Llorente","FW","ESP","Athletic Bilb","FALSE","2/26/1985"
"20","Spain","","MF","ESP","Athletic Bilb","FALSE","9/2/1988"
"21","Spain","David Silva","MF","ESP","Valencia CF","FALSE","1/8/1986"
"22","Spain","JesÃºs Navas","MF","ESP","Sevilla FC","FALSE","11/21/1985"
"23","Spain","","GK","ENG","Liverpool F.C.","FALSE","8/31/1982"
"1","Switzerland","Diego Benaglio","GK","GER","VfL Wolfsbu","FALSE","9/8/1983"
"2","Switzerland","Stephan Lichtsteiner","DF","ITA","S.S. Lazio","FALSE","1/16/1984"
"3","Switzerland","Ludovic Magnin","DF","SUI","FC ZÃ¼rich","FALSE","4/20/1979"
"4","Switzerland","Philippe Senderos","DF","ENG","Everton F.C.","FALSE","2/14/1985"
"5","Switzerland","Steve von Bergen","DF","GER","Hertha B","FALSE","6/10/1983"
"6","Switzerland","Benjamin Huggel","MF","SUI","FC Basel","FALSE","7/7/1977"
"7","Switzerland","Tranquillo Barnetta","MF","GER","Bayer 04 Leverkusen","FALSE","5/22/1985"
"8","Switzerland","","MF","ITA","Udinese Calcio","FALSE","6/27/1984"
"9","Switzerland","Alexander Frei","FW","SUI","FC Basel","TRUE","7/15/1979"
"10","Switzerland","Blaise Nkufo","FW","NED","FC Twente","FALSE","5/25/1975"
"11","Switzerland","Valon Behrami","MF","ENG","West Ham United F.C.","FALSE","4/19/1985"
"12","Switzerland","","GK","SUI","BSC Young Boys","FALSE","8/22/1982"
"13","Switzerland","","DF","FRA","AJ Auxerre","FALSE","3/30/1979"
"14","Switzerland","Marco Padalino","MF","ITA","U.C. Sampdoria","FALSE","12/8/1983"
"15","Switzerland","Hakan Yakin","MF","SUI","FC Luzern","FALSE","2/22/1977"
"16","Switzerland","Gelson Fernandes","MF","FRA","AS Saint-Ã‰tienne","FALSE","9/2/1986"
"17","Switzerland","Reto Ziegler","DF","ITA","U.C. Sampdoria","FALSE","1/16/1986"
"18","Switzerland","Albert Bunjaku (footballer)","FW","GER","1. FC NÃ¼rnbe","FALSE","11/29/1983"
"19","Switzerland","Eren Derdiyok","FW","GER","Bayer 04 Leverkusen","FALSE","6/12/1988"
"20","Switzerland","Pirmin Schwegler","MF","GER","Eintracht Frankfu","FALSE","3/9/1987"
"21","Switzerland","Johnny Leoni","GK","SUI","FC ZÃ¼rich","FALSE","6/30/1984"
"22","Switzerland","Mario Eggimann","DF","GER","Hannover ","FALSE","1/24/1981"
"23","Switzerland","Xherdan Shaqiri","MF","SUI","FC Basel","FALSE","10/10/1991"
"1","Honduras","Ricardo Canales","GK","HON","C.D. Motagua","FALSE","5/30/1982"
"2","Honduras","","DF","HON","C.D. Platense","FALSE","7/29/1984"
"3","Honduras","Maynor Figueroa","DF","ENG","Wigan Athletic F.C.","FALSE","5/2/1983"
"4","Honduras","Johnny Palacios","DF","HON","C.D. Olimpia","FALSE","12/20/1986"
"5","Honduras","","DF","BEL","R.S.C. Anderlecht","FALSE","5/24/1982"
"6","Honduras","Hendry Thomas","MF","ENG","Wigan Athletic F.C.","FALSE","2/23/1985"
"7","Honduras","","MF","HON","C.D. Olimpia","FALSE","11/14/1984"
"8","Honduras","Wilson Palacios","MF","ENG","Tottenham Hotspur F.C.","FALSE","7/29/1984"
"9","Honduras","","FW","HON","Real C.D. EspaÃ±a","FALSE","10/19/1973"
"10","Honduras","","FW","CHN","Hangzhou Nabel Greentown F.C.","FALSE","5/13/1982"
"11","Honduras","David Suazo","FW","ITA","Genoa C.F.C.","FALSE","11/5/1979"
"12","Honduras","Georgie Welcome","FW","HON","C.D. Motagua","FALSE","3/9/1985"
"13","Honduras","Roger Espinoza","FW","USA","Kansas City Wizar","FALSE","10/25/1986"
"14","Honduras","","DF","HON","C.D. Olimpia","FALSE","9/4/1984"
"15","Honduras","","FW","HON","C.D. MarathÃ³n","FALSE","3/29/1982"
"16","Honduras","","DF","CHN","Hangzhou Nabel Greentown F.C.","FALSE","11/11/1978"
"17","Honduras","Edgar Ãlvarez","MF","Italy","A.S. Bari","FALSE","1/9/1980"
"18","Honduras","Noel Valladares","GK","HON","C.D. Olimpia","FALSE","5/3/1977"
"19","Honduras","Danilo Turcios","MF","HON","C.D. Olimpia","FALSE","5/8/1978"
"20","Honduras","Amado Guevara","MF","HON","C.D. Motagua","TRUE","5/2/1976"
"21","Honduras","Emilio Izaguirre","DF","HON","C.D. Motagua","FALSE","5/10/1986"
"22","Honduras","Donis Escober","GK","HON","C.D. Olimpia","FALSE","2/3/1980"
"23","Honduras","Sergio Mendoza","DF","HON","C.D. Motagua","FALSE","5/23/1981"
"1","Chile","Claudio Bravo (footballer)","GK","ESP","Real Socied","TRUE","4/13/1983"
"2","Chile","Ismael Fuentes","DF","CHI","Club Deportivo Universidad CatÃ³lica","FALSE","8/4/1981"
"3","Chile","Waldo Ponce","DF","CHI","Club Deportivo Universidad CatÃ³lica","FALSE","12/4/1982"
"4","Chile","Mauricio Isla","MF","ITA","Udinese Calcio","FALSE","6/12/1988"
"5","Chile","Pablo Contreras","DF","GRE","PAOK F.C.","FALSE","9/11/1978"
"6","Chile","Carlos Carmona","MF","ITA","Reggina Calcio","FALSE","2/21/1987"
"7","Chile","","FW","ITA","Udinese Calcio","FALSE","12/19/1988"
"8","Chile","Arturo Vidal","DF","GER","Bayer 04 Leverkusen","FALSE","5/22/1987"
"9","Chile","Humberto Suazo","FW","ESP","Real Zarago","FALSE","5/10/1981"
"10","Chile","Jorge Valdivia","MF","UAE","Al Ain FC","FALSE","10/19/1983"
"11","Chile","","FW","RUS","PFC CSKA Moscow","FALSE","7/10/1984"
"12","Chile","Miguel Pinto","GK","CHI","C.F. Universidad de Chile","FALSE","7/4/1983"
"13","Chile","Marco Estrada (footballer)","MF","CHI","C.F. Universidad de Chile","FALSE","5/28/1983"
"14","Chile","","MF","POR","Sporting Clube de Portugal","FALSE","5/15/1986"
"15","Chile","Jean Beausejour","FW","MEX","Club AmÃ©rica","FALSE","6/1/1984"
"16","Chile","","FW","ESP","Xerez CD","FALSE","1/27/1986"
"17","Chile","Gary Medel","DF","ARG","Boca Junio","FALSE","8/3/1987"
"18","Chile","Gonzalo Jara","DF","ENG","West Bromwich Albion F.C.","FALSE","8/29/1985"
"19","Chile","Gonzalo Fierro","MF","BRA","Clube de Regatas do Flamengo","FALSE","3/21/1983"
"20","Chile","Rodrigo Millar","MF","CHI","Colo-Co","FALSE","11/3/1981"
"21","Chile","Rodrigo Tello","MF","TUR","BeÅŸiktaÅŸ J.K.","FALSE","10/14/1979"
"22","Chile","Esteban Paredes","FW","CHI","Colo-Co","FALSE","8/1/1980"
"23","Chile","","GK","CHI","UniÃ³n EspaÃ±o","FALSE","5/18/1983"
